unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Jalen Johnson,38:00,7,14,.500,1,3,.333,3,6,.500,1,9,10,11,2,0,4,1,18,18.5,+11,True,,ATL,NYK,NYK,ATL,False,True,256d890d01fc248120a550abc211b28d182c08ea,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Dyson Daniels,37:31,5,8,.625,0,1,.000,1,2,.500,1,5,6,8,2,0,2,3,11,13.6,+5,True,,ATL,NYK,NYK,ATL,False,True,e3401700281c55804bf52972fc94c0203cf26a8e,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Nickeil Alexander-Walker,34:19,9,20,.450,3,10,.300,2,4,.500,0,4,4,3,2,0,1,2,23,15.3,+8,True,,ATL,NYK,NYK,ATL,False,True,864f71c25ffaefd3bb63626d913c25facad773b7,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Onyeka Okongwu,29:46,9,16,.563,3,6,.500,2,4,.500,2,7,9,2,3,2,2,4,23,20.3,+11,True,,ATL,NYK,NYK,ATL,False,True,cb7295111a3a2edf28837ef32b74b50d7ac5b860,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Zaccharie Risacher,22:19,4,7,.571,1,3,.333,3,5,.600,2,3,5,1,0,0,0,3,12,9.7,+3,True,,ATL,NYK,NYK,ATL,False,True,0f9c41ff9a810413c5e71de06b82050594c4df2a,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,ATL,NYK,NYK,ATL,False,True,b91b95e5e04129d4b1962c9fccd5ed8e465a8418,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Vit Krejci,29:07,3,8,.375,2,5,.400,0,0,,2,2,4,1,1,0,1,3,8,5.1,+15,True,,ATL,NYK,NYK,ATL,False,True,d2c21ec6ad67d6692543cc87eac4c395d07df368,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Luke Kennard,20:44,4,5,.800,2,3,.667,2,2,1.000,0,3,3,2,0,0,0,0,12,12.4,+5,True,,ATL,NYK,NYK,ATL,False,True,96d57b28cda603d08de425fd0e1cd8545e38cbd5,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Kristaps Porziņģis,17:16,1,8,.125,0,3,.000,2,2,1.000,1,7,8,2,2,0,2,4,4,1.4,+2,True,,ATL,NYK,NYK,ATL,False,True,392607167b7717f56410ffcdd4960fd60e953cc5,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
Asa Newell,10:58,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,1,0,-2.1,0,True,,ATL,NYK,NYK,ATL,False,True,557e341309e9340cb4602fd515307d7851dae251,202601020NYK,"Atlanta Hawks at New York Knicks Box Score, January 2, 2026",2026-01-20T14:41:55.465984,box-ATL-game-basic
