unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Brandon Miller,36:21,14,29,.483,3,12,.250,2,3,.667,1,1,2,2,1,0,3,4,33,16.7,-7,True,,CHO,GSW,CHO,GSW,True,False,e7d7db7f7b0ec61e5187215a1f4f53a126c210ca,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Kon Knueppel,32:20,7,11,.636,4,7,.571,2,2,1.000,2,3,5,8,0,0,1,4,20,20.4,-4,True,,CHO,GSW,CHO,GSW,True,False,978a95665fc9a9973605cc60d58dc9e4c22f9c13,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
LaMelo Ball,30:18,9,13,.692,7,10,.700,2,2,1.000,1,4,5,5,3,0,5,1,27,24.5,-3,True,,CHO,GSW,CHO,GSW,True,False,67d5225c7e14368c32c1cad94461451012cf8d4f,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Moussa Diabaté,27:53,0,3,.000,0,0,,0,0,,2,6,8,3,1,1,2,4,0,1.3,-8,True,,CHO,GSW,CHO,GSW,True,False,e921d0fe6ecc6900c61b1c0cca104897e25f33d5,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Collin Sexton,27:25,6,16,.375,0,5,.000,4,5,.800,1,4,5,8,3,0,4,5,16,11.3,+1,True,,CHO,GSW,CHO,GSW,True,False,6f5ece79788aa22f7b612dc4423c6d5be8d4d674,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,CHO,GSW,CHO,GSW,True,False,c1286085c65d78948d61ad3018f2e2638c7fee7a,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Sion James,25:45,3,4,.750,1,1,1.000,2,3,.667,0,1,1,3,1,0,0,3,9,9.2,+1,True,,CHO,GSW,CHO,GSW,True,False,d3bcf4b8cc3a636ac7e52441401fe4796caaae24,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Tidjane Salaün,16:46,3,5,.600,0,2,.000,0,0,,0,1,1,1,1,0,0,0,6,5.7,-7,True,,CHO,GSW,CHO,GSW,True,False,2b4d7c7b839cd6c4408aebeb3faeeb8bb0e04bae,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Josh Green,16:44,2,5,.400,1,2,.500,0,0,,2,0,2,2,0,0,0,1,5,4.7,-1,True,,CHO,GSW,CHO,GSW,True,False,135ca3c0ad14314c489c87ca5e46dea7300b9394,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
PJ Hall,15:39,4,6,.667,0,0,,1,2,.500,2,5,7,2,0,0,0,0,9,10.3,-1,True,,CHO,GSW,CHO,GSW,True,False,f61378af41ae8ae52b142232d60cfcad827ab468,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Liam McNeeley,10:50,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,0.9,-6,True,,CHO,GSW,CHO,GSW,True,False,4c24bd930c69a2637d706ab65c8d0a81cac2b9c0,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Pat Connaughton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,CHO,GSW,CHO,GSW,True,False,ff3c9c07f41c5947b3c898444302bcbedf132185,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,CHO,GSW,CHO,GSW,True,False,abb84a88d05825b40a00670fb92d048a948ea845,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
Team Totals,240,48,93,.516,16,40,.400,13,17,.765,11,26,37,35,11,1,15,23,125,,,True,,CHO,GSW,CHO,GSW,True,False,c4285f996b8d341348b403feff9cd7902c9e4cea,202512310CHO,"Golden State Warriors at Charlotte Hornets Box Score, December 31, 2025",2026-01-20T14:39:38.682631,box-CHO-game-basic
