unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
P.J. Washington,35:50,3,13,.231,0,6,.000,0,0,,0,5,5,5,0,3,2,2,6,2.4,-4,True,,DAL,DET,DET,DAL,False,True,2a8d92ebfe799e9b84e9c720cd610a80b7e0b800,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Cooper Flagg,33:30,3,14,.214,2,6,.333,8,8,1.000,2,6,8,4,1,0,1,4,16,11.8,-12,True,,DAL,DET,DET,DAL,False,True,c375d9baee46c5377d26be51180069c3da31e9b4,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Max Christie,33:09,5,9,.556,2,5,.400,1,2,.500,0,6,6,5,0,0,1,2,13,11.8,-7,True,,DAL,DET,DET,DAL,False,True,5d40e3b2e1ef625959ead9f6413538453ad4681d,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Klay Thompson,19:56,4,9,.444,3,7,.429,0,0,,0,3,3,1,0,0,0,0,11,7.9,-21,True,,DAL,DET,DET,DAL,False,True,1c98a4381dea9e427d213f5cf431f800a2a33f37,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Daniel Gafford,17:22,2,3,.667,0,0,,3,3,1.000,1,3,4,3,0,0,0,4,7,7.8,+1,True,,DAL,DET,DET,DAL,False,True,e2ed5923c3a9d0c4621f0eecdf1ab2cef0f53513,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,DAL,DET,DET,DAL,False,True,dcee4205a1a1610a3b0504cc45ebe899f3b740bc,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
D'Angelo Russell,29:52,10,17,.588,7,13,.538,4,5,.800,1,6,7,3,0,0,4,3,31,22.1,-1,True,,DAL,DET,DET,DAL,False,True,db9c4471fa5b466cfc21ef004c00c3294bf90947,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Naji Marshall,22:53,3,5,.600,1,3,.333,0,0,,0,2,2,0,1,0,2,1,7,3.9,-21,True,,DAL,DET,DET,DAL,False,True,da438aba53ac7cb80a078d117b9ee2086f542d68,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Dwight Powell,18:33,1,1,1.000,0,0,,3,3,1.000,3,3,6,1,0,0,2,5,5,4.4,+2,True,,DAL,DET,DET,DAL,False,True,f8e036da853b9343cce7e91ebbb3df205e508362,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
Brandon Williams,16:38,3,7,.429,1,4,.250,5,8,.625,0,0,0,0,1,0,3,2,12,4.3,+2,True,,DAL,DET,DET,DAL,False,True,167a39265118b1dee3db7a6e602f2cbaa7426c83,202511010DET,"Dallas Mavericks at Detroit Pistons Box Score, November 1, 2025",2026-01-20T13:49:55.622161,box-DAL-game-basic
