unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Stephen Curry,32:53,6,18,.333,2,10,.200,9,9,1.000,1,2,3,4,0,0,3,3,23,12.7,-3,True,,GSW,DAL,GSW,DAL,True,False,6487371343b76265015a6636bdab1a8af9893c29,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Jimmy Butler,31:41,5,10,.500,1,3,.333,3,4,.750,2,7,9,9,1,0,4,2,14,14.6,+14,True,,GSW,DAL,GSW,DAL,True,False,94773f41d619ab9915512469de85f62b87a26a82,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Moses Moody,30:28,4,9,.444,2,5,.400,2,2,1.000,0,2,2,2,1,1,1,2,12,9.2,+5,True,,GSW,DAL,GSW,DAL,True,False,ea8e368f6ca635a5dc632d5d95b93ba3b554e25d,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Draymond Green,27:33,2,7,.286,1,4,.250,2,2,1.000,1,4,5,3,1,0,2,5,7,3.9,-9,True,,GSW,DAL,GSW,DAL,True,False,ffbdad9dd1f4844f61a577a9f16bdd290be5ee16,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Quinten Post,13:37,3,9,.333,0,4,.000,0,0,,1,2,3,0,1,0,0,1,6,2.8,-2,True,,GSW,DAL,GSW,DAL,True,False,56d84aeae8487c27f3b2137bdcf2ea781b5ca6b5,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,GSW,DAL,GSW,DAL,True,False,5d54be1a128254da90f8167f5758ccf16f3e6fac,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Brandin Podziemski,28:24,4,8,.500,1,5,.200,4,4,1.000,2,6,8,4,0,0,1,3,13,12.8,+2,True,,GSW,DAL,GSW,DAL,True,False,ffa07d63f67f08f7fe824eaaaabc70b760cca703,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
De'Anthony Melton,24:04,5,14,.357,2,7,.286,4,5,.800,1,2,3,3,1,1,0,2,16,12.1,+19,True,,GSW,DAL,GSW,DAL,True,False,ce67998a49e6040b9579e28f1ddea060c0cab9c5,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Gary Payton II,14:32,3,5,.600,0,1,.000,0,0,,2,3,5,5,1,1,0,2,6,10.4,+6,True,,GSW,DAL,GSW,DAL,True,False,f213141b4bf77e0cb2f8c7cb75838de00c1914d7,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Will Richard,12:44,2,6,.333,1,5,.200,0,0,,1,1,2,1,0,0,0,0,5,3.3,+1,True,,GSW,DAL,GSW,DAL,True,False,45532a88af38e24a5c0dee0a6be32fc7d6fd61bc,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Trayce Jackson-Davis,12:38,5,6,.833,0,0,,0,0,,2,3,5,0,1,1,0,2,10,11.0,+8,True,,GSW,DAL,GSW,DAL,True,False,a54221e57b94f49dd4a24c8297b3528838e2aae9,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Al Horford,11:26,5,7,.714,4,6,.667,0,0,,0,4,4,2,2,0,0,0,14,15.7,+9,True,,GSW,DAL,GSW,DAL,True,False,10b8af426ad3dc3ca1ad1c8d694f265c8705e573,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Buddy Hield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,GSW,DAL,GSW,DAL,True,False,788782e52ac6aabbb97ece58277d017c9fe4b5bc,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Jonathan Kuminga,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,GSW,DAL,GSW,DAL,True,False,790c09b808ee1ef50225d04ff7bdc08088524e1d,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Gui Santos,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,GSW,DAL,GSW,DAL,True,False,7cef3e007242a93bac31ff402c486ab5f72d8d6c,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,GSW,DAL,GSW,DAL,True,False,767a0c57a1edb9e56d24ea7d3232bdb6b1d21b42,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
Team Totals,240,44,99,.444,14,50,.280,24,26,.923,13,36,49,33,9,4,11,22,126,,,True,,GSW,DAL,GSW,DAL,True,False,507197b4148a58d580c0dd5b28cefdd7e956e3d1,202512250GSW,"Dallas Mavericks at Golden State Warriors Box Score, December 25, 2025",2026-01-20T14:33:55.548509,box-GSW-game-basic
