unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Shai Gilgeous-Alexander,41:58,14,26,.538,1,8,.125,17,19,.895,0,6,6,6,1,1,0,1,46,39.9,+9,True,,OKC,UTA,OKC,UTA,True,False,9929ebd1a31219b4066a4c49a5e579151ecdf37a,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Jalen Williams,40:58,6,15,.400,1,5,.200,4,4,1.000,1,5,6,8,0,0,2,3,17,13.5,-2,True,,OKC,UTA,OKC,UTA,True,False,39bb2a27d988610f63f801898f2d2fa128b3cf95,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Chet Holmgren,40:05,9,15,.600,0,3,.000,5,8,.625,5,7,12,1,1,3,1,5,23,21.3,+5,True,,OKC,UTA,OKC,UTA,True,False,493bd06eed85318ac3486be6897522387473b835,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Aaron Wiggins,24:56,3,9,.333,1,4,.250,0,0,,1,6,7,4,1,2,2,1,7,7.2,-2,True,,OKC,UTA,OKC,UTA,True,False,4468867ba8aff2d311c16b54484e88527b2c83a6,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Luguentz Dort,23:54,2,5,.400,1,4,.250,1,2,.500,0,6,6,0,3,1,0,4,6,6.8,-10,True,,OKC,UTA,OKC,UTA,True,False,09c7e9cf45723c01ca3913eec7d1e8ac954fd46f,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,OKC,UTA,OKC,UTA,True,False,db9f0d2d8e35bf9bfe5484c18ccce60135394ec5,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Ajay Mitchell,33:04,5,15,.333,2,7,.286,4,4,1.000,0,2,2,5,3,1,1,1,16,13.9,+7,True,,OKC,UTA,OKC,UTA,True,False,0c6b587e791d564530e17de73d55bc65e0fe7bf1,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Cason Wallace,30:41,2,7,.286,0,2,.000,0,0,,3,3,6,0,4,1,3,3,4,3.4,+12,True,,OKC,UTA,OKC,UTA,True,False,14f49a13ecb30334324789c64d93b9bc78627405,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Branden Carlson,11:14,1,4,.250,0,1,.000,1,2,.500,2,3,5,1,0,2,1,1,3,3.2,-1,True,,OKC,UTA,OKC,UTA,True,False,49b64a41dc9bffbd5e89abc752e666f934e6b6f5,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Isaiah Joe,9:42,1,3,.333,1,3,.333,2,3,.667,0,1,1,0,0,0,0,2,5,2.4,-9,True,,OKC,UTA,OKC,UTA,True,False,1a91c07f737d6a957c31c4d49b53cfd07f887819,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Kenrich Williams,8:28,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,1,0,2,1.7,+11,True,,OKC,UTA,OKC,UTA,True,False,aeac2d00ee66f62f761492d5436c69e1248cbb8e,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Brooks Barnhizer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,OKC,UTA,OKC,UTA,True,False,427f116021472da32baa1e267365f88a714d9b16,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Chris Youngblood,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,OKC,UTA,OKC,UTA,True,False,4809157789dce08b28403a18f0366812fc111d4c,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
Team Totals,265,44,101,.436,7,38,.184,34,42,.810,12,39,51,26,14,11,11,21,129,,,True,,OKC,UTA,OKC,UTA,True,False,84d64a646d2c7b453cab486f52f3d59bc9ebad3e,202601070OKC,"Utah Jazz at Oklahoma City Thunder Box Score, January 7, 2026",2026-01-20T14:46:51.127506,box-OKC-game-basic
