unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Franz Wagner,33:44,13,19,.684,4,6,.667,7,7,1.000,0,6,6,7,0,0,1,2,37,33.8,+10,True,,ORL,NYK,ORL,NYK,True,False,82ada742854d70739e57748026b551e73429c42a,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Desmond Bane,32:16,8,16,.500,3,7,.429,8,8,1.000,1,2,3,5,1,0,2,2,27,22.0,+9,True,,ORL,NYK,ORL,NYK,True,False,cd20b9bbac924323361c64365137c6bad571bac6,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Jalen Suggs,31:47,8,15,.533,2,6,.333,8,9,.889,2,1,3,1,0,0,4,3,26,15.5,+9,True,,ORL,NYK,ORL,NYK,True,False,8d8ee3d5181c058e47e187bb08c9788a9d3470ce,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Tristan Da Silva,28:17,2,8,.250,0,3,.000,0,0,,1,2,3,4,0,0,1,4,4,0.7,+1,True,,ORL,NYK,ORL,NYK,True,False,aeaba37b9874ad03dea08f1e691cda6a77239337,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Wendell Carter Jr.,21:52,4,4,1.000,2,2,1.000,1,2,.500,2,2,4,1,0,0,2,6,11,7.7,+7,True,,ORL,NYK,ORL,NYK,True,False,8a0cbc00f12c82f71ad95cf567c9eb37f57a5449,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,ORL,NYK,ORL,NYK,True,False,3625924ef2607a1ae617585773ead26cd7f38105,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Anthony Black,29:09,4,8,.500,1,2,.500,2,4,.500,0,1,1,4,3,1,1,4,11,10.4,+21,True,,ORL,NYK,ORL,NYK,True,False,ed8b93a4d8321d0d9fee934d03e6c842079fe248,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Goga Bitadze,19:07,3,4,.750,0,0,,0,0,,2,5,7,3,1,1,1,1,6,9.7,+6,True,,ORL,NYK,ORL,NYK,True,False,09109be8ab6fc9ec3adbe5c393df368c4d8a43ac,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Tyus Jones,16:13,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,0,0,1.7,+3,True,,ORL,NYK,ORL,NYK,True,False,8829ea9eda69ca5d8eb4f18d76b3d6cad95148b6,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Jonathan Isaac,16:12,3,5,.600,0,2,.000,0,0,,2,5,7,0,0,0,1,2,6,4.8,+8,True,,ORL,NYK,ORL,NYK,True,False,781dfe220e6939c7f43f77d568bd870d1577ed9b,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Jett Howard,7:35,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,1,5,3.3,-8,True,,ORL,NYK,ORL,NYK,True,False,4338aab9e136e561bca07857e08ea4a728d9485b,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Noah Penda,1:54,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3,True,,ORL,NYK,ORL,NYK,True,False,bf44c01df599c43d0681f42f133028fd4cf985f9,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Jase Richardson,1:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3,True,,ORL,NYK,ORL,NYK,True,False,f12e906cf01edd5f755f1492e0c41a48058ba0f0,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
Team Totals,240,47,85,.553,13,33,.394,26,30,.867,11,25,36,28,5,2,14,26,133,,,True,,ORL,NYK,ORL,NYK,True,False,0e0b7cc880872e568fbcba2ce7d985347cc98681,202511220ORL,"New York Knicks at Orlando Magic Box Score, November 22, 2025",2026-01-20T14:07:21.067838,box-ORL-game-basic
