unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Dillon Brooks,34:29,7,15,.467,2,4,.500,4,4,1.000,0,3,3,3,3,0,1,4,20,15.7,-13,True,,PHO,CLE,CLE,PHO,False,True,c3c14db8c68649b8d7c07db48140dabd1b5f71de,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Devin Booker,32:43,13,25,.520,2,4,.500,4,4,1.000,0,2,2,4,1,1,1,5,32,21.8,-12,True,,PHO,CLE,CLE,PHO,False,True,550f8f7e01cb6daefc294cff54f87d14950d1b4e,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Collin Gillespie,27:15,6,15,.400,5,11,.455,0,0,,2,4,6,5,2,1,2,2,17,14.9,-17,True,,PHO,CLE,CLE,PHO,False,True,de6039d239d7196aef27989ed3f42b43ba64912a,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Royce O'Neale,27:08,4,10,.400,1,6,.167,0,1,.000,0,2,2,1,1,0,4,0,9,1.5,-16,True,,PHO,CLE,CLE,PHO,False,True,a2c828ec20a2b3ce6d819cde356f1600490fcb9b,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Mark Williams,23:42,0,3,.000,0,0,,2,2,1.000,4,5,9,2,0,1,1,1,2,4.9,-12,True,,PHO,CLE,CLE,PHO,False,True,bd31c096776ad16e8a7777f8b6e3c1abb89b9706,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,PHO,CLE,CLE,PHO,False,True,eaa7391bc14e77ddb8fa3c1d809adcf761c12ef6,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Jordan Goodwin,22:22,1,11,.091,0,2,.000,2,3,.667,8,7,15,2,1,0,1,3,4,4.2,-11,True,,PHO,CLE,CLE,PHO,False,True,5057fbb99ad9c53a238af6a7013d5cb3a9ed8273,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Oso Ighodaro,20:37,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-3.2,-12,True,,PHO,CLE,CLE,PHO,False,True,4118e586baf5f51a7081a60f882e211b3c921080,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Ryan Dunn,19:23,2,7,.286,2,4,.500,0,0,,2,3,5,0,0,0,1,2,6,2.4,-11,True,,PHO,CLE,CLE,PHO,False,True,d124d4e452e89472ec1ef2f6fb0809e580d39811,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Jamaree Bouyea,15:17,7,12,.583,2,3,.667,2,2,1.000,2,1,3,4,0,0,0,0,18,16.9,-4,True,,PHO,CLE,CLE,PHO,False,True,1beb6a8bb49f3d13fc17046b1d2208db1587d49f,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Isaiah Livers,6:01,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,+4,True,,PHO,CLE,CLE,PHO,False,True,a06b420cb82688a00171bf3ff489818b3df434f8,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Nigel Hayes-Davis,3:41,2,2,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,1,5,4.9,+8,True,,PHO,CLE,CLE,PHO,False,True,66ae139492ec48ede49341e530f4a15bdf058b1e,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Rasheer Fleming,3:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,+8,True,,PHO,CLE,CLE,PHO,False,True,e99e73f5d587cb956935d0e7a6b5382032d57785,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Khaman Maluach,3:41,0,0,,0,0,,0,0,,1,0,1,0,0,1,1,0,0,0.4,+8,True,,PHO,CLE,CLE,PHO,False,True,c645a49536d64f1a4bc96baa15eecf9c92fd6410,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Nick Richards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,PHO,CLE,CLE,PHO,False,True,fbca5cf4f9d6efc7e74eaccdca8e527579b5ecb4,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
Team Totals,240,42,105,.400,15,36,.417,14,16,.875,19,33,52,23,8,5,14,20,113,,,True,,PHO,CLE,CLE,PHO,False,True,4cbf67d80de64e0de11c30098e9770867636da69,202512310CLE,"Phoenix Suns at Cleveland Cavaliers Box Score, December 31, 2025",2026-01-20T14:39:44.725522,box-PHO-game-basic
