unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Keegan Murray,32:37,9,17,.529,3,5,.600,2,2,1.000,2,7,9,2,1,1,3,1,23,17.9,-23,True,,SAC,PHO,PHO,SAC,False,True,2595b83b4ecb34cb5271ad96fd9aa3f4a8aef15c,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
DeMar DeRozan,29:52,4,8,.500,0,2,.000,5,6,.833,0,2,2,3,2,0,3,2,13,9.5,-12,True,,SAC,PHO,PHO,SAC,False,True,c96247f052a81e3806845a9fb532657135793e61,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Russell Westbrook,26:02,6,12,.500,1,3,.333,4,5,.800,6,3,9,6,1,0,4,3,17,15.7,-11,True,,SAC,PHO,PHO,SAC,False,True,a8f3b00a354af19ea5fce6cc01391aa3bc6f1a9f,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Maxime Raynaud,25:25,3,7,.429,0,0,,0,4,.000,1,4,5,2,1,0,0,3,6,3.8,-19,True,,SAC,PHO,PHO,SAC,False,True,24d47ab7651469b1bb208a466e22af9cc575d1e3,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Precious Achiuwa,18:47,1,8,.125,0,2,.000,1,2,.500,3,3,6,3,0,0,2,5,3,-1.5,-12,True,,SAC,PHO,PHO,SAC,False,True,41de51ed7a3fe3718945b755fba0dffc23d0c6c8,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,SAC,PHO,PHO,SAC,False,True,e4381b02aa58bf57705631a9eb74331417e9d933,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Keon Ellis,34:30,4,11,.364,3,6,.500,3,4,.750,0,3,3,0,1,2,3,3,14,6.6,-19,True,,SAC,PHO,PHO,SAC,False,True,621944770dc46de199ebe8738f8681919dcb0659,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Dennis Schröder,24:00,4,10,.400,1,3,.333,3,4,.750,0,2,2,2,0,0,2,1,12,5.8,-15,True,,SAC,PHO,PHO,SAC,False,True,95a360bbf653e166fffda679906def9cb6099bbb,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Nique Clifford,18:33,1,4,.250,1,2,.500,0,0,,0,2,2,1,0,0,3,1,3,-1.5,-6,True,,SAC,PHO,PHO,SAC,False,True,152457bc4598f5e76b958547566cb2b524389e6f,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Doug McDermott,15:50,1,5,.200,1,5,.200,0,0,,0,1,1,1,0,0,1,2,3,-0.9,-13,True,,SAC,PHO,PHO,SAC,False,True,8680577a95a702dceb86594c304a955ef886e093,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Drew Eubanks,9:52,2,2,1.000,0,0,,4,5,.800,1,1,2,0,0,0,0,1,8,7.6,-2,True,,SAC,PHO,PHO,SAC,False,True,a125873541e51b77334db93f5128ab8cf2f316cd,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Devin Carter,4:32,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-3,True,,SAC,PHO,PHO,SAC,False,True,98132691a9b0b63564bb80b8eeaa45c33645b12e,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Malik Monk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,SAC,PHO,PHO,SAC,False,True,6c350d80a216763889f8bfccf181e93992caa1bf,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,SAC,PHO,PHO,SAC,False,True,28b855a9a921172b1d7fc20b3e21e257f6f7f769,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
Team Totals,240,35,85,.412,10,28,.357,22,32,.688,14,28,42,20,6,3,21,23,102,,,True,,SAC,PHO,PHO,SAC,False,True,add4878daa8b43474d678a9c14bc6fdc3144c7d8,202601020PHO,"Sacramento Kings at Phoenix Suns Box Score, January 2, 2026",2026-01-20T14:42:01.382682,box-SAC-game-basic
