unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Victor Wembanyama,38:14,10,21,.476,3,8,.375,3,3,1.000,3,9,12,4,1,3,3,1,26,22.6,+6,True,,SAS,GSW,SAS,GSW,True,False,30278e4ed167814178e86eb81a204037adbc2b01,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Stephon Castle,36:26,4,6,.667,0,1,.000,5,8,.625,2,7,9,6,1,1,4,5,13,12.6,-10,True,,SAS,GSW,SAS,GSW,True,False,6d5688a81e54b44fe201803c4f5019beb3b914c4,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
De'Aaron Fox,33:12,10,22,.455,4,8,.500,0,0,,3,1,4,10,3,1,4,3,24,20.5,+1,True,,SAS,GSW,SAS,GSW,True,False,f6f1df7705794ede81ac799ba7e60266ba0a07ba,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Devin Vassell,31:51,4,10,.400,1,4,.250,2,2,1.000,0,3,3,2,2,0,2,3,11,6.7,-16,True,,SAS,GSW,SAS,GSW,True,False,8c69e2bfc1a38434425f337c9d3960db97c10e3f,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Harrison Barnes,28:08,2,5,.400,1,4,.250,2,2,1.000,1,3,4,1,1,0,2,1,7,5.2,+7,True,,SAS,GSW,SAS,GSW,True,False,711b05bdc7511bb5d9f4242852aec7d08d321e03,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,SAS,GSW,SAS,GSW,True,False,cab803c08ef706fa4d1c0d1e76bf1f741f5b5c0f,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Julian Champagnie,22:49,4,9,.444,4,9,.444,2,2,1.000,0,2,2,0,0,0,1,0,14,8.9,+9,True,,SAS,GSW,SAS,GSW,True,False,04e0514e04487e731c5cc37216d8b088c65ac288,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Keldon Johnson,19:01,2,7,.286,0,3,.000,0,0,,0,5,5,3,0,1,1,2,4,2.4,+2,True,,SAS,GSW,SAS,GSW,True,False,f24f7e1ce0998a82db9b1d4b657492413fd963eb,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Luke Kornet,17:19,1,2,.500,0,0,,2,2,1.000,2,3,5,0,0,0,1,1,4,3.9,-10,True,,SAS,GSW,SAS,GSW,True,False,5323622ecf0c3d6fa48a555e72857b045ecc4bf8,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
Jeremy Sochan,13:00,2,3,.667,1,1,1.000,0,0,,0,3,3,2,0,0,2,3,5,2.8,+6,True,,SAS,GSW,SAS,GSW,True,False,3bf3da03a60b85e7d932b69a643e45dcb462dad4,202511140SAS,"Golden State Warriors at San Antonio Spurs Box Score, November 14, 2025",2026-01-20T14:01:19.014296,box-SAS-game-basic
