unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Brandon Ingram,36:20,11,21,.524,5,7,.714,3,4,.750,1,7,8,1,0,0,1,4,30,20.2,-4,True,,TOR,DEN,TOR,DEN,True,False,31cf55be8f252e7fa18526fb4e74ca5d2d9fd23e,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Immanuel Quickley,34:17,5,16,.313,4,11,.364,8,10,.800,0,3,3,4,1,0,0,5,22,14.7,+1,True,,TOR,DEN,TOR,DEN,True,False,15a62b0b5552153398fcf8eb3312bd1476bbf8af,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Scottie Barnes,33:10,7,14,.500,2,4,.500,4,4,1.000,3,11,14,10,1,1,0,4,20,25.5,+6,True,,TOR,DEN,TOR,DEN,True,False,9e050fbf0464d8a338c073e78bc0b5cea6501397,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
RJ Barrett,24:26,7,13,.538,1,4,.250,2,3,.667,2,4,6,3,0,0,2,1,17,12.6,+9,True,,TOR,DEN,TOR,DEN,True,False,4ceddc4279c1ff9def8d00745c625f8d86280825,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Ochai Agbaji,11:05,1,2,.500,0,1,.000,0,0,,2,0,2,1,0,0,0,1,2,2.7,-5,True,,TOR,DEN,TOR,DEN,True,False,f2c50bdd6caa14d4108945a8baf06ba9761c2705,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,TOR,DEN,TOR,DEN,True,False,31c70ef57a13b0ac2e8b871272983be05ed355da,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Collin Murray-Boyles,25:59,3,11,.273,0,4,.000,0,0,,5,4,9,2,2,2,1,5,6,6.0,+12,True,,TOR,DEN,TOR,DEN,True,False,a3945dee79529211dfc21a87518054b4753b1fed,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Ja'Kobe Walter,23:13,1,6,.167,0,5,.000,0,0,,2,1,3,0,0,0,1,2,2,-1.9,-14,True,,TOR,DEN,TOR,DEN,True,False,2a7c571838b0c76216e2ae198f2787b074b132ad,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Jamal Shead,21:11,1,8,.125,0,4,.000,0,0,,0,0,0,5,1,0,1,2,2,-0.5,-6,True,,TOR,DEN,TOR,DEN,True,False,a400b893fd9f99235b3301dbd21349e4e7a8eaa1,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Sandro Mamukelashvili,12:15,0,5,.000,0,3,.000,0,0,,1,3,4,1,1,1,1,1,0,-0.9,-12,True,,TOR,DEN,TOR,DEN,True,False,50e26d55519b6d5bca2ca39a7e3471357a6c9c7d,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Gradey Dick,11:49,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-7,True,,TOR,DEN,TOR,DEN,True,False,b77ebc93e6753937297c61cc353a870de8eb05cc,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Jamison Battle,6:15,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,+5,True,,TOR,DEN,TOR,DEN,True,False,4d064b82ff90aa1778624d4e5b94d43636e019cd,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
Mo Bamba,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,TOR,DEN,TOR,DEN,True,False,f108a9b791c1d60fdac308710118dc45411da6ec,202512310TOR,"Denver Nuggets at Toronto Raptors Box Score, December 31, 2025",2026-01-20T14:40:18.185474,box-TOR-game-basic
