unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Jalen Johnson,40:38,10,19,.526,4,5,.800,7,11,.636,2,16,18,14,7,0,6,0,31,37.1,+16,True,,ATL,UTA,UTA,ATL,False,True,256d890d01fc248120a550abc211b28d182c08ea,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Onyeka Okongwu,35:20,11,18,.611,8,14,.571,2,2,1.000,2,9,11,2,2,3,4,5,32,27.4,+16,True,,ATL,UTA,UTA,ATL,False,True,cb7295111a3a2edf28837ef32b74b50d7ac5b860,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Nickeil Alexander-Walker,29:37,4,11,.364,1,3,.333,7,8,.875,1,1,2,5,2,2,2,0,16,15.4,+15,True,,ATL,UTA,UTA,ATL,False,True,864f71c25ffaefd3bb63626d913c25facad773b7,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Dyson Daniels,26:40,1,2,.500,0,0,,0,0,,2,0,2,3,1,0,0,4,2,3.9,0,True,,ATL,UTA,UTA,ATL,False,True,e3401700281c55804bf52972fc94c0203cf26a8e,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Zaccharie Risacher,19:11,5,7,.714,1,3,.333,0,1,.000,1,2,3,2,0,0,0,2,11,9.6,+8,True,,ATL,UTA,UTA,ATL,False,True,0f9c41ff9a810413c5e71de06b82050594c4df2a,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,ATL,UTA,UTA,ATL,False,True,b91b95e5e04129d4b1962c9fccd5ed8e465a8418,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Vit Krejci,32:18,7,9,.778,6,8,.750,0,0,,0,1,1,3,3,0,1,3,20,19.7,+8,True,,ATL,UTA,UTA,ATL,False,True,d2c21ec6ad67d6692543cc87eac4c395d07df368,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Luke Kennard,20:13,4,8,.500,4,7,.571,0,0,,0,2,2,1,2,0,1,0,12,10.3,+3,True,,ATL,UTA,UTA,ATL,False,True,96d57b28cda603d08de425fd0e1cd8545e38cbd5,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Keaton Wallace,15:27,0,6,.000,0,4,.000,0,0,,0,2,2,5,1,0,0,1,0,0.5,-4,True,,ATL,UTA,UTA,ATL,False,True,b4cd27bd00f710e6310eb81502cf970118471624,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Mouhamed Gueye,14:50,4,9,.444,0,2,.000,0,0,,1,1,2,1,0,0,2,3,8,1.8,-10,True,,ATL,UTA,UTA,ATL,False,True,a3bd42665a484f05734857376542aefe8f00f81f,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Asa Newell,5:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,-2,True,,ATL,UTA,UTA,ATL,False,True,557e341309e9340cb4602fd515307d7851dae251,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,ATL,UTA,UTA,ATL,False,True,106b8fc9742dcf9607a8fa4ee0338b9c3e8312ab,202511130UTA,"Atlanta Hawks at Utah Jazz Box Score, November 13, 2025",2025-12-31T08:29:31.589765,box-ATL-game-basic
