unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Donovan Mitchell,35:17,3,12,.250,2,9,.222,2,2,1.000,0,2,2,7,3,0,3,3,10,7.1,+15,True,,CLE,SAS,SAS,CLE,False,True,d5c196587025881126398336c208eab4e563262c,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Darius Garland,31:22,5,13,.385,1,5,.200,4,4,1.000,0,5,5,11,1,0,3,2,15,14.3,+3,True,,CLE,SAS,SAS,CLE,False,True,bf15840af3d9e60bb86324f9ba5dadff28f1f378,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Evan Mobley,28:38,7,13,.538,0,2,.000,2,2,1.000,2,5,7,2,0,3,1,4,16,13.5,+11,True,,CLE,SAS,SAS,CLE,False,True,47b1a907da653c3e8fe09b56392dd691edd7fb84,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Jarrett Allen,28:05,11,21,.524,0,1,.000,5,7,.714,2,8,10,0,2,0,2,4,27,18.1,+9,True,,CLE,SAS,SAS,CLE,False,True,e4502d1fbe5f7e877ff3f3c2a56d0f425d148daf,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Dean Wade,24:39,4,7,.571,2,5,.400,0,0,,0,5,5,0,0,0,0,1,10,7.8,-6,True,,CLE,SAS,SAS,CLE,False,True,8891275fca1f64cde661af605a680ea9c2858ac0,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,CLE,SAS,SAS,CLE,False,True,36be240f625b63a48e016e7c7997f9b15064833d,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Sam Merrill,25:50,1,6,.167,1,6,.167,2,2,1.000,0,0,0,1,1,0,1,2,5,1.1,-4,True,,CLE,SAS,SAS,CLE,False,True,7dc38f95f22d6f98a0cc44152c5675db9762dcd3,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
De'Andre Hunter,24:00,4,9,.444,2,5,.400,1,1,1.000,1,8,9,2,2,0,1,3,11,10.6,+14,True,,CLE,SAS,SAS,CLE,False,True,8bcbf8aaf1b56cb6b7b2c41df7cc4f78513522b4,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Jaylon Tyson,21:31,4,8,.500,3,4,.750,0,0,,2,1,3,2,3,0,1,4,11,10.5,+5,True,,CLE,SAS,SAS,CLE,False,True,12a43eb1419aee82aae2669c3f819fd530cc7a3b,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
Craig Porter Jr.,15:17,0,2,.000,0,1,.000,2,2,1.000,3,3,6,4,0,1,0,1,2,6.7,+12,True,,CLE,SAS,SAS,CLE,False,True,e5dd9f15909d9afaaabc77dc4a68fb230ef47ed0,202512290SAS,"Cleveland Cavaliers at San Antonio Spurs Box Score, December 29, 2025",2025-12-31T09:13:10.964826,box-CLE-game-basic
