unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Kevin Porter Jr.,36:43,5,13,.385,1,3,.333,9,9,1.000,0,7,7,9,2,0,4,2,20,18.5,-20,True,,MIL,PHI,MIL,PHI,True,False,508faaf43e5027f09f3522d01ad8c2af4274b22d,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Ryan Rollins,34:44,6,13,.462,2,2,1.000,2,2,1.000,1,5,6,7,4,0,2,3,16,17.2,-10,True,,MIL,PHI,MIL,PHI,True,False,96af34d5e80c38bf8f8102c3024a9f9c301e1497,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Jericho Sims,29:50,1,1,1.000,0,0,,0,0,,3,6,9,0,0,1,2,2,2,3.5,-7,True,,MIL,PHI,MIL,PHI,True,False,18c36758fd166e45737cc6dedadcbdcfa0e2002f,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Myles Turner,23:11,4,9,.444,3,7,.429,8,12,.667,0,2,2,2,0,1,0,3,19,14.2,-7,True,,MIL,PHI,MIL,PHI,True,False,3324348912bebfc87925bc1bc7ad8a2f09b3bdf9,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
A.J. Green,15:12,0,4,.000,0,4,.000,0,0,,0,0,0,2,0,0,1,1,0,-2.8,-17,True,,MIL,PHI,MIL,PHI,True,False,0d0f75af97dbd558c365aad20f088711bdf51df3,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,MIL,PHI,MIL,PHI,True,False,9ca9833a3a26bc3b53390b0f32f7a907b4bc61e4,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Kyle Kuzma,28:46,7,12,.583,0,2,.000,0,3,.000,3,2,5,1,1,1,2,4,14,8.7,-8,True,,MIL,PHI,MIL,PHI,True,False,e29e03e68c89afc7f2b9e21d11a0b8dfb0865f21,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Gary Trent Jr.,23:30,2,5,.400,1,4,.250,1,1,1.000,0,1,1,3,0,0,0,1,6,5.3,-3,True,,MIL,PHI,MIL,PHI,True,False,a0eceabe638c05b4ee363df3ce4480c13b876f14,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Bobby Portis,23:01,9,16,.563,4,9,.444,0,0,,0,4,4,0,1,0,3,2,22,12.8,-5,True,,MIL,PHI,MIL,PHI,True,False,21e078145740cc6e326a3f9ec54478b4cef9f65e,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
Gary Harris,20:53,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,2,3,0,-2.3,-8,True,,MIL,PHI,MIL,PHI,True,False,e10809ee8550ba14ab59bd990b37285bea1b13db,202512050MIL,"Philadelphia 76ers at Milwaukee Bucks Box Score, December 5, 2025",2025-12-31T08:54:41.416925,box-MIL-game-basic
