unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
VJ Edgecombe,39:28,6,10,.600,3,5,.600,7,10,.700,1,3,4,5,2,0,0,3,22,22.1,+17,True,,PHI,IND,PHI,IND,True,False,bfc35e460d820a3b77f85df94beb18d8439da492,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Quentin Grimes,38:56,3,9,.333,2,7,.286,2,2,1.000,1,8,9,4,1,1,1,0,10,11.5,+13,True,,PHI,IND,PHI,IND,True,False,aa056419aad71c0813ec8baea6238e3d09e73b74,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Dominick Barlow,34:18,4,8,.500,0,2,.000,2,2,1.000,0,8,8,1,0,1,0,3,10,8.6,+25,True,,PHI,IND,PHI,IND,True,False,fe84cf9b2fcf5542709e61acc0d8e61f56528971,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Paul George,33:07,8,17,.471,4,7,.571,3,3,1.000,1,5,6,5,1,0,4,2,23,16.2,+19,True,,PHI,IND,PHI,IND,True,False,a4c7d1cc2a7f4e82f2afc9adf8ce4bfae4ec197a,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Joel Embiid,31:56,12,23,.522,2,8,.250,13,18,.722,2,7,9,3,1,0,3,3,39,28.1,+16,True,,PHI,IND,PHI,IND,True,False,5c02595075e2bd65e2d0eec53bf2dda47e22211f,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,PHI,IND,PHI,IND,True,False,a6c0115af0898dba1247f1d205583969478a1ecb,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Justin Edwards,18:37,0,5,.000,0,4,.000,0,0,,0,2,2,3,0,0,0,2,0,-1.6,-6,True,,PHI,IND,PHI,IND,True,False,65bded344eb24f27f1dadb51e818eaf21022ab7c,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Andre Drummond,16:04,0,1,.000,0,0,,0,0,,4,5,9,1,0,2,1,1,0,4.3,-6,True,,PHI,IND,PHI,IND,True,False,28cf09a0adc5c862e872d421a9b0b7820404ec1a,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Jared McCain,13:52,2,6,.333,1,4,.250,0,0,,0,1,1,0,1,0,1,2,5,1.1,-13,True,,PHI,IND,PHI,IND,True,False,72c615969f466a8a3c1623ea9dc5b34c8e308d6f,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Jabari Walker,13:42,0,0,,0,0,,6,8,.750,2,0,2,0,0,0,2,3,6,3.4,-15,True,,PHI,IND,PHI,IND,True,False,a8477b80afd882226ec87de0e2c8c0ded23f9fc7,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Adem Bona,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,PHI,IND,PHI,IND,True,False,76d512ac2ff6f3b356b803de3b0c57aa5511f1d5,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Johni Broome,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,PHI,IND,PHI,IND,True,False,730991e3145b5f2176d31051310685783fe9f1ee,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Eric Gordon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,PHI,IND,PHI,IND,True,False,e494248c90a0b59096801e6e87d5e324099c71c0,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Kyle Lowry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,PHI,IND,PHI,IND,True,False,3772dd0d8ffbbd4fb01321abf5f5644fcded0ec8,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
Team Totals,240,35,79,.443,12,37,.324,33,43,.767,11,39,50,22,6,4,13,19,115,,,True,,PHI,IND,PHI,IND,True,False,467b24e85b673da88466bcf967f1692cc2c78d29,202512120PHI,"Indiana Pacers at Philadelphia 76ers Box Score, December 12, 2025",2025-12-31T08:59:02.989745,box-PHI-game-basic
