unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Scottie Barnes,31:45,3,7,.429,0,2,.000,8,9,.889,1,10,11,6,1,1,2,5,14,15.5,+17,True,,TOR,IND,IND,TOR,False,True,9e050fbf0464d8a338c073e78bc0b5cea6501397,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Brandon Ingram,29:54,6,12,.500,0,2,.000,7,9,.778,1,4,5,2,3,0,2,1,19,16.1,+15,True,,TOR,IND,IND,TOR,False,True,31cf55be8f252e7fa18526fb4e74ca5d2d9fd23e,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Immanuel Quickley,29:28,5,10,.500,2,6,.333,0,0,,0,3,3,7,0,0,2,2,12,10.0,+11,True,,TOR,IND,IND,TOR,False,True,15a62b0b5552153398fcf8eb3312bd1476bbf8af,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
RJ Barrett,28:02,9,17,.529,3,7,.429,1,4,.250,1,5,6,4,0,0,1,3,22,15.3,+3,True,,TOR,IND,IND,TOR,False,True,4ceddc4279c1ff9def8d00745c625f8d86280825,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Jakob Poeltl,25:51,8,9,.889,0,0,,6,14,.429,4,5,9,1,1,1,1,1,22,21.0,+4,True,,TOR,IND,IND,TOR,False,True,de0f7040f3ab7d545ca9537cef580945f9ff18b3,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,TOR,IND,IND,TOR,False,True,31c70ef57a13b0ac2e8b871272983be05ed355da,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Sandro Mamukelashvili,22:09,5,9,.556,1,3,.333,1,2,.500,0,4,4,3,1,1,0,2,12,11.5,+14,True,,TOR,IND,IND,TOR,False,True,50e26d55519b6d5bca2ca39a7e3471357a6c9c7d,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Gradey Dick,19:21,4,8,.500,0,4,.000,0,0,,1,5,6,1,1,0,1,0,8,6.9,+8,True,,TOR,IND,IND,TOR,False,True,b77ebc93e6753937297c61cc353a870de8eb05cc,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Collin Murray-Boyles,17:07,4,6,.667,0,0,,2,2,1.000,0,2,2,1,1,0,1,1,10,8.3,+3,True,,TOR,IND,IND,TOR,False,True,a3945dee79529211dfc21a87518054b4753b1fed,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
Jamal Shead,17:02,3,6,.500,1,4,.250,0,0,,0,0,0,4,2,0,0,4,7,7.2,+17,True,,TOR,IND,IND,TOR,False,True,a400b893fd9f99235b3301dbd21349e4e7a8eaa1,202511150IND,"Toronto Raptors at Indiana Pacers Box Score, November 15, 2025",2025-12-31T08:31:29.679639,box-TOR-game-basic
