game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2019-11-20,201911200MIN,UTA,Q1,Donovan Mitchell,https://www.basketball-reference.com/boxscores/201911200MIN.html,8.45,2,7,.286,1,2,.500,1,1,1.000,0,0,0,1,0,0,0,1,6,2.2,+1
2019-11-20,201911200MIN,UTA,Q1,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/201911200MIN.html,9.03,2,4,.500,0,1,.000,6,7,.857,2,1,3,1,0,0,0,0,10,10.0,+10
2019-11-20,201911200MIN,UTA,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/201911200MIN.html,7.22,2,3,.667,0,0,,1,2,.500,1,2,3,0,0,1,0,0,5,5.3,+5
2019-11-20,201911200MIN,UTA,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/201911200MIN.html,7.42,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+9
2019-11-20,201911200MIN,UTA,Q1,Royce O'Neale,https://www.basketball-reference.com/boxscores/201911200MIN.html,8.65,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2,+10
2019-11-20,201911200MIN,UTA,Q1,Joe Ingles,https://www.basketball-reference.com/boxscores/201911200MIN.html,6.52,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,0,0,0,1.6,+3
2019-11-20,201911200MIN,UTA,Q1,Emmanuel Mudiay,https://www.basketball-reference.com/boxscores/201911200MIN.html,4.58,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-2
2019-11-20,201911200MIN,UTA,Q1,Jeff Green,https://www.basketball-reference.com/boxscores/201911200MIN.html,4.78,2,5,.400,0,2,.000,1,2,.500,1,2,3,0,0,0,1,3,5,1.0,+2
2019-11-20,201911200MIN,UTA,Q1,Dante Exum,https://www.basketball-reference.com/boxscores/201911200MIN.html,3.35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
2019-11-20,201911200MIN,UTA,Q2,Donovan Mitchell,https://www.basketball-reference.com/boxscores/201911200MIN.html,8.77,1,2,.500,0,0,,2,2,1.000,2,0,2,0,0,0,1,0,4,3.4,-12
