game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2019-11-24,201911240LAC,NOP,Q1,Jrue Holiday,https://www.basketball-reference.com/boxscores/201911240LAC.html,7.1,2,4,.500,1,2,.500,0,0,0,3,3,1,0,0,0,0,5,4.6,-4,
2019-11-24,201911240LAC,NOP,Q1,Brandon Ingram,https://www.basketball-reference.com/boxscores/201911240LAC.html,12.0,2,8,.250,1,3,.333,2,2,0,2,2,1,0,0,0,1,7,3.1,-13,1.000
2019-11-24,201911240LAC,NOP,Q1,Jaxson Hayes,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.82,0,1,.000,0,0,,0,0,0,0,0,3,0,0,1,1,0,0.0,-5,
2019-11-24,201911240LAC,NOP,Q1,JJ Redick,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.82,2,5,.400,1,3,.333,0,0,0,1,1,0,0,0,0,1,5,2.2,-5,
2019-11-24,201911240LAC,NOP,Q1,Kenrich Williams,https://www.basketball-reference.com/boxscores/201911240LAC.html,10.13,0,0,,0,0,,0,0,0,2,2,2,0,0,0,2,0,1.2,-9,
2019-11-24,201911240LAC,NOP,Q1,Lonzo Ball,https://www.basketball-reference.com/boxscores/201911240LAC.html,4.9,2,5,.400,0,2,.000,0,0,1,1,2,1,0,0,1,0,4,2.0,-9,
2019-11-24,201911240LAC,NOP,Q1,Jahlil Okafor,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.18,3,4,.750,0,0,,0,0,2,1,3,0,0,0,0,1,6,5.7,-8,
2019-11-24,201911240LAC,NOP,Q1,Nicolò Melli,https://www.basketball-reference.com/boxscores/201911240LAC.html,1.87,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-4,
2019-11-24,201911240LAC,NOP,Q1,Frank Jackson,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.18,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-0.7,-8,
2019-11-24,201911240LAC,NOP,Q2,Jrue Holiday,https://www.basketball-reference.com/boxscores/201911240LAC.html,12.0,2,7,.286,0,1,.000,2,2,1,1,2,1,0,0,0,2,6,2.8,-3,1.000
2019-11-24,201911240LAC,NOP,Q2,Brandon Ingram,https://www.basketball-reference.com/boxscores/201911240LAC.html,6.72,1,5,.200,0,1,.000,0,0,1,1,2,2,0,0,1,1,2,-0.1,+4,
2019-11-24,201911240LAC,NOP,Q2,Jaxson Hayes,https://www.basketball-reference.com/boxscores/201911240LAC.html,6.77,1,2,.500,0,0,,0,0,1,1,2,0,0,0,0,0,2,2.0,-1,
2019-11-24,201911240LAC,NOP,Q2,JJ Redick,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.22,0,1,.000,0,1,.000,0,0,0,1,1,2,0,0,0,2,0,0.2,+3,
2019-11-24,201911240LAC,NOP,Q2,E'Twaun Moore,https://www.basketball-reference.com/boxscores/201911240LAC.html,7.6,3,4,.750,3,4,.750,0,0,0,1,1,0,0,1,0,1,9,8.0,+4,
2019-11-24,201911240LAC,NOP,Q2,Lonzo Ball,https://www.basketball-reference.com/boxscores/201911240LAC.html,6.02,1,2,.500,1,2,.500,0,0,0,0,0,1,1,0,0,1,3,3.3,-7,
2019-11-24,201911240LAC,NOP,Q2,Jahlil Okafor,https://www.basketball-reference.com/boxscores/201911240LAC.html,5.23,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,0,0,2,2.7,-2,
2019-11-24,201911240LAC,NOP,Q2,Nicolò Melli,https://www.basketball-reference.com/boxscores/201911240LAC.html,7.17,1,2,.500,0,1,.000,0,0,0,2,2,0,0,0,0,0,2,1.6,-6,
2019-11-24,201911240LAC,NOP,Q2,Frank Jackson,https://www.basketball-reference.com/boxscores/201911240LAC.html,5.28,1,3,.333,1,2,.500,0,0,0,1,1,0,0,0,0,0,3,1.6,-7,
2019-11-24,201911240LAC,NOP,Q3,Jrue Holiday,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.17,2,3,.667,0,1,.000,0,0,1,0,1,1,0,0,2,1,4,1.7,+8,
2019-11-24,201911240LAC,NOP,Q3,Brandon Ingram,https://www.basketball-reference.com/boxscores/201911240LAC.html,12.0,4,6,.667,1,1,1.000,1,1,1,3,4,1,0,0,1,0,10,8.7,+3,1.000
2019-11-24,201911240LAC,NOP,Q3,Jaxson Hayes,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.17,2,2,1.000,0,0,,0,0,0,1,1,0,0,0,0,2,4,2.9,+8,
2019-11-24,201911240LAC,NOP,Q3,JJ Redick,https://www.basketball-reference.com/boxscores/201911240LAC.html,10.37,2,3,.667,1,2,.500,1,1,0,2,2,0,0,0,0,0,6,5.3,+3,1.000
2019-11-24,201911240LAC,NOP,Q3,Kenrich Williams,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.57,1,2,.500,0,1,.000,0,1,1,1,2,1,0,1,1,1,2,1.6,+6,.000
2019-11-24,201911240LAC,NOP,Q3,E'Twaun Moore,https://www.basketball-reference.com/boxscores/201911240LAC.html,1.63,1,2,.500,0,0,,0,0,0,0,0,0,0,0,0,0,2,1.0,0,
2019-11-24,201911240LAC,NOP,Q3,Lonzo Ball,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.83,0,4,.000,0,2,.000,0,0,1,0,1,2,0,0,1,0,0,-1.7,-5,
2019-11-24,201911240LAC,NOP,Q3,Jahlil Okafor,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.83,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,-5,
2019-11-24,201911240LAC,NOP,Q3,Nicolò Melli,https://www.basketball-reference.com/boxscores/201911240LAC.html,3.43,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,3,2.3,-3,
2019-11-24,201911240LAC,NOP,Q4,Jrue Holiday,https://www.basketball-reference.com/boxscores/201911240LAC.html,8.55,1,1,1.000,1,1,1.000,0,0,0,1,1,1,0,0,0,0,3,3.7,-5,
2019-11-24,201911240LAC,NOP,Q4,Brandon Ingram,https://www.basketball-reference.com/boxscores/201911240LAC.html,4.48,2,3,.667,1,2,.500,0,0,0,0,0,1,0,1,0,1,5,4.7,0,
