game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2019-12-20,201912200PHI,DAL,Q1,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/201912200PHI.html,10.62,2,4,.500,0,1,.000,0,0,0,3,3,0,1,1,1,0,4,3.6,+6,
2019-12-20,201912200PHI,DAL,Q1,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/201912200PHI.html,12.0,7,8,.875,5,5,1.000,0,1,0,1,1,0,1,0,1,1,19,15.7,+7,.000
2019-12-20,201912200PHI,DAL,Q1,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/201912200PHI.html,9.57,2,4,.500,1,3,.333,0,0,0,0,0,2,2,0,1,1,5,5.0,+3,
2019-12-20,201912200PHI,DAL,Q1,Dwight Powell,https://www.basketball-reference.com/boxscores/201912200PHI.html,7.85,0,2,.000,0,1,.000,0,0,0,1,1,1,0,0,0,1,0,-0.8,-1,
2019-12-20,201912200PHI,DAL,Q1,Jalen Brunson,https://www.basketball-reference.com/boxscores/201912200PHI.html,9.1,1,3,.333,0,1,.000,0,0,0,2,2,2,1,1,1,0,2,3.0,+6,
2019-12-20,201912200PHI,DAL,Q1,Delon Wright,https://www.basketball-reference.com/boxscores/201912200PHI.html,2.9,1,1,1.000,0,0,,0,0,0,1,1,1,1,0,0,0,2,3.7,+1,
2019-12-20,201912200PHI,DAL,Q1,Maxi Kleber,https://www.basketball-reference.com/boxscores/201912200PHI.html,2.77,0,0,,0,0,,0,0,0,0,0,1,0,0,0,2,0,-0.1,+7,
2019-12-20,201912200PHI,DAL,Q1,Seth Curry,https://www.basketball-reference.com/boxscores/201912200PHI.html,2.43,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,+4,
2019-12-20,201912200PHI,DAL,Q1,Ryan Broekhoff,https://www.basketball-reference.com/boxscores/201912200PHI.html,1.38,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,3,2.7,+1,
2019-12-20,201912200PHI,DAL,Q1,Boban Marjanović,https://www.basketball-reference.com/boxscores/201912200PHI.html,1.38,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+1,
2019-12-20,201912200PHI,DAL,Q2,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/201912200PHI.html,7.47,5,6,.833,2,2,1.000,0,0,2,1,3,0,0,0,1,2,12,9.7,+3,
2019-12-20,201912200PHI,DAL,Q2,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/201912200PHI.html,4.73,0,4,.000,0,2,.000,0,0,0,1,1,0,0,0,0,0,0,-2.5,-7,
2019-12-20,201912200PHI,DAL,Q2,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/201912200PHI.html,4.53,0,0,,0,0,,0,0,1,1,2,1,0,0,2,0,0,-0.3,-4,
2019-12-20,201912200PHI,DAL,Q2,Dwight Powell,https://www.basketball-reference.com/boxscores/201912200PHI.html,5.95,1,2,.500,0,0,,3,4,0,3,3,1,0,0,0,1,5,4.8,+11,.750
2019-12-20,201912200PHI,DAL,Q2,Delon Wright,https://www.basketball-reference.com/boxscores/201912200PHI.html,12.0,0,1,.000,0,0,,4,4,2,3,5,3,1,0,1,1,4,7.3,-1,1.000
2019-12-20,201912200PHI,DAL,Q2,Maxi Kleber,https://www.basketball-reference.com/boxscores/201912200PHI.html,2.88,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,1,0,2,1.0,-10,
2019-12-20,201912200PHI,DAL,Q2,Seth Curry,https://www.basketball-reference.com/boxscores/201912200PHI.html,7.27,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,+6,
2019-12-20,201912200PHI,DAL,Q2,Ryan Broekhoff,https://www.basketball-reference.com/boxscores/201912200PHI.html,12.0,2,6,.333,1,4,.250,0,0,0,1,1,0,0,0,0,1,5,1.5,-1,
2019-12-20,201912200PHI,DAL,Q2,Boban Marjanović,https://www.basketball-reference.com/boxscores/201912200PHI.html,3.17,0,0,,0,0,,0,2,0,1,1,0,0,0,1,2,0,-2.3,-2,.000
2019-12-20,201912200PHI,DAL,Q3,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/201912200PHI.html,8.67,1,5,.200,0,3,.000,0,0,0,9,9,0,0,0,0,1,2,1.2,0,
2019-12-20,201912200PHI,DAL,Q3,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/201912200PHI.html,7.77,1,5,.200,0,1,.000,0,0,1,0,1,1,0,0,0,0,2,0.3,+2,
2019-12-20,201912200PHI,DAL,Q3,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/201912200PHI.html,12.0,0,0,,0,0,,2,2,1,2,3,0,0,0,0,0,2,3.3,+5,1.000
2019-12-20,201912200PHI,DAL,Q3,Dwight Powell,https://www.basketball-reference.com/boxscores/201912200PHI.html,6.57,1,2,.500,0,0,,0,0,0,0,0,1,0,0,0,0,2,1.7,+3,
2019-12-20,201912200PHI,DAL,Q3,Jalen Brunson,https://www.basketball-reference.com/boxscores/201912200PHI.html,9.92,2,4,.500,0,1,.000,0,0,0,1,1,4,0,0,1,1,4,3.7,+4,
2019-12-20,201912200PHI,DAL,Q3,Delon Wright,https://www.basketball-reference.com/boxscores/201912200PHI.html,2.08,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+1,
2019-12-20,201912200PHI,DAL,Q3,Maxi Kleber,https://www.basketball-reference.com/boxscores/201912200PHI.html,8.77,2,3,.667,1,2,.500,1,1,0,1,1,0,0,0,1,1,6,3.6,+7,1.000
2019-12-20,201912200PHI,DAL,Q3,Seth Curry,https://www.basketball-reference.com/boxscores/201912200PHI.html,4.23,3,5,.600,1,2,.500,0,0,0,0,0,0,0,0,0,0,7,4.7,+3,
2019-12-20,201912200PHI,DAL,Q4,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/201912200PHI.html,10.35,2,4,.500,0,0,,0,0,1,2,3,0,0,2,0,0,4,4.7,+7,
2019-12-20,201912200PHI,DAL,Q4,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/201912200PHI.html,7.07,2,4,.500,2,3,.667,0,0,0,1,1,0,0,0,0,1,6,3.9,+10,
2019-12-20,201912200PHI,DAL,Q4,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/201912200PHI.html,4.73,1,1,1.000,0,0,,2,2,0,1,1,1,0,0,0,1,4,4.3,+7,1.000
2019-12-20,201912200PHI,DAL,Q4,Dwight Powell,https://www.basketball-reference.com/boxscores/201912200PHI.html,4.95,0,0,,0,0,,2,2,0,1,1,1,0,0,1,0,2,2.0,+4,1.000
2019-12-20,201912200PHI,DAL,Q4,Jalen Brunson,https://www.basketball-reference.com/boxscores/201912200PHI.html,5.62,2,2,1.000,0,0,,1,1,0,0,0,1,0,0,0,0,5,5.1,+9,1.000
