game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2019-12-29,201912290TOR,OKC,Q1,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/201912290TOR.html,10.12,3,3,1.000,0,0,0,0,0,1,1,1,1,0,0,0,6,7.1,0,,
2019-12-29,201912290TOR,OKC,Q1,Terrance Ferguson,https://www.basketball-reference.com/boxscores/201912290TOR.html,7.52,0,3,.000,0,3,0,0,0,0,0,0,0,0,0,1,0,-2.5,-3,.000,
2019-12-29,201912290TOR,OKC,Q1,Chris Paul,https://www.basketball-reference.com/boxscores/201912290TOR.html,7.73,1,1,1.000,1,1,2,2,0,3,3,1,0,0,0,0,5,6.3,-1,1.000,1.000
2019-12-29,201912290TOR,OKC,Q1,Darius Bazley,https://www.basketball-reference.com/boxscores/201912290TOR.html,8.52,0,1,.000,0,1,0,0,0,2,2,0,0,1,2,0,0,-1.4,-3,.000,
2019-12-29,201912290TOR,OKC,Q1,Steven Adams,https://www.basketball-reference.com/boxscores/201912290TOR.html,7.18,1,4,.250,0,0,2,2,2,0,2,0,0,0,0,0,4,3.0,0,,1.000
2019-12-29,201912290TOR,OKC,Q1,Abdel Nader,https://www.basketball-reference.com/boxscores/201912290TOR.html,4.48,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,+5,,
2019-12-29,201912290TOR,OKC,Q1,Nerlens Noel,https://www.basketball-reference.com/boxscores/201912290TOR.html,4.82,2,2,1.000,0,0,0,0,0,1,1,0,2,2,2,0,4,5.1,+2,,
2019-12-29,201912290TOR,OKC,Q1,Luguentz Dort,https://www.basketball-reference.com/boxscores/201912290TOR.html,6.15,1,3,.333,0,2,1,1,0,0,0,0,0,0,1,1,3,-0.1,+5,.000,1.000
2019-12-29,201912290TOR,OKC,Q1,Deonte Burton,https://www.basketball-reference.com/boxscores/201912290TOR.html,1.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.8,0,,
2019-12-29,201912290TOR,OKC,Q1,Kevin Hervey,https://www.basketball-reference.com/boxscores/201912290TOR.html,2.23,0,1,.000,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,+5,.000,
2019-12-29,201912290TOR,OKC,Q2,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/201912290TOR.html,9.03,5,8,.625,2,3,2,2,0,2,2,0,0,0,0,1,14,10.6,+2,.667,1.000
2019-12-29,201912290TOR,OKC,Q2,Terrance Ferguson,https://www.basketball-reference.com/boxscores/201912290TOR.html,9.87,0,1,.000,0,1,0,0,1,1,2,0,0,0,1,1,0,-1.1,+5,.000,
2019-12-29,201912290TOR,OKC,Q2,Chris Paul,https://www.basketball-reference.com/boxscores/201912290TOR.html,6.45,0,4,.000,0,1,0,0,0,4,4,2,0,0,1,0,0,-1.2,+4,.000,
2019-12-29,201912290TOR,OKC,Q2,Darius Bazley,https://www.basketball-reference.com/boxscores/201912290TOR.html,3.58,1,1,1.000,1,1,0,0,0,0,0,0,0,1,0,0,3,3.4,-2,1.000,
2019-12-29,201912290TOR,OKC,Q2,Steven Adams,https://www.basketball-reference.com/boxscores/201912290TOR.html,7.37,1,1,1.000,0,0,3,4,0,1,1,0,0,1,1,0,5,4.3,-1,,.750
2019-12-29,201912290TOR,OKC,Q2,Abdel Nader,https://www.basketball-reference.com/boxscores/201912290TOR.html,5.23,0,0,,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,+1,,
2019-12-29,201912290TOR,OKC,Q2,Nerlens Noel,https://www.basketball-reference.com/boxscores/201912290TOR.html,4.63,1,1,1.000,0,0,1,1,0,1,1,1,0,0,0,0,3,3.7,-1,,1.000
2019-12-29,201912290TOR,OKC,Q2,Luguentz Dort,https://www.basketball-reference.com/boxscores/201912290TOR.html,2.13,0,1,.000,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,-7,.000,
2019-12-29,201912290TOR,OKC,Q2,Deonte Burton,https://www.basketball-reference.com/boxscores/201912290TOR.html,6.77,0,2,.000,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.7,-3,.000,
2019-12-29,201912290TOR,OKC,Q2,Kevin Hervey,https://www.basketball-reference.com/boxscores/201912290TOR.html,4.93,0,2,.000,0,2,0,0,0,2,2,0,0,0,0,1,0,-1.2,-8,.000,
2019-12-29,201912290TOR,OKC,Q3,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/201912290TOR.html,11.87,2,7,.286,1,2,3,4,1,0,1,1,2,0,1,0,8,5.9,-4,.500,.750
2019-12-29,201912290TOR,OKC,Q3,Terrance Ferguson,https://www.basketball-reference.com/boxscores/201912290TOR.html,9.8,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0,1.0,0,,
