game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2020-01-24,202001240NYK,TOR,Q1,Fred VanVleet,https://www.basketball-reference.com/boxscores/202001240NYK.html,8.72,1,4,.250,0,2,.000,0,0,0,0,0,1,1,0,0,0,2,1.3,-6,
2020-01-24,202001240NYK,TOR,Q1,Kyle Lowry,https://www.basketball-reference.com/boxscores/202001240NYK.html,11.55,2,4,.500,1,3,.333,2,2,0,3,3,2,2,1,0,1,7,9.6,-8,1.000
2020-01-24,202001240NYK,TOR,Q1,Pascal Siakam,https://www.basketball-reference.com/boxscores/202001240NYK.html,9.88,2,6,.333,0,2,.000,0,0,0,3,3,0,0,0,1,0,4,0.5,-11,
2020-01-24,202001240NYK,TOR,Q1,Marc Gasol,https://www.basketball-reference.com/boxscores/202001240NYK.html,8.27,0,2,.000,0,1,.000,0,0,2,0,2,1,0,0,0,0,0,0.7,-6,
2020-01-24,202001240NYK,TOR,Q1,OG Anunoby,https://www.basketball-reference.com/boxscores/202001240NYK.html,9.88,1,3,.333,0,0,,0,0,0,1,1,0,0,0,0,0,2,0.6,-11,
2020-01-24,202001240NYK,TOR,Q1,Norman Powell,https://www.basketball-reference.com/boxscores/202001240NYK.html,3.73,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-0.7,-2,
2020-01-24,202001240NYK,TOR,Q1,Serge Ibaka,https://www.basketball-reference.com/boxscores/202001240NYK.html,3.73,2,3,.667,1,1,1.000,0,0,0,0,0,0,0,1,0,0,5,4.4,-2,
2020-01-24,202001240NYK,TOR,Q1,Rondae Hollis-Jefferson,https://www.basketball-reference.com/boxscores/202001240NYK.html,2.12,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,1,0,-1.1,+3,
2020-01-24,202001240NYK,TOR,Q1,Terence Davis,https://www.basketball-reference.com/boxscores/202001240NYK.html,2.12,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,+3,
2020-01-24,202001240NYK,TOR,Q2,Fred VanVleet,https://www.basketball-reference.com/boxscores/202001240NYK.html,8.83,2,2,1.000,1,1,1.000,0,0,0,0,0,3,0,0,0,0,5,6.5,+9,
2020-01-24,202001240NYK,TOR,Q2,Kyle Lowry,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.32,1,1,1.000,1,1,1.000,2,2,0,0,0,0,0,0,0,0,5,4.7,+3,1.000
2020-01-24,202001240NYK,TOR,Q2,Pascal Siakam,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.32,2,3,.667,0,1,.000,0,0,0,0,0,0,0,1,1,1,4,2.0,+3,
2020-01-24,202001240NYK,TOR,Q2,Marc Gasol,https://www.basketball-reference.com/boxscores/202001240NYK.html,6.78,0,0,,0,0,,0,0,0,5,5,1,0,0,0,0,0,2.2,+9,
2020-01-24,202001240NYK,TOR,Q2,OG Anunoby,https://www.basketball-reference.com/boxscores/202001240NYK.html,4.18,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,0,1,2,1.3,0,
2020-01-24,202001240NYK,TOR,Q2,Norman Powell,https://www.basketball-reference.com/boxscores/202001240NYK.html,9.85,3,6,.500,1,2,.500,0,0,2,0,2,1,0,0,0,0,7,6.1,+10,
2020-01-24,202001240NYK,TOR,Q2,Serge Ibaka,https://www.basketball-reference.com/boxscores/202001240NYK.html,6.68,2,3,.667,1,1,1.000,0,0,0,0,0,0,0,1,0,0,5,4.4,+8,
2020-01-24,202001240NYK,TOR,Q2,Rondae Hollis-Jefferson,https://www.basketball-reference.com/boxscores/202001240NYK.html,7.82,1,2,.500,0,0,,1,2,1,1,2,1,0,1,0,1,3,3.6,+11,.500
2020-01-24,202001240NYK,TOR,Q2,Terence Davis,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.22,2,3,.667,1,2,.500,0,0,0,1,1,0,0,0,0,0,5,4.0,+2,
2020-01-24,202001240NYK,TOR,Q3,Fred VanVleet,https://www.basketball-reference.com/boxscores/202001240NYK.html,9.55,1,3,.333,1,3,.333,0,0,0,0,0,2,0,0,0,1,3,2.3,0,
2020-01-24,202001240NYK,TOR,Q3,Kyle Lowry,https://www.basketball-reference.com/boxscores/202001240NYK.html,10.82,1,4,.250,1,3,.333,4,4,0,2,2,1,0,0,0,1,7,5.5,+2,1.000
2020-01-24,202001240NYK,TOR,Q3,Pascal Siakam,https://www.basketball-reference.com/boxscores/202001240NYK.html,10.82,3,4,.750,1,1,1.000,1,1,0,4,4,3,0,0,0,2,8,8.9,+2,1.000
2020-01-24,202001240NYK,TOR,Q3,Marc Gasol,https://www.basketball-reference.com/boxscores/202001240NYK.html,9.2,2,3,.667,2,3,.667,0,0,0,2,2,0,0,0,1,3,6,3.1,+2,
2020-01-24,202001240NYK,TOR,Q3,OG Anunoby,https://www.basketball-reference.com/boxscores/202001240NYK.html,6.27,0,1,.000,0,1,.000,0,0,0,1,1,0,0,1,1,0,0,-0.7,+2,
2020-01-24,202001240NYK,TOR,Q3,Norman Powell,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.73,2,3,.667,1,2,.500,0,0,0,0,0,0,1,0,0,2,5,3.9,+1,
2020-01-24,202001240NYK,TOR,Q3,Serge Ibaka,https://www.basketball-reference.com/boxscores/202001240NYK.html,2.8,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+1,
2020-01-24,202001240NYK,TOR,Q3,Rondae Hollis-Jefferson,https://www.basketball-reference.com/boxscores/202001240NYK.html,3.63,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.0,+4,
2020-01-24,202001240NYK,TOR,Q3,Terence Davis,https://www.basketball-reference.com/boxscores/202001240NYK.html,1.18,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+1,
2020-01-24,202001240NYK,TOR,Q4,Fred VanVleet,https://www.basketball-reference.com/boxscores/202001240NYK.html,12.0,2,3,.667,1,1,1.000,1,2,0,0,0,3,0,0,0,1,6,6.0,0,.500
2020-01-24,202001240NYK,TOR,Q4,Kyle Lowry,https://www.basketball-reference.com/boxscores/202001240NYK.html,7.4,1,3,.333,0,1,.000,5,6,0,1,1,0,2,0,0,1,7,6.8,-3,.833
2020-01-24,202001240NYK,TOR,Q4,Pascal Siakam,https://www.basketball-reference.com/boxscores/202001240NYK.html,6.5,2,2,1.000,1,1,1.000,2,2,0,0,0,0,0,0,1,1,7,5.0,0,1.000
2020-01-24,202001240NYK,TOR,Q4,Marc Gasol,https://www.basketball-reference.com/boxscores/202001240NYK.html,6.07,0,0,,0,0,,0,0,0,0,0,2,0,0,0,0,0,1.4,+1,
2020-01-24,202001240NYK,TOR,Q4,OG Anunoby,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.25,1,2,.500,1,1,1.000,0,0,0,0,0,0,1,0,0,0,3,3.0,+4,
2020-01-24,202001240NYK,TOR,Q4,Norman Powell,https://www.basketball-reference.com/boxscores/202001240NYK.html,5.93,1,1,1.000,1,1,1.000,1,2,0,0,0,2,0,0,1,0,4,3.7,-1,.500
