game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2020-03-06,202003060LAL,MIL,Q1,Khris Middleton,https://www.basketball-reference.com/boxscores/202003060LAL.html,10.12,1,4,.250,0,3,.000,0,0,0,1,1,0,0,0,0,0,2,-0.1,+7,
2020-03-06,202003060LAL,MIL,Q1,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202003060LAL.html,7.83,3,6,.500,0,1,.000,4,4,0,4,4,1,0,0,0,1,10,8.5,-1,1.000
2020-03-06,202003060LAL,MIL,Q1,Brook Lopez,https://www.basketball-reference.com/boxscores/202003060LAL.html,6.22,1,1,1.000,1,1,1.000,0,0,0,1,1,0,0,0,1,0,3,2.0,+7,
2020-03-06,202003060LAL,MIL,Q1,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202003060LAL.html,7.3,0,3,.000,0,2,.000,0,0,0,3,3,2,2,0,1,1,0,0.8,+4,
2020-03-06,202003060LAL,MIL,Q1,Wesley Matthews,https://www.basketball-reference.com/boxscores/202003060LAL.html,8.87,0,2,.000,0,2,.000,0,0,0,1,1,0,1,0,0,1,0,-0.5,+3,
2020-03-06,202003060LAL,MIL,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202003060LAL.html,5.78,1,4,.250,0,2,.000,0,0,0,0,0,1,0,0,0,0,2,0.3,-4,
2020-03-06,202003060LAL,MIL,Q1,Marvin Williams,https://www.basketball-reference.com/boxscores/202003060LAL.html,4.17,1,1,1.000,1,1,1.000,0,0,0,1,1,0,0,0,0,0,3,3.0,+4,
2020-03-06,202003060LAL,MIL,Q1,Pat Connaughton,https://www.basketball-reference.com/boxscores/202003060LAL.html,3.13,1,2,.500,0,1,.000,0,0,2,2,4,0,0,0,0,0,2,3.0,0,
2020-03-06,202003060LAL,MIL,Q1,Kyle Korver,https://www.basketball-reference.com/boxscores/202003060LAL.html,2.9,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,1,1,0,-2.1,0,
2020-03-06,202003060LAL,MIL,Q1,Robin Lopez,https://www.basketball-reference.com/boxscores/202003060LAL.html,3.68,0,0,,0,0,,0,0,1,1,2,0,0,0,2,2,0,-1.8,-5,
2020-03-06,202003060LAL,MIL,Q2,Khris Middleton,https://www.basketball-reference.com/boxscores/202003060LAL.html,6.75,2,5,.400,1,2,.500,0,0,0,2,2,1,0,0,1,0,5,2.6,-3,
2020-03-06,202003060LAL,MIL,Q2,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202003060LAL.html,7.88,1,3,.333,0,1,.000,0,0,0,3,3,3,1,0,1,1,2,2.9,0,
2020-03-06,202003060LAL,MIL,Q2,Brook Lopez,https://www.basketball-reference.com/boxscores/202003060LAL.html,8.02,2,2,1.000,2,2,1.000,1,2,0,1,1,1,0,0,0,1,7,6.6,+5,.500
2020-03-06,202003060LAL,MIL,Q2,Eric Bledsoe,https://www.basketball-reference.com/boxscores/202003060LAL.html,7.97,2,3,.667,0,0,,0,0,0,0,0,1,1,0,2,2,4,1.6,+5,
2020-03-06,202003060LAL,MIL,Q2,Wesley Matthews,https://www.basketball-reference.com/boxscores/202003060LAL.html,7.77,1,2,.500,1,2,.500,0,0,0,0,0,1,1,0,0,0,3,3.7,+1,
2020-03-06,202003060LAL,MIL,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202003060LAL.html,4.65,0,1,.000,0,0,,0,0,0,0,0,0,0,0,1,1,0,-2.1,-10,
2020-03-06,202003060LAL,MIL,Q2,Marvin Williams,https://www.basketball-reference.com/boxscores/202003060LAL.html,4.12,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,-3,
2020-03-06,202003060LAL,MIL,Q2,Pat Connaughton,https://www.basketball-reference.com/boxscores/202003060LAL.html,5.15,1,3,.333,0,1,.000,0,0,0,1,1,0,0,0,1,1,2,-0.8,-8,
