game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2020-08-18,202008180IND,MIA,Q1,Jimmy Butler,https://www.basketball-reference.com/boxscores/202008180IND.html,11.27,3,8,.375,0,0,2,4,.500,0,1,1,2,1,1,2,1,8,3.8,-6,
2020-08-18,202008180IND,MIA,Q1,Bam Adebayo,https://www.basketball-reference.com/boxscores/202008180IND.html,8.53,3,5,.600,0,0,0,0,,1,0,1,2,0,0,0,1,6,5.4,-2,
2020-08-18,202008180IND,MIA,Q1,Goran Dragić,https://www.basketball-reference.com/boxscores/202008180IND.html,7.28,0,1,.000,0,1,0,0,,0,1,1,2,1,0,1,1,0,0.6,0,.000
2020-08-18,202008180IND,MIA,Q1,Jae Crowder,https://www.basketball-reference.com/boxscores/202008180IND.html,9.35,2,2,1.000,1,1,0,0,,0,3,3,0,0,0,1,1,5,3.9,-2,1.000
2020-08-18,202008180IND,MIA,Q1,Duncan Robinson,https://www.basketball-reference.com/boxscores/202008180IND.html,6.55,1,2,.500,1,2,0,0,,0,0,0,1,0,0,0,2,3,1.9,0,.500
2020-08-18,202008180IND,MIA,Q1,Tyler Herro,https://www.basketball-reference.com/boxscores/202008180IND.html,5.45,1,2,.500,1,2,2,2,1.000,0,1,1,0,0,0,1,1,5,2.9,-6,.500
2020-08-18,202008180IND,MIA,Q1,Andre Iguodala,https://www.basketball-reference.com/boxscores/202008180IND.html,5.45,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,
2020-08-18,202008180IND,MIA,Q1,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202008180IND.html,2.65,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,
2020-08-18,202008180IND,MIA,Q1,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202008180IND.html,3.47,0,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4,
2020-08-18,202008180IND,MIA,Q2,Jimmy Butler,https://www.basketball-reference.com/boxscores/202008180IND.html,7.32,1,2,.500,0,0,4,4,1.000,0,1,1,1,1,0,1,0,6,6.0,+8,
2020-08-18,202008180IND,MIA,Q2,Bam Adebayo,https://www.basketball-reference.com/boxscores/202008180IND.html,8.23,2,3,.667,0,0,2,2,1.000,1,2,3,1,0,1,0,0,6,7.4,+8,
2020-08-18,202008180IND,MIA,Q2,Goran Dragić,https://www.basketball-reference.com/boxscores/202008180IND.html,6.65,1,5,.200,1,2,0,0,,0,1,1,0,0,0,0,0,3,0.2,+7,.500
2020-08-18,202008180IND,MIA,Q2,Jae Crowder,https://www.basketball-reference.com/boxscores/202008180IND.html,5.18,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,
2020-08-18,202008180IND,MIA,Q2,Duncan Robinson,https://www.basketball-reference.com/boxscores/202008180IND.html,5.35,0,2,.000,0,2,0,0,,0,2,2,0,1,0,1,0,0,-0.8,+3,.000
2020-08-18,202008180IND,MIA,Q2,Tyler Herro,https://www.basketball-reference.com/boxscores/202008180IND.html,10.73,1,3,.333,0,2,2,2,1.000,0,1,1,3,0,0,1,1,4,3.3,+10,.000
2020-08-18,202008180IND,MIA,Q2,Andre Iguodala,https://www.basketball-reference.com/boxscores/202008180IND.html,5.95,2,2,1.000,0,0,0,0,,0,0,0,0,0,0,0,1,4,3.0,+2,
2020-08-18,202008180IND,MIA,Q2,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202008180IND.html,6.82,1,2,.500,1,2,0,0,,0,1,1,2,0,0,0,0,3,3.7,+9,.500
2020-08-18,202008180IND,MIA,Q2,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202008180IND.html,3.77,1,1,1.000,1,1,0,0,,0,1,1,0,1,0,0,0,3,4.0,+2,1.000
2020-08-18,202008180IND,MIA,Q3,Jimmy Butler,https://www.basketball-reference.com/boxscores/202008180IND.html,10.47,1,1,1.000,0,0,2,2,1.000,0,0,0,0,1,0,0,1,4,4.3,+1,
2020-08-18,202008180IND,MIA,Q3,Bam Adebayo,https://www.basketball-reference.com/boxscores/202008180IND.html,8.78,2,4,.500,0,0,1,2,.500,1,2,3,3,0,1,0,1,5,6.3,+5,
2020-08-18,202008180IND,MIA,Q3,Goran Dragić,https://www.basketball-reference.com/boxscores/202008180IND.html,8.07,2,3,.667,1,2,2,2,1.000,0,0,0,1,0,0,0,0,7,6.4,+2,.500
2020-08-18,202008180IND,MIA,Q3,Jae Crowder,https://www.basketball-reference.com/boxscores/202008180IND.html,10.47,1,4,.250,1,4,0,0,,0,2,2,0,0,0,0,0,3,1.2,+1,.250
2020-08-18,202008180IND,MIA,Q3,Duncan Robinson,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,1,4,.250,1,4,0,1,.000,0,1,1,0,0,0,0,1,3,0.1,-3,.250
2020-08-18,202008180IND,MIA,Q3,Tyler Herro,https://www.basketball-reference.com/boxscores/202008180IND.html,5.47,1,1,1.000,0,0,0,0,,0,0,0,0,0,0,0,0,2,1.7,-9,
2020-08-18,202008180IND,MIA,Q3,Andre Iguodala,https://www.basketball-reference.com/boxscores/202008180IND.html,1.53,0,1,.000,0,1,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,.000
2020-08-18,202008180IND,MIA,Q3,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202008180IND.html,3.22,0,0,,0,0,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-8,
2020-08-18,202008180IND,MIA,Q4,Jimmy Butler,https://www.basketball-reference.com/boxscores/202008180IND.html,7.95,3,4,.750,2,2,2,2,1.000,0,1,1,1,1,1,1,1,10,9.7,+10,1.000
2020-08-18,202008180IND,MIA,Q4,Bam Adebayo,https://www.basketball-reference.com/boxscores/202008180IND.html,9.27,0,2,.000,0,0,0,0,,1,2,3,0,0,1,0,0,0,0.6,+12,
2020-08-18,202008180IND,MIA,Q4,Goran Dragić,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,6,10,.600,2,4,0,0,,2,2,4,2,0,0,0,1,14,12.4,+11,.500
2020-08-18,202008180IND,MIA,Q4,Tyler Herro,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,2,3,.667,0,1,0,0,,0,1,1,1,1,0,0,0,4,4.7,+11,.000
2020-08-18,202008180IND,MIA,Q4,Andre Iguodala,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,0,0,,0,0,0,0,,0,0,0,0,0,2,0,2,0,0.6,+11,
2020-08-18,202008180IND,MIA,Q4,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202008180IND.html,4.05,1,2,.500,0,1,0,0,,0,1,1,0,0,0,0,0,2,1.3,+1,.000
2020-08-18,202008180IND,MIA,Q4,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202008180IND.html,2.73,1,2,.500,0,1,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1,.000
2020-08-18,202008180IND,IND,Q1,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,1,4,.250,0,2,4,4,1.000,0,1,1,3,0,0,1,0,6,5.0,+6,.000
2020-08-18,202008180IND,IND,Q1,T.J. Warren,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,4,6,.667,1,1,0,0,,1,1,2,0,2,0,0,0,9,9.4,+6,1.000
2020-08-18,202008180IND,IND,Q1,Myles Turner,https://www.basketball-reference.com/boxscores/202008180IND.html,9.35,1,2,.500,0,0,1,2,.500,1,4,5,1,0,0,0,0,3,4.2,+2,
2020-08-18,202008180IND,IND,Q1,Aaron Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,6.77,2,3,.667,0,0,2,2,1.000,0,2,2,2,0,0,0,3,6,5.5,+4,
2020-08-18,202008180IND,IND,Q1,Victor Oladipo,https://www.basketball-reference.com/boxscores/202008180IND.html,8.57,0,2,.000,0,1,4,4,1.000,0,0,0,0,1,0,1,1,4,2.2,+2,.000
2020-08-18,202008180IND,IND,Q1,Justin Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,3.43,1,1,1.000,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,+4,1.000
2020-08-18,202008180IND,IND,Q1,Edmond Sumner,https://www.basketball-reference.com/boxscores/202008180IND.html,4.5,1,1,1.000,0,0,0,0,,0,0,0,0,0,0,0,2,2,0.9,+2,
2020-08-18,202008180IND,IND,Q1,JaKarr Sampson,https://www.basketball-reference.com/boxscores/202008180IND.html,2.65,0,0,,0,0,0,0,,0,1,1,0,1,0,0,0,0,1.3,+4,
2020-08-18,202008180IND,IND,Q1,T.J. McConnell,https://www.basketball-reference.com/boxscores/202008180IND.html,0.73,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,
2020-08-18,202008180IND,IND,Q2,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202008180IND.html,7.32,1,3,.333,0,0,2,2,1.000,0,0,0,1,1,0,1,0,4,3.0,-8,
2020-08-18,202008180IND,IND,Q2,T.J. Warren,https://www.basketball-reference.com/boxscores/202008180IND.html,7.32,0,3,.000,0,1,0,0,,0,2,2,2,2,0,1,0,0,0.9,-8,.000
2020-08-18,202008180IND,IND,Q2,Myles Turner,https://www.basketball-reference.com/boxscores/202008180IND.html,6.83,1,4,.250,0,2,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-5,.000
2020-08-18,202008180IND,IND,Q2,Justin Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,9.87,2,2,1.000,2,2,0,0,,1,0,1,0,0,1,1,2,6,5.0,-3,1.000
2020-08-18,202008180IND,IND,Q2,Edmond Sumner,https://www.basketball-reference.com/boxscores/202008180IND.html,8.38,0,1,.000,0,1,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-1,.000
2020-08-18,202008180IND,IND,Q2,Doug McDermott,https://www.basketball-reference.com/boxscores/202008180IND.html,8.3,0,1,.000,0,1,0,0,,0,0,0,1,0,0,0,0,0,0.0,-11,.000
2020-08-18,202008180IND,IND,Q2,JaKarr Sampson,https://www.basketball-reference.com/boxscores/202008180IND.html,5.17,3,4,.750,0,0,0,0,,0,2,2,0,0,0,1,1,6,3.6,-5,
2020-08-18,202008180IND,IND,Q2,T.J. McConnell,https://www.basketball-reference.com/boxscores/202008180IND.html,6.82,0,0,,0,0,1,2,.500,0,0,0,2,0,0,1,2,1,0.2,-9,
2020-08-18,202008180IND,IND,Q3,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202008180IND.html,12.0,3,7,.429,1,2,1,2,.500,0,0,0,4,0,0,0,1,8,6.3,+3,.500
2020-08-18,202008180IND,IND,Q3,T.J. Warren,https://www.basketball-reference.com/boxscores/202008180IND.html,10.47,4,5,.800,2,2,0,0,,1,1,2,1,0,0,0,2,10,9.0,-1,1.000
2020-08-18,202008180IND,IND,Q3,Myles Turner,https://www.basketball-reference.com/boxscores/202008180IND.html,7.15,1,2,.500,0,0,0,0,,0,2,2,1,0,1,1,0,2,2.0,-4,
2020-08-18,202008180IND,IND,Q3,Aaron Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,1.03,0,1,.000,0,1,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,.000
2020-08-18,202008180IND,IND,Q3,Justin Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,10.97,1,1,1.000,0,0,0,0,,0,1,1,0,0,0,0,1,2,1.6,+3,
2020-08-18,202008180IND,IND,Q3,Edmond Sumner,https://www.basketball-reference.com/boxscores/202008180IND.html,10.47,1,2,.500,0,0,0,0,,0,3,3,0,0,0,0,1,2,1.5,-1,
2020-08-18,202008180IND,IND,Q3,Doug McDermott,https://www.basketball-reference.com/boxscores/202008180IND.html,1.53,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,
2020-08-18,202008180IND,IND,Q3,JaKarr Sampson,https://www.basketball-reference.com/boxscores/202008180IND.html,4.85,1,1,1.000,0,0,0,0,,0,0,0,0,0,0,0,0,2,1.7,+7,
2020-08-18,202008180IND,IND,Q3,T.J. McConnell,https://www.basketball-reference.com/boxscores/202008180IND.html,1.53,1,1,1.000,0,0,0,0,,0,2,2,0,0,0,0,0,2,2.3,+4,
2020-08-18,202008180IND,IND,Q4,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202008180IND.html,7.95,1,4,.250,0,2,2,2,1.000,0,0,0,2,0,0,1,0,4,2.0,-10,.000
2020-08-18,202008180IND,IND,Q4,T.J. Warren,https://www.basketball-reference.com/boxscores/202008180IND.html,7.95,1,4,.250,1,1,0,0,,0,2,2,0,0,0,1,2,3,-0.6,-10,1.000
2020-08-18,202008180IND,IND,Q4,Myles Turner,https://www.basketball-reference.com/boxscores/202008180IND.html,9.27,1,3,.333,0,1,0,0,,1,0,1,0,0,2,0,2,2,1.6,-12,.000
2020-08-18,202008180IND,IND,Q4,Aaron Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,8.32,1,1,1.000,1,1,0,0,,1,0,1,0,0,0,0,0,3,3.4,-5,1.000
2020-08-18,202008180IND,IND,Q4,Justin Holiday,https://www.basketball-reference.com/boxscores/202008180IND.html,7.4,0,0,,0,0,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-3,
2020-08-18,202008180IND,IND,Q4,Edmond Sumner,https://www.basketball-reference.com/boxscores/202008180IND.html,3.68,0,0,,0,0,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,-6,
2020-08-18,202008180IND,IND,Q4,Doug McDermott,https://www.basketball-reference.com/boxscores/202008180IND.html,7.33,1,3,.333,1,2,0,0,,0,1,1,0,0,0,0,0,3,1.6,-7,.500
2020-08-18,202008180IND,IND,Q4,JaKarr Sampson,https://www.basketball-reference.com/boxscores/202008180IND.html,4.05,1,1,1.000,0,0,0,0,,0,0,0,1,0,0,0,0,2,2.4,-1,
2020-08-18,202008180IND,IND,Q4,T.J. McConnell,https://www.basketball-reference.com/boxscores/202008180IND.html,4.05,1,3,.333,0,0,0,0,,0,1,1,1,0,0,0,0,2,1.3,-1,
