game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2021-01-05,202101050MEM,LAL,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202101050MEM.html,9.87,2,5,.400,0,0,0,0,0,0,0,0,0,0,2,0,4,-0.7,-1,,
2021-01-05,202101050MEM,LAL,Q1,Anthony Davis,https://www.basketball-reference.com/boxscores/202101050MEM.html,9.87,2,5,.400,0,2,0,1,0,2,2,3,1,2,0,0,4,6.0,-1,.000,.000
2021-01-05,202101050MEM,LAL,Q1,LeBron James,https://www.basketball-reference.com/boxscores/202101050MEM.html,9.82,2,4,.500,0,1,1,1,0,3,3,2,0,0,2,0,5,3.3,0,.000,1.000
2021-01-05,202101050MEM,LAL,Q1,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.05,1,2,.500,0,1,0,0,0,2,2,0,0,0,0,0,2,1.6,+8,.000,
2021-01-05,202101050MEM,LAL,Q1,Marc Gasol,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.12,0,0,,0,0,0,0,0,3,3,0,0,1,1,1,0,0.2,+7,,
2021-01-05,202101050MEM,LAL,Q1,Wesley Matthews,https://www.basketball-reference.com/boxscores/202101050MEM.html,4.95,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-13,,
2021-01-05,202101050MEM,LAL,Q1,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202101050MEM.html,4.32,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-9,,
2021-01-05,202101050MEM,LAL,Q1,Montrezl Harrell,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.88,2,3,.667,0,1,0,0,0,1,1,1,1,0,1,0,4,3.7,-12,.000,
2021-01-05,202101050MEM,LAL,Q1,Markieff Morris,https://www.basketball-reference.com/boxscores/202101050MEM.html,2.13,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1,-4,,
2021-01-05,202101050MEM,LAL,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.62,1,3,.333,0,1,0,0,0,0,0,2,0,0,0,0,2,1.7,-1,.000,
2021-01-05,202101050MEM,LAL,Q2,Anthony Davis,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.7,3,4,.750,2,2,0,0,0,2,2,0,0,0,2,0,8,5.0,+4,1.000,
2021-01-05,202101050MEM,LAL,Q2,LeBron James,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.07,0,4,.000,0,0,0,0,0,1,1,0,0,0,1,0,0,-3.5,+2,,
2021-01-05,202101050MEM,LAL,Q2,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.62,0,1,.000,0,0,0,0,1,1,2,0,0,0,1,1,0,-1.1,-1,,
2021-01-05,202101050MEM,LAL,Q2,Marc Gasol,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.38,1,2,.500,1,2,0,0,0,0,0,1,1,0,0,1,3,3.3,-2,.500,
2021-01-05,202101050MEM,LAL,Q2,Wesley Matthews,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.77,1,3,.333,1,3,0,0,0,2,2,0,0,0,0,0,3,1.9,+4,.333,
2021-01-05,202101050MEM,LAL,Q2,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.93,1,2,.500,0,1,0,0,0,2,2,2,1,0,0,1,2,3.6,-1,.000,
2021-01-05,202101050MEM,LAL,Q2,Montrezl Harrell,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.62,1,3,.333,0,0,1,1,2,0,2,0,0,0,0,0,3,2.7,+3,,1.000
2021-01-05,202101050MEM,LAL,Q2,Markieff Morris,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.3,2,3,.667,1,2,0,0,1,2,3,1,0,0,0,0,5,5.7,-3,.500,
2021-01-05,202101050MEM,LAL,Q3,Dennis Schröder,https://www.basketball-reference.com/boxscores/202101050MEM.html,8.02,1,4,.250,1,2,0,0,0,0,0,2,0,0,1,0,3,1.0,-2,.500,
2021-01-05,202101050MEM,LAL,Q3,Anthony Davis,https://www.basketball-reference.com/boxscores/202101050MEM.html,12.0,3,6,.500,1,3,0,0,0,6,6,1,0,0,1,0,7,5.5,+3,.333,
2021-01-05,202101050MEM,LAL,Q3,LeBron James,https://www.basketball-reference.com/boxscores/202101050MEM.html,8.58,5,7,.714,1,3,0,0,1,1,2,1,1,0,0,0,11,10.8,+11,.333,
2021-01-05,202101050MEM,LAL,Q3,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202101050MEM.html,8.58,0,1,.000,0,1,1,2,0,1,1,0,0,0,0,0,1,0.2,+11,.000,.500
2021-01-05,202101050MEM,LAL,Q3,Marc Gasol,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.2,0,1,.000,0,0,0,0,0,1,1,1,0,1,0,3,0,-0.2,+6,,
2021-01-05,202101050MEM,LAL,Q3,Wesley Matthews,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.4,0,1,.000,0,1,0,0,1,0,1,1,0,0,0,0,0,0.7,-3,.000,
2021-01-05,202101050MEM,LAL,Q3,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202101050MEM.html,3.42,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8,,
2021-01-05,202101050MEM,LAL,Q3,Montrezl Harrell,https://www.basketball-reference.com/boxscores/202101050MEM.html,3.92,0,1,.000,0,0,0,0,0,2,2,0,0,0,0,2,0,-0.9,-3,,
2021-01-05,202101050MEM,LAL,Q3,Markieff Morris,https://www.basketball-reference.com/boxscores/202101050MEM.html,0.88,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,
2021-01-05,202101050MEM,LAL,Q4,Dennis Schröder,https://www.basketball-reference.com/boxscores/202101050MEM.html,10.6,1,3,.333,0,1,1,1,0,2,2,2,0,0,1,0,3,2.3,+3,.000,1.000
2021-01-05,202101050MEM,LAL,Q4,Anthony Davis,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.85,2,5,.400,1,3,2,2,0,0,0,0,2,1,1,0,7,6.0,+6,.333,1.000
2021-01-05,202101050MEM,LAL,Q4,LeBron James,https://www.basketball-reference.com/boxscores/202101050MEM.html,10.62,4,5,.800,0,0,2,2,1,4,5,4,0,1,3,0,10,10.5,+7,,1.000
2021-01-05,202101050MEM,LAL,Q4,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.0,1,1,1.000,0,0,0,0,0,2,2,0,0,0,0,1,2,1.9,+3,,
2021-01-05,202101050MEM,LAL,Q4,Wesley Matthews,https://www.basketball-reference.com/boxscores/202101050MEM.html,9.67,0,0,,0,0,1,1,0,0,0,0,0,1,0,0,1,1.7,+4,,1.000
2021-01-05,202101050MEM,LAL,Q4,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.38,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,1,2,0.6,-4,,
2021-01-05,202101050MEM,LAL,Q4,Montrezl Harrell,https://www.basketball-reference.com/boxscores/202101050MEM.html,3.73,1,2,.500,0,0,0,0,1,1,2,0,0,0,0,0,2,2.0,-1,,
2021-01-05,202101050MEM,LAL,Q4,Markieff Morris,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.15,0,2,.000,0,1,0,0,1,2,3,0,0,0,0,2,0,-0.9,-3,.000,
2021-01-05,202101050MEM,MEM,Q1,Tyus Jones,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.05,0,1,.000,0,1,0,0,0,0,0,2,1,0,0,0,0,1.7,-8,.000,
2021-01-05,202101050MEM,MEM,Q1,Dillon Brooks,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.53,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,2,0,-1.5,-5,,
2021-01-05,202101050MEM,MEM,Q1,Kyle Anderson,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.27,0,3,.000,0,1,0,0,0,3,3,0,1,0,1,0,0,-1.2,-6,.000,
2021-01-05,202101050MEM,MEM,Q1,Brandon Clarke,https://www.basketball-reference.com/boxscores/202101050MEM.html,7.05,1,4,.250,1,2,0,0,0,1,1,0,0,1,0,0,3,1.6,-8,.500,
2021-01-05,202101050MEM,MEM,Q1,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202101050MEM.html,5.12,0,4,.000,0,0,0,0,1,1,2,0,1,0,0,0,0,-0.8,-7,,
2021-01-05,202101050MEM,MEM,Q1,Desmond Bane,https://www.basketball-reference.com/boxscores/202101050MEM.html,6.88,2,3,.667,0,1,0,0,0,1,1,0,0,0,0,0,4,3.0,+12,.000,
