game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2021-01-24,202101240POR,NYK,Q1,Julius Randle,https://www.basketball-reference.com/boxscores/202101240POR.html,12.0,3,7,.429,0,0,2,2,1.000,2,1,3,1,0,0,2,0,8,4.7,-13,
2021-01-24,202101240POR,NYK,Q1,Alec Burks,https://www.basketball-reference.com/boxscores/202101240POR.html,9.08,2,3,.667,2,3,0,0,,0,0,0,1,1,0,1,0,6,5.4,-11,.667
2021-01-24,202101240POR,NYK,Q1,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202101240POR.html,7.43,0,2,.000,0,0,0,0,,1,1,2,0,0,0,0,1,0,-0.8,-8,
2021-01-24,202101240POR,NYK,Q1,Elfrid Payton,https://www.basketball-reference.com/boxscores/202101240POR.html,12.0,2,6,.333,0,1,2,2,1.000,0,1,1,2,1,0,1,1,6,3.9,-13,.000
2021-01-24,202101240POR,NYK,Q1,RJ Barrett,https://www.basketball-reference.com/boxscores/202101240POR.html,7.43,1,1,1.000,0,0,0,0,,0,0,0,0,0,0,0,2,2,0.9,-8,
2021-01-24,202101240POR,NYK,Q1,Austin Rivers,https://www.basketball-reference.com/boxscores/202101240POR.html,4.57,0,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5,
2021-01-24,202101240POR,NYK,Q1,Nerlens Noel,https://www.basketball-reference.com/boxscores/202101240POR.html,4.57,1,1,1.000,0,0,0,0,,0,2,2,0,0,0,0,0,2,2.3,-5,
2021-01-24,202101240POR,NYK,Q1,Kevin Knox,https://www.basketball-reference.com/boxscores/202101240POR.html,2.92,0,1,.000,0,1,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-2,.000
2021-01-24,202101240POR,NYK,Q2,Julius Randle,https://www.basketball-reference.com/boxscores/202101240POR.html,3.07,1,2,.500,1,1,2,2,1.000,0,0,0,0,0,0,0,0,5,4.0,-4,1.000
2021-01-24,202101240POR,NYK,Q2,Alec Burks,https://www.basketball-reference.com/boxscores/202101240POR.html,2.8,0,0,,0,0,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-6,
2021-01-24,202101240POR,NYK,Q2,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202101240POR.html,3.07,1,1,1.000,0,0,0,0,,1,0,1,0,0,0,0,1,2,2.0,-4,
2021-01-24,202101240POR,NYK,Q2,RJ Barrett,https://www.basketball-reference.com/boxscores/202101240POR.html,3.07,0,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4,
2021-01-24,202101240POR,NYK,Q2,Austin Rivers,https://www.basketball-reference.com/boxscores/202101240POR.html,9.2,1,1,1.000,1,1,0,0,,0,1,1,0,1,0,2,1,3,1.6,-1,1.000
2021-01-24,202101240POR,NYK,Q2,Immanuel Quickley,https://www.basketball-reference.com/boxscores/202101240POR.html,12.0,3,6,.500,2,3,2,2,1.000,0,2,2,3,0,0,1,1,10,8.3,-7,.667
2021-01-24,202101240POR,NYK,Q2,Nerlens Noel,https://www.basketball-reference.com/boxscores/202101240POR.html,8.93,1,3,.333,0,0,0,0,,1,3,4,1,1,0,0,0,2,3.6,-3,
2021-01-24,202101240POR,NYK,Q2,Kevin Knox,https://www.basketball-reference.com/boxscores/202101240POR.html,8.93,0,1,.000,0,1,0,0,,0,1,1,1,0,0,0,0,0,0.3,-3,.000
2021-01-24,202101240POR,NYK,Q2,Obi Toppin,https://www.basketball-reference.com/boxscores/202101240POR.html,8.93,2,5,.400,0,2,0,0,,0,2,2,0,0,0,1,0,4,0.9,-3,.000
2021-01-24,202101240POR,NYK,Q3,Julius Randle,https://www.basketball-reference.com/boxscores/202101240POR.html,12.0,1,4,.250,0,0,3,3,1.000,0,2,2,3,0,0,2,1,5,2.9,+8,
