game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2021-01-30,202101300NOP,HOU,Q1,Christian Wood,https://www.basketball-reference.com/boxscores/202101300NOP.html,6.72,1,1,1.000,0,0,0,0,0,0,0,0,0,0,1,0,2,0.7,-6,,
2021-01-30,202101300NOP,HOU,Q1,John Wall,https://www.basketball-reference.com/boxscores/202101300NOP.html,6.72,2,5,.400,1,3,0,0,0,0,0,0,0,0,1,0,5,1.3,-6,.333,
2021-01-30,202101300NOP,HOU,Q1,P.J. Tucker,https://www.basketball-reference.com/boxscores/202101300NOP.html,10.23,1,3,.333,0,2,0,0,0,2,2,1,2,0,1,1,2,2.2,-10,.000,
2021-01-30,202101300NOP,HOU,Q1,Victor Oladipo,https://www.basketball-reference.com/boxscores/202101300NOP.html,9.53,2,4,.500,0,1,0,0,0,0,0,3,0,0,0,0,4,4.1,-10,.000,
2021-01-30,202101300NOP,HOU,Q1,Jae'Sean Tate,https://www.basketball-reference.com/boxscores/202101300NOP.html,8.48,1,2,.500,0,1,0,0,1,2,3,0,2,0,0,1,2,3.9,-4,.000,
2021-01-30,202101300NOP,HOU,Q1,Danuel House Jr.,https://www.basketball-reference.com/boxscores/202101300NOP.html,5.28,2,5,.400,2,4,0,0,0,1,1,0,0,1,0,0,6,4.3,-2,.500,
2021-01-30,202101300NOP,HOU,Q1,Eric Gordon,https://www.basketball-reference.com/boxscores/202101300NOP.html,5.28,2,3,.667,0,1,0,0,0,0,0,1,0,1,1,0,4,3.1,-2,.000,
2021-01-30,202101300NOP,HOU,Q1,David Nwaba,https://www.basketball-reference.com/boxscores/202101300NOP.html,2.47,1,2,.500,0,0,0,0,1,0,1,0,0,0,0,0,2,1.7,+2,,
2021-01-30,202101300NOP,HOU,Q1,DeMarcus Cousins,https://www.basketball-reference.com/boxscores/202101300NOP.html,5.28,0,0,,0,0,0,0,0,1,1,2,0,0,0,1,0,1.3,-2,,
2021-01-30,202101300NOP,HOU,Q2,Christian Wood,https://www.basketball-reference.com/boxscores/202101300NOP.html,11.15,6,7,.857,2,2,2,2,0,5,5,0,1,1,0,1,16,16.3,+26,1.000,1.000
