game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2021-05-16,202105160SAC,UTA,Q1,Joe Ingles,https://www.basketball-reference.com/boxscores/202105160SAC.html,8.68,0,3,.000,0,2,.000,0,0,0,2,2,1,0,0,2,0,0,-2.8,-10,
2021-05-16,202105160SAC,UTA,Q1,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202105160SAC.html,8.22,2,4,.500,1,1,1.000,0,0,0,1,1,1,0,0,2,0,5,2.0,-10,
2021-05-16,202105160SAC,UTA,Q1,Royce O'Neale,https://www.basketball-reference.com/boxscores/202105160SAC.html,8.68,0,1,.000,0,1,.000,1,2,0,0,0,0,0,1,1,1,1,-0.8,-10,.500
2021-05-16,202105160SAC,UTA,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202105160SAC.html,8.23,2,3,.667,0,1,.000,0,0,1,3,4,0,0,0,0,0,4,4.3,+7,
2021-05-16,202105160SAC,UTA,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202105160SAC.html,8.23,0,3,.000,0,0,,0,0,1,3,4,5,1,0,0,1,0,3.6,+7,
2021-05-16,202105160SAC,UTA,Q1,Jordan Clarkson,https://www.basketball-reference.com/boxscores/202105160SAC.html,7.08,4,5,.800,2,3,.667,1,1,0,1,1,0,0,0,0,0,11,9.4,+9,1.000
2021-05-16,202105160SAC,UTA,Q1,Georges Niang,https://www.basketball-reference.com/boxscores/202105160SAC.html,3.78,1,1,1.000,0,0,,0,0,0,0,0,1,0,0,0,0,2,2.4,+13,
2021-05-16,202105160SAC,UTA,Q1,Derrick Favors,https://www.basketball-reference.com/boxscores/202105160SAC.html,3.77,1,1,1.000,0,0,,0,0,1,1,2,0,0,0,1,1,2,1.3,-4,
2021-05-16,202105160SAC,UTA,Q1,Miye Oni,https://www.basketball-reference.com/boxscores/202105160SAC.html,3.32,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,3,2.7,+13,
2021-05-16,202105160SAC,UTA,Q2,Joe Ingles,https://www.basketball-reference.com/boxscores/202105160SAC.html,7.88,1,2,.500,1,2,.500,0,0,0,1,1,2,1,0,0,0,3,4.7,+9,
2021-05-16,202105160SAC,UTA,Q2,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202105160SAC.html,7.88,0,4,.000,0,2,.000,2,2,0,2,2,1,0,0,0,0,2,0.5,+9,1.000
2021-05-16,202105160SAC,UTA,Q2,Royce O'Neale,https://www.basketball-reference.com/boxscores/202105160SAC.html,6.72,1,3,.333,0,2,.000,0,0,0,0,0,0,0,0,1,1,2,-1.1,+4,
2021-05-16,202105160SAC,UTA,Q2,Rudy Gobert,https://www.basketball-reference.com/boxscores/202105160SAC.html,7.72,2,2,1.000,0,0,,1,1,1,3,4,1,0,0,0,0,5,6.7,+13,1.000
2021-05-16,202105160SAC,UTA,Q2,Mike Conley,https://www.basketball-reference.com/boxscores/202105160SAC.html,7.72,4,6,.667,3,3,1.000,0,0,0,1,1,2,1,0,0,1,11,10.7,+13,
