game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2021-05-25,202105250PHO,LAL,Q1,Anthony Davis,https://www.basketball-reference.com/boxscores/202105250PHO.html,8.03,2,4,.500,0,1,.000,2,4,.500,0,1,1,2,0,1,0,2,6,4.8,+4
2021-05-25,202105250PHO,LAL,Q1,LeBron James,https://www.basketball-reference.com/boxscores/202105250PHO.html,11.68,4,6,.667,1,3,.333,1,1,1.000,0,0,0,3,2,0,1,0,10,10.5,+8
2021-05-25,202105250PHO,LAL,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202105250PHO.html,8.03,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,+4
2021-05-25,202105250PHO,LAL,Q1,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202105250PHO.html,8.52,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,0,2,0,-1.9,+5
2021-05-25,202105250PHO,LAL,Q1,Andre Drummond,https://www.basketball-reference.com/boxscores/202105250PHO.html,8.03,3,5,.600,0,0,,0,0,,4,3,7,0,2,0,1,1,6,8.0,+4
2021-05-25,202105250PHO,LAL,Q1,Marc Gasol,https://www.basketball-reference.com/boxscores/202105250PHO.html,3.97,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,2.6,+2
2021-05-25,202105250PHO,LAL,Q1,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202105250PHO.html,5.18,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,1,2,1.6,+6
2021-05-25,202105250PHO,LAL,Q1,Alex Caruso,https://www.basketball-reference.com/boxscores/202105250PHO.html,1.65,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-2
2021-05-25,202105250PHO,LAL,Q1,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202105250PHO.html,0.62,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-1
2021-05-25,202105250PHO,LAL,Q1,Wesley Matthews,https://www.basketball-reference.com/boxscores/202105250PHO.html,0.32,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
2021-05-25,202105250PHO,LAL,Q1,Markieff Morris,https://www.basketball-reference.com/boxscores/202105250PHO.html,3.97,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-0.7,+2
2021-05-25,202105250PHO,LAL,Q2,Anthony Davis,https://www.basketball-reference.com/boxscores/202105250PHO.html,10.28,1,2,.500,0,0,,2,2,1.000,1,4,5,2,0,0,1,0,4,5.3,-2
2021-05-25,202105250PHO,LAL,Q2,LeBron James,https://www.basketball-reference.com/boxscores/202105250PHO.html,6.75,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,-0.5,+5
2021-05-25,202105250PHO,LAL,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202105250PHO.html,9.77,5,9,.556,2,2,1.000,2,2,1.000,0,0,0,1,0,0,1,1,14,9.0,+2
2021-05-25,202105250PHO,LAL,Q2,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202105250PHO.html,4.03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8
2021-05-25,202105250PHO,LAL,Q2,Andre Drummond,https://www.basketball-reference.com/boxscores/202105250PHO.html,5.92,2,3,.667,0,0,,1,1,1.000,1,2,3,0,0,0,0,1,5,4.6,+5
2021-05-25,202105250PHO,LAL,Q2,Marc Gasol,https://www.basketball-reference.com/boxscores/202105250PHO.html,6.08,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,-5
2021-05-25,202105250PHO,LAL,Q2,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202105250PHO.html,6.97,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.0,-3
2021-05-25,202105250PHO,LAL,Q2,Alex Caruso,https://www.basketball-reference.com/boxscores/202105250PHO.html,4.95,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
2021-05-25,202105250PHO,LAL,Q2,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202105250PHO.html,5.25,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-5
2021-05-25,202105250PHO,LAL,Q3,Anthony Davis,https://www.basketball-reference.com/boxscores/202105250PHO.html,12.0,2,6,.333,1,2,.500,5,5,1.000,0,2,2,3,1,1,0,0,10,11.0,+1
2021-05-25,202105250PHO,LAL,Q3,LeBron James,https://www.basketball-reference.com/boxscores/202105250PHO.html,8.47,3,4,.750,2,2,1.000,0,0,,0,0,0,3,0,0,0,0,8,8.5,+1
2021-05-25,202105250PHO,LAL,Q3,Dennis Schröder,https://www.basketball-reference.com/boxscores/202105250PHO.html,7.55,2,4,.500,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,6,3.9,+4
