game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct,fg3_pct
2021-07-08,202107080PHO,MIL,Q1,Khris Middleton,https://www.basketball-reference.com/boxscores/202107080PHO.html,12.0,2,5,.400,0,0,0,0,0,2,2,2,0,0,1,0,4,2.3,+3,,
2021-07-08,202107080PHO,MIL,Q1,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.48,3,4,.750,0,0,1,2,1,3,4,1,1,1,0,0,7,9.0,+2,.500,
2021-07-08,202107080PHO,MIL,Q1,Jrue Holiday,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.65,3,9,.333,0,1,0,0,0,1,1,1,0,0,0,0,6,1.9,+6,,.000
2021-07-08,202107080PHO,MIL,Q1,P.J. Tucker,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.65,3,4,.750,1,1,0,0,2,1,3,0,0,0,0,0,7,7.1,+6,,1.000
2021-07-08,202107080PHO,MIL,Q1,Brook Lopez,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.65,0,2,.000,0,0,0,0,1,2,3,0,0,0,0,0,0,-0.1,+6,,
2021-07-08,202107080PHO,MIL,Q1,Pat Connaughton,https://www.basketball-reference.com/boxscores/202107080PHO.html,6.87,1,2,.500,1,2,0,0,1,1,2,0,0,0,0,0,3,3.0,-2,,.500
2021-07-08,202107080PHO,MIL,Q1,Jeff Teague,https://www.basketball-reference.com/boxscores/202107080PHO.html,3.35,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-3,,
2021-07-08,202107080PHO,MIL,Q1,Bobby Portis,https://www.basketball-reference.com/boxscores/202107080PHO.html,3.35,1,1,1.000,0,0,0,0,1,0,1,0,1,0,0,0,2,3.4,-3,,
2021-07-08,202107080PHO,MIL,Q2,Khris Middleton,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.93,0,5,.000,0,3,0,0,0,1,1,2,0,0,1,1,0,-3.2,-14,,.000
2021-07-08,202107080PHO,MIL,Q2,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202107080PHO.html,10.05,2,6,.333,0,2,1,2,1,3,4,0,0,0,0,0,5,2.8,-7,.500,.000
2021-07-08,202107080PHO,MIL,Q2,Jrue Holiday,https://www.basketball-reference.com/boxscores/202107080PHO.html,9.93,0,5,.000,0,1,1,2,2,1,3,2,1,2,1,2,1,0.8,-8,.500,.000
2021-07-08,202107080PHO,MIL,Q2,P.J. Tucker,https://www.basketball-reference.com/boxscores/202107080PHO.html,10.47,0,1,.000,0,0,0,0,1,0,1,1,0,0,0,2,0,-0.1,-12,,
2021-07-08,202107080PHO,MIL,Q2,Brook Lopez,https://www.basketball-reference.com/boxscores/202107080PHO.html,5.87,2,3,.667,0,1,0,0,1,1,2,0,1,0,0,0,4,4.7,-10,,.000
2021-07-08,202107080PHO,MIL,Q2,Pat Connaughton,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.2,1,1,1.000,1,1,0,0,1,0,1,0,0,0,0,0,3,3.4,-10,,1.000
2021-07-08,202107080PHO,MIL,Q2,Bryn Forbes,https://www.basketball-reference.com/boxscores/202107080PHO.html,5.25,1,3,.333,1,3,0,0,0,0,0,0,0,0,0,0,3,1.3,-7,,.333
2021-07-08,202107080PHO,MIL,Q2,Bobby Portis,https://www.basketball-reference.com/boxscores/202107080PHO.html,1.3,0,1,.000,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.4,-2,,.000
2021-07-08,202107080PHO,MIL,Q3,Khris Middleton,https://www.basketball-reference.com/boxscores/202107080PHO.html,12.0,2,3,.667,1,2,0,0,0,2,2,1,1,0,0,1,5,5.6,+1,,.500
2021-07-08,202107080PHO,MIL,Q3,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202107080PHO.html,11.03,5,6,.833,1,2,9,14,2,2,4,2,0,1,2,2,20,17.1,+3,.643,.500
2021-07-08,202107080PHO,MIL,Q3,Jrue Holiday,https://www.basketball-reference.com/boxscores/202107080PHO.html,9.13,1,3,.333,1,1,0,0,0,1,1,1,0,0,0,0,3,2.3,-1,,1.000
2021-07-08,202107080PHO,MIL,Q3,P.J. Tucker,https://www.basketball-reference.com/boxscores/202107080PHO.html,8.18,0,0,,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.3,+1,,
