game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2021-11-03,202111030ORL,BOS,Q1,Jayson Tatum,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.38,2,2,1.000,1,1,1.000,0,0,0,0,0,0,0,1,0,0,5,5.1,-3,
2021-11-03,202111030ORL,BOS,Q1,Marcus Smart,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.38,0,2,.000,0,1,.000,0,0,0,1,1,1,0,1,0,0,0,0.3,-3,
2021-11-03,202111030ORL,BOS,Q1,Jaylen Brown,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.63,4,5,.800,1,1,1.000,2,2,0,2,2,1,0,0,1,1,11,9.0,-4,1.000
2021-11-03,202111030ORL,BOS,Q1,Robert Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.63,2,3,.667,0,0,,0,0,1,0,1,0,0,0,0,1,4,3.0,-4,
2021-11-03,202111030ORL,BOS,Q1,Al Horford,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.38,1,3,.333,1,2,.500,2,2,1,1,2,1,0,0,0,0,5,5.0,-3,1.000
2021-11-03,202111030ORL,BOS,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.62,0,4,.000,0,2,.000,0,0,1,2,3,1,0,0,0,1,0,-1.2,+1,
2021-11-03,202111030ORL,BOS,Q1,Josh Richardson,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.62,0,1,.000,0,1,.000,0,0,0,0,0,1,0,1,0,0,0,0.7,+1,
2021-11-03,202111030ORL,BOS,Q1,Romeo Langford,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.37,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+2,
2021-11-03,202111030ORL,BOS,Q1,Grant Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.98,0,1,.000,0,1,.000,1,2,0,1,1,0,0,0,0,0,1,0.2,+3,.500
2021-11-03,202111030ORL,BOS,Q2,Jayson Tatum,https://www.basketball-reference.com/boxscores/202111030ORL.html,12.0,1,9,.111,0,4,.000,0,0,0,2,2,3,0,1,1,0,2,-1.5,0,
2021-11-03,202111030ORL,BOS,Q2,Marcus Smart,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.97,1,3,.333,1,3,.333,0,0,0,0,0,1,1,0,0,1,3,2.6,-2,
2021-11-03,202111030ORL,BOS,Q2,Jaylen Brown,https://www.basketball-reference.com/boxscores/202111030ORL.html,8.18,2,5,.400,1,3,.333,1,2,0,1,1,0,1,0,1,2,6,2.4,+6,.500
2021-11-03,202111030ORL,BOS,Q2,Robert Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.62,0,0,,0,0,,0,0,0,1,1,0,1,0,0,0,0,1.3,+4,
2021-11-03,202111030ORL,BOS,Q2,Al Horford,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.38,1,3,.333,1,1,1.000,0,0,1,3,4,1,1,1,0,0,3,5.3,-4,
2021-11-03,202111030ORL,BOS,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202111030ORL.html,4.8,2,2,1.000,0,0,,0,0,1,0,1,0,0,0,0,0,4,4.1,+4,
2021-11-03,202111030ORL,BOS,Q2,Josh Richardson,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.03,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+2,
2021-11-03,202111030ORL,BOS,Q2,Romeo Langford,https://www.basketball-reference.com/boxscores/202111030ORL.html,3.62,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-6,
2021-11-03,202111030ORL,BOS,Q2,Payton Pritchard,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.2,0,1,.000,0,0,,0,0,0,1,1,1,0,1,0,1,0,0.6,-4,
2021-11-03,202111030ORL,BOS,Q2,Grant Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,0.2,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
2021-11-03,202111030ORL,BOS,Q3,Jayson Tatum,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.02,1,4,.250,0,1,.000,2,2,0,2,2,0,1,0,0,0,4,3.2,+15,1.000
2021-11-03,202111030ORL,BOS,Q3,Marcus Smart,https://www.basketball-reference.com/boxscores/202111030ORL.html,12.0,2,3,.667,1,2,.500,0,0,0,3,3,2,0,0,1,1,5,4.6,+21,
2021-11-03,202111030ORL,BOS,Q3,Jaylen Brown,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.05,3,3,1.000,1,1,1.000,1,1,0,0,0,2,0,0,0,1,8,8.1,+14,1.000
2021-11-03,202111030ORL,BOS,Q3,Robert Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.33,3,3,1.000,0,0,,0,0,2,1,3,0,0,1,0,1,6,7.1,+19,
2021-11-03,202111030ORL,BOS,Q3,Al Horford,https://www.basketball-reference.com/boxscores/202111030ORL.html,8.68,1,2,.500,0,1,.000,2,2,0,4,4,3,0,1,2,2,4,4.2,+17,1.000
2021-11-03,202111030ORL,BOS,Q3,Dennis Schröder,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.98,2,3,.667,0,1,.000,0,0,0,0,0,1,0,0,1,0,4,2.4,+6,
2021-11-03,202111030ORL,BOS,Q3,Josh Richardson,https://www.basketball-reference.com/boxscores/202111030ORL.html,4.95,0,0,,0,0,,0,0,0,1,1,0,0,0,1,0,0,-0.7,+7,
2021-11-03,202111030ORL,BOS,Q3,Romeo Langford,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.98,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1,0,-0.1,+6,
2021-11-03,202111030ORL,BOS,Q4,Jayson Tatum,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.52,0,1,.000,0,0,,3,6,0,2,2,0,0,0,1,1,3,0.3,0,.500
2021-11-03,202111030ORL,BOS,Q4,Marcus Smart,https://www.basketball-reference.com/boxscores/202111030ORL.html,4.43,0,0,,0,0,,0,2,0,0,0,0,0,0,0,0,0,-0.8,+2,.000
2021-11-03,202111030ORL,BOS,Q4,Jaylen Brown,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.93,1,4,.250,0,3,.000,1,2,0,2,2,0,0,0,0,0,3,0.8,0,.500
2021-11-03,202111030ORL,BOS,Q4,Robert Williams,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.52,1,2,.500,0,0,,0,0,0,1,1,0,0,0,0,0,2,1.3,-4,
2021-11-03,202111030ORL,BOS,Q4,Al Horford,https://www.basketball-reference.com/boxscores/202111030ORL.html,4.0,0,1,.000,0,1,.000,0,0,0,2,2,2,0,1,1,0,0,1.0,+4,
2021-11-03,202111030ORL,BOS,Q4,Dennis Schröder,https://www.basketball-reference.com/boxscores/202111030ORL.html,10.03,0,2,.000,0,1,.000,0,0,0,0,0,1,0,0,0,2,0,-1.5,+2,
2021-11-03,202111030ORL,BOS,Q4,Josh Richardson,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.6,1,2,.500,0,1,.000,1,2,2,2,4,1,1,0,0,1,3,4.9,0,.500
2021-11-03,202111030ORL,BOS,Q4,Romeo Langford,https://www.basketball-reference.com/boxscores/202111030ORL.html,4.55,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,1,3,1.6,-8,
2021-11-03,202111030ORL,BOS,Q4,Payton Pritchard,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.48,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-6,
2021-11-03,202111030ORL,BOS,Q4,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.48,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,3,2.7,-6,
2021-11-03,202111030ORL,BOS,Q4,Bruno Fernando,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.48,0,0,,0,0,,0,0,0,0,0,1,0,0,1,2,0,-1.1,-6,
2021-11-03,202111030ORL,BOS,Q4,Juancho Hernangómez,https://www.basketball-reference.com/boxscores/202111030ORL.html,1.97,0,2,.000,0,2,.000,0,0,0,1,1,0,1,0,0,0,0,-0.1,-8,
2021-11-03,202111030ORL,ORL,Q1,Cole Anthony,https://www.basketball-reference.com/boxscores/202111030ORL.html,10.2,1,4,.250,0,2,.000,2,2,0,2,2,2,0,0,0,2,4,2.8,+1,1.000
2021-11-03,202111030ORL,ORL,Q1,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.63,3,5,.600,1,2,.500,0,0,0,1,1,1,0,0,1,0,7,4.7,+4,
2021-11-03,202111030ORL,ORL,Q1,Franz Wagner,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.63,2,3,.667,0,1,.000,0,0,0,1,1,0,1,0,0,0,4,4.0,+4,
2021-11-03,202111030ORL,ORL,Q1,Mo Bamba,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.38,0,2,.000,0,1,.000,0,0,0,2,2,0,0,0,0,1,0,-1.2,+3,
2021-11-03,202111030ORL,ORL,Q1,Jalen Suggs,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.82,2,4,.500,1,1,1.000,0,0,1,1,2,1,0,0,0,0,5,4.7,+6,
2021-11-03,202111030ORL,ORL,Q1,Terrence Ross,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.98,2,3,.667,0,1,.000,0,0,0,1,1,0,0,0,0,1,4,2.6,-3,
2021-11-03,202111030ORL,ORL,Q1,R.J. Hampton,https://www.basketball-reference.com/boxscores/202111030ORL.html,2.37,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,0,0,2,2.0,-2,
2021-11-03,202111030ORL,ORL,Q1,Chuma Okeke,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.98,1,2,.500,0,1,.000,0,0,0,1,1,0,0,0,0,0,2,1.3,-3,
2021-11-03,202111030ORL,ORL,Q2,Cole Anthony,https://www.basketball-reference.com/boxscores/202111030ORL.html,6.83,1,4,.250,0,1,.000,0,0,0,2,2,1,0,0,0,0,2,0.9,-3,
2021-11-03,202111030ORL,ORL,Q2,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.23,1,2,.500,1,1,1.000,0,0,0,4,4,2,1,0,2,0,3,3.6,+2,
2021-11-03,202111030ORL,ORL,Q2,Franz Wagner,https://www.basketball-reference.com/boxscores/202111030ORL.html,8.38,1,2,.500,1,2,.500,0,0,0,1,1,0,0,0,0,1,3,1.9,-6,
2021-11-03,202111030ORL,ORL,Q2,Mo Bamba,https://www.basketball-reference.com/boxscores/202111030ORL.html,9.23,1,2,.500,1,1,1.000,0,0,1,3,4,1,1,1,0,1,3,5.6,+2,
2021-11-03,202111030ORL,ORL,Q2,Jalen Suggs,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.67,1,5,.200,0,2,.000,0,0,1,0,1,1,0,0,0,0,2,0.3,+3,
2021-11-03,202111030ORL,ORL,Q2,Terrence Ross,https://www.basketball-reference.com/boxscores/202111030ORL.html,7.95,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,+3,
2021-11-03,202111030ORL,ORL,Q2,R.J. Hampton,https://www.basketball-reference.com/boxscores/202111030ORL.html,5.17,2,5,.400,1,3,.333,0,0,0,2,2,1,0,0,1,0,5,2.6,+3,
