game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2021-11-15,202111150DET,SAC,Q1,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202111150DET.html,9.87,1,2,.500,1,1,1.000,0,0,0,0,0,4,0,0,1,1,3,3.4,+14,
2021-11-15,202111150DET,SAC,Q1,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202111150DET.html,9.48,2,7,.286,0,1,.000,0,0,0,4,4,3,1,0,0,1,4,3.8,+13,
2021-11-15,202111150DET,SAC,Q1,Chimezie Metu,https://www.basketball-reference.com/boxscores/202111150DET.html,8.62,2,3,.667,1,2,.500,2,2,0,6,6,0,0,0,1,0,7,6.5,+10,1.000
2021-11-15,202111150DET,SAC,Q1,Harrison Barnes,https://www.basketball-reference.com/boxscores/202111150DET.html,9.48,2,2,1.000,0,0,,0,0,0,3,3,0,1,0,0,0,4,5.3,+13,
2021-11-15,202111150DET,SAC,Q1,Richaun Holmes,https://www.basketball-reference.com/boxscores/202111150DET.html,7.35,1,1,1.000,0,0,,0,0,1,0,1,0,0,0,0,0,2,2.4,+8,
2021-11-15,202111150DET,SAC,Q1,Buddy Hield,https://www.basketball-reference.com/boxscores/202111150DET.html,4.65,2,3,.667,1,2,.500,0,0,1,0,1,1,0,0,0,0,5,5.1,+11,
2021-11-15,202111150DET,SAC,Q1,Davion Mitchell,https://www.basketball-reference.com/boxscores/202111150DET.html,3.38,1,3,.333,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,0.3,+9,
2021-11-15,202111150DET,SAC,Q1,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202111150DET.html,2.52,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-1.4,+6,
2021-11-15,202111150DET,SAC,Q1,Tristan Thompson,https://www.basketball-reference.com/boxscores/202111150DET.html,4.65,1,3,.333,0,0,,2,2,1,3,4,0,0,0,0,0,4,3.9,+11,1.000
2021-11-15,202111150DET,SAC,Q2,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202111150DET.html,7.8,3,3,1.000,2,2,1.000,0,0,0,0,0,4,0,0,2,0,8,7.9,+12,
