game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2021-12-02,202112020NYK,CHI,Q1,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202112020NYK.html,8.73,1,2,.500,0,0,0,0,0,0,0,1,1,0,0,0,2,2.7,+10,,
2021-12-02,202112020NYK,CHI,Q1,Zach LaVine,https://www.basketball-reference.com/boxscores/202112020NYK.html,9.2,4,7,.571,1,2,2,2,1,2,3,1,1,0,0,0,11,10.7,+13,.500,1.000
2021-12-02,202112020NYK,CHI,Q1,Lonzo Ball,https://www.basketball-reference.com/boxscores/202112020NYK.html,9.55,1,4,.250,1,3,0,0,0,1,1,1,0,1,0,1,3,1.9,+10,.333,
2021-12-02,202112020NYK,CHI,Q1,Nikola Vučević,https://www.basketball-reference.com/boxscores/202112020NYK.html,8.38,5,7,.714,1,2,2,2,2,0,2,2,0,0,1,1,13,11.5,+13,.500,1.000
2021-12-02,202112020NYK,CHI,Q1,Javonte Green,https://www.basketball-reference.com/boxscores/202112020NYK.html,8.38,0,2,.000,0,0,0,0,1,1,2,0,0,0,0,0,0,-0.4,+13,,
2021-12-02,202112020NYK,CHI,Q1,Alex Caruso,https://www.basketball-reference.com/boxscores/202112020NYK.html,6.07,1,1,1.000,0,0,2,2,1,1,2,3,0,0,0,0,4,6.8,+13,,1.000
2021-12-02,202112020NYK,CHI,Q1,Ayo Dosunmu,https://www.basketball-reference.com/boxscores/202112020NYK.html,6.07,1,2,.500,0,0,0,0,0,0,0,1,0,0,0,1,2,1.3,+13,,
2021-12-02,202112020NYK,CHI,Q1,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202112020NYK.html,3.62,1,1,1.000,0,0,0,0,0,0,0,0,2,0,0,0,2,3.7,+5,,
2021-12-02,202112020NYK,CHI,Q2,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202112020NYK.html,8.67,5,8,.625,0,0,4,4,0,1,1,1,0,0,1,2,14,9.6,-6,,1.000
2021-12-02,202112020NYK,CHI,Q2,Zach LaVine,https://www.basketball-reference.com/boxscores/202112020NYK.html,7.18,3,4,.750,1,1,0,0,0,0,0,1,0,0,2,1,7,3.7,+4,1.000,
2021-12-02,202112020NYK,CHI,Q2,Lonzo Ball,https://www.basketball-reference.com/boxscores/202112020NYK.html,2.88,0,0,,0,0,0,0,0,0,0,0,0,0,1,2,0,-1.8,-4,,
2021-12-02,202112020NYK,CHI,Q2,Nikola Vučević,https://www.basketball-reference.com/boxscores/202112020NYK.html,7.18,0,1,.000,0,1,0,0,0,2,2,1,0,1,0,1,0,0.9,+4,.000,
2021-12-02,202112020NYK,CHI,Q2,Javonte Green,https://www.basketball-reference.com/boxscores/202112020NYK.html,7.18,1,1,1.000,0,0,0,0,1,0,1,0,0,0,0,0,2,2.4,+4,,
2021-12-02,202112020NYK,CHI,Q2,Alex Caruso,https://www.basketball-reference.com/boxscores/202112020NYK.html,11.58,1,4,.250,0,1,0,0,1,1,2,3,1,0,1,1,2,2.3,+4,.000,
2021-12-02,202112020NYK,CHI,Q2,Ayo Dosunmu,https://www.basketball-reference.com/boxscores/202112020NYK.html,4.82,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6,-4,,
2021-12-02,202112020NYK,CHI,Q2,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202112020NYK.html,4.82,1,1,1.000,0,0,0,0,0,1,1,0,0,1,0,1,2,2.3,-4,,
2021-12-02,202112020NYK,CHI,Q2,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202112020NYK.html,5.68,2,2,1.000,1,1,0,0,1,0,1,0,1,0,0,0,5,6.1,+2,1.000,
2021-12-02,202112020NYK,CHI,Q3,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202112020NYK.html,10.33,0,2,.000,0,0,0,0,0,3,3,0,0,1,1,0,0,-0.8,-9,,
2021-12-02,202112020NYK,CHI,Q3,Zach LaVine,https://www.basketball-reference.com/boxscores/202112020NYK.html,10.42,1,5,.200,1,3,0,0,0,2,2,2,0,1,1,0,3,1.6,-14,.333,
2021-12-02,202112020NYK,CHI,Q3,Lonzo Ball,https://www.basketball-reference.com/boxscores/202112020NYK.html,12.0,2,7,.286,1,4,0,0,1,2,3,5,0,1,1,1,5,5.0,-12,.250,
2021-12-02,202112020NYK,CHI,Q3,Nikola Vučević,https://www.basketball-reference.com/boxscores/202112020NYK.html,10.42,3,5,.600,2,2,0,0,0,2,2,0,0,0,1,0,8,5.3,-14,1.000,
2021-12-02,202112020NYK,CHI,Q3,Javonte Green,https://www.basketball-reference.com/boxscores/202112020NYK.html,10.72,1,1,1.000,0,0,0,0,1,0,1,0,0,0,0,1,2,2.0,-15,,
2021-12-02,202112020NYK,CHI,Q3,Alex Caruso,https://www.basketball-reference.com/boxscores/202112020NYK.html,4.53,0,2,.000,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4,+2,.000,
2021-12-02,202112020NYK,CHI,Q3,Derrick Jones Jr.,https://www.basketball-reference.com/boxscores/202112020NYK.html,1.58,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,+2,,
