game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2022-01-14,202201140MEM,DAL,Q1,Dwight Powell,https://www.basketball-reference.com/boxscores/202201140MEM.html,7.18,3,3,1.000,0,0,1,2,.500,0,2,2,1,0,0,0,0,7,7.0,-2,
2022-01-14,202201140MEM,DAL,Q1,Jalen Brunson,https://www.basketball-reference.com/boxscores/202201140MEM.html,10.68,1,2,.500,0,0,0,0,,0,1,1,1,0,0,1,0,2,1.0,-6,
2022-01-14,202201140MEM,DAL,Q1,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202201140MEM.html,10.68,1,2,.500,0,0,0,0,,0,0,0,1,0,0,0,1,2,1.3,-6,
2022-01-14,202201140MEM,DAL,Q1,Luka Dončić,https://www.basketball-reference.com/boxscores/202201140MEM.html,10.33,3,7,.429,0,2,1,1,1.000,0,2,2,3,0,0,4,0,7,2.0,-7,.000
2022-01-14,202201140MEM,DAL,Q1,Maxi Kleber,https://www.basketball-reference.com/boxscores/202201140MEM.html,7.18,0,0,,0,0,0,0,,0,2,2,0,0,0,1,1,0,-0.8,-2,
2022-01-14,202201140MEM,DAL,Q1,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202201140MEM.html,4.82,1,2,.500,0,0,0,0,,0,0,0,0,0,0,0,1,2,0.6,-2,
2022-01-14,202201140MEM,DAL,Q1,Reggie Bullock,https://www.basketball-reference.com/boxscores/202201140MEM.html,2.98,0,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,
2022-01-14,202201140MEM,DAL,Q1,Marquese Chriss,https://www.basketball-reference.com/boxscores/202201140MEM.html,4.82,2,2,1.000,1,1,0,0,,0,1,1,1,0,0,0,1,5,5.0,-2,1.000
2022-01-14,202201140MEM,DAL,Q1,Josh Green,https://www.basketball-reference.com/boxscores/202201140MEM.html,1.32,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,
2022-01-14,202201140MEM,DAL,Q2,Dwight Powell,https://www.basketball-reference.com/boxscores/202201140MEM.html,10.63,1,1,1.000,0,0,0,0,,0,0,0,2,0,0,0,1,2,2.7,-2,
2022-01-14,202201140MEM,DAL,Q2,Jalen Brunson,https://www.basketball-reference.com/boxscores/202201140MEM.html,6.78,3,5,.600,0,0,0,0,,0,1,1,2,1,0,0,1,6,6.0,-5,
2022-01-14,202201140MEM,DAL,Q2,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202201140MEM.html,6.78,2,3,.667,1,1,0,0,,1,2,3,0,1,0,0,0,5,6.0,-5,1.000
2022-01-14,202201140MEM,DAL,Q2,Luka Dončić,https://www.basketball-reference.com/boxscores/202201140MEM.html,7.43,1,5,.200,0,2,0,0,,1,2,3,3,0,0,1,1,2,0.9,0,.000
2022-01-14,202201140MEM,DAL,Q2,Maxi Kleber,https://www.basketball-reference.com/boxscores/202201140MEM.html,4.57,0,1,.000,0,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1,
2022-01-14,202201140MEM,DAL,Q2,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202201140MEM.html,8.75,2,6,.333,2,6,1,2,.500,0,0,0,0,1,0,0,1,7,3.8,+2,.333
2022-01-14,202201140MEM,DAL,Q2,Reggie Bullock,https://www.basketball-reference.com/boxscores/202201140MEM.html,5.22,1,4,.250,1,3,0,0,,3,1,4,0,0,0,0,0,3,3.0,+4,.333
2022-01-14,202201140MEM,DAL,Q2,Marquese Chriss,https://www.basketball-reference.com/boxscores/202201140MEM.html,1.37,0,0,,0,0,0,0,,0,2,2,0,0,0,0,0,0,0.6,+1,
2022-01-14,202201140MEM,DAL,Q2,Josh Green,https://www.basketball-reference.com/boxscores/202201140MEM.html,5.22,0,2,.000,0,1,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+4,.000
2022-01-14,202201140MEM,DAL,Q2,Sterling Brown,https://www.basketball-reference.com/boxscores/202201140MEM.html,3.25,0,2,.000,0,1,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-3,.000
2022-01-14,202201140MEM,DAL,Q3,Dwight Powell,https://www.basketball-reference.com/boxscores/202201140MEM.html,5.82,0,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0.3,+6,
2022-01-14,202201140MEM,DAL,Q3,Jalen Brunson,https://www.basketball-reference.com/boxscores/202201140MEM.html,9.87,2,5,.400,0,0,1,1,1.000,0,3,3,4,3,0,0,0,5,9.0,+12,
2022-01-14,202201140MEM,DAL,Q3,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202201140MEM.html,9.87,3,4,.750,0,1,0,0,,0,0,0,0,0,0,0,0,6,4.4,+12,.000
2022-01-14,202201140MEM,DAL,Q3,Luka Dončić,https://www.basketball-reference.com/boxscores/202201140MEM.html,7.95,4,6,.667,0,2,2,3,.667,0,4,4,3,0,0,1,1,10,8.9,+10,.000
2022-01-14,202201140MEM,DAL,Q3,Maxi Kleber,https://www.basketball-reference.com/boxscores/202201140MEM.html,8.45,1,1,1.000,1,1,0,0,,0,2,2,0,0,1,0,1,3,3.6,+10,1.000
2022-01-14,202201140MEM,DAL,Q3,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202201140MEM.html,6.18,0,2,.000,0,0,2,2,1.000,0,2,2,2,0,0,0,0,2,2.6,+10,
2022-01-14,202201140MEM,DAL,Q3,Reggie Bullock,https://www.basketball-reference.com/boxscores/202201140MEM.html,5.68,2,2,1.000,0,0,0,0,,1,0,1,0,0,0,0,1,4,3.7,+10,
2022-01-14,202201140MEM,DAL,Q3,Marquese Chriss,https://www.basketball-reference.com/boxscores/202201140MEM.html,6.18,1,2,.500,0,1,2,2,1.000,0,1,1,0,0,0,0,1,4,2.9,+10,.000
2022-01-14,202201140MEM,DAL,Q4,Dwight Powell,https://www.basketball-reference.com/boxscores/202201140MEM.html,8.77,2,2,1.000,0,0,0,1,.000,0,2,2,0,0,0,0,0,4,3.6,+16,
2022-01-14,202201140MEM,DAL,Q4,Jalen Brunson,https://www.basketball-reference.com/boxscores/202201140MEM.html,4.77,1,1,1.000,0,0,0,0,,0,0,0,2,1,0,0,0,2,4.1,+11,
