game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2022-01-15,202201150OKC,CLE,Q1,Darius Garland,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.75,3,5,.600,0,1,.000,0,0,0,1,1,4,0,0,0,0,6,6.8,0,
2022-01-15,202201150OKC,CLE,Q1,Jarrett Allen,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.52,2,2,1.000,0,0,,1,2,2,1,3,0,0,0,0,1,5,5.3,-2,.500
2022-01-15,202201150OKC,CLE,Q1,Evan Mobley,https://www.basketball-reference.com/boxscores/202201150OKC.html,9.33,2,5,.400,0,0,,0,0,0,1,1,1,0,0,1,1,4,0.9,-8,
2022-01-15,202201150OKC,CLE,Q1,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.12,1,4,.250,1,3,.333,0,0,0,1,1,0,1,0,0,1,3,1.5,-2,
2022-01-15,202201150OKC,CLE,Q1,Lamar Stevens,https://www.basketball-reference.com/boxscores/202201150OKC.html,5.85,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,1,0,-1.1,-2,
2022-01-15,202201150OKC,CLE,Q1,Isaac Okoro,https://www.basketball-reference.com/boxscores/202201150OKC.html,6.15,0,1,.000,0,1,.000,2,2,0,0,0,1,0,0,0,1,2,1.6,-6,1.000
2022-01-15,202201150OKC,CLE,Q1,Kevin Love,https://www.basketball-reference.com/boxscores/202201150OKC.html,6.15,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,1.0,-6,
2022-01-15,202201150OKC,CLE,Q1,Cedi Osman,https://www.basketball-reference.com/boxscores/202201150OKC.html,3.88,1,2,.500,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,1.0,-6,
2022-01-15,202201150OKC,CLE,Q1,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202201150OKC.html,3.25,0,1,.000,0,0,,0,0,1,0,1,1,0,0,0,0,0,0.7,-8,
2022-01-15,202201150OKC,CLE,Q2,Darius Garland,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.7,1,5,.200,1,4,.250,0,0,1,0,1,3,1,0,0,0,3,3.7,-2,
2022-01-15,202201150OKC,CLE,Q2,Jarrett Allen,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.7,1,3,.333,0,0,,1,2,1,5,6,0,0,0,0,0,3,3.1,-2,.500
2022-01-15,202201150OKC,CLE,Q2,Evan Mobley,https://www.basketball-reference.com/boxscores/202201150OKC.html,6.22,0,2,.000,0,1,.000,0,0,1,1,2,0,0,1,0,0,0,0.3,+2,
2022-01-15,202201150OKC,CLE,Q2,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202201150OKC.html,7.13,2,3,.667,0,0,,0,0,0,1,1,0,1,0,0,0,4,4.0,0,
2022-01-15,202201150OKC,CLE,Q2,Lamar Stevens,https://www.basketball-reference.com/boxscores/202201150OKC.html,9.08,1,3,.333,1,2,.500,0,0,0,0,0,0,0,1,0,0,3,2.0,-4,
2022-01-15,202201150OKC,CLE,Q2,Isaac Okoro,https://www.basketball-reference.com/boxscores/202201150OKC.html,2.92,1,3,.333,0,1,.000,2,2,0,0,0,0,0,0,0,0,4,2.3,+2,1.000
2022-01-15,202201150OKC,CLE,Q2,Kevin Love,https://www.basketball-reference.com/boxscores/202201150OKC.html,4.87,1,2,.500,1,2,.500,0,0,0,0,0,1,0,0,0,0,3,2.7,-2,
2022-01-15,202201150OKC,CLE,Q2,Cedi Osman,https://www.basketball-reference.com/boxscores/202201150OKC.html,9.08,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,-4,
2022-01-15,202201150OKC,CLE,Q2,Brandon Goodwin,https://www.basketball-reference.com/boxscores/202201150OKC.html,3.3,1,2,.500,0,1,.000,0,0,0,1,1,2,0,0,0,0,2,2.7,0,
2022-01-15,202201150OKC,CLE,Q3,Darius Garland,https://www.basketball-reference.com/boxscores/202201150OKC.html,12.0,5,6,.833,0,1,.000,4,4,0,0,0,8,0,0,1,1,14,16.0,+8,1.000
2022-01-15,202201150OKC,CLE,Q3,Jarrett Allen,https://www.basketball-reference.com/boxscores/202201150OKC.html,9.38,2,3,.667,0,0,,0,0,1,0,1,1,0,0,1,0,4,3.1,+2,
2022-01-15,202201150OKC,CLE,Q3,Evan Mobley,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.08,2,2,1.000,0,0,,2,3,0,0,0,0,0,0,0,0,6,5.0,0,.667
2022-01-15,202201150OKC,CLE,Q3,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202201150OKC.html,8.58,0,1,.000,0,1,.000,2,2,0,0,0,0,1,0,0,0,2,2.3,-1,1.000
2022-01-15,202201150OKC,CLE,Q3,Lamar Stevens,https://www.basketball-reference.com/boxscores/202201150OKC.html,3.78,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,0,1,2,1.3,-7,
2022-01-15,202201150OKC,CLE,Q3,Isaac Okoro,https://www.basketball-reference.com/boxscores/202201150OKC.html,3.42,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,+9,
2022-01-15,202201150OKC,CLE,Q3,Kevin Love,https://www.basketball-reference.com/boxscores/202201150OKC.html,6.13,2,3,.667,2,3,.667,0,0,0,1,1,0,0,0,0,0,6,5.0,+14,
