game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2022-02-05,202202050WAS,PHO,Q1,Chris Paul,https://www.basketball-reference.com/boxscores/202202050WAS.html,9.1,2,3,.667,1,2,.500,0,0,0,2,2,2,0,0,0,0,5,5.7,+9,
2022-02-05,202202050WAS,PHO,Q1,Devin Booker,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,3,6,.500,1,2,.500,0,0,0,3,3,2,0,0,0,0,7,6.3,+12,
2022-02-05,202202050WAS,PHO,Q1,Mikal Bridges,https://www.basketball-reference.com/boxscores/202202050WAS.html,11.52,3,6,.500,2,4,.500,0,0,1,1,2,3,1,0,0,1,8,8.7,+10,
2022-02-05,202202050WAS,PHO,Q1,Jae Crowder,https://www.basketball-reference.com/boxscores/202202050WAS.html,7.95,1,4,.250,0,2,.000,0,0,0,0,0,0,0,0,0,0,2,-0.4,+7,
2022-02-05,202202050WAS,PHO,Q1,Deandre Ayton,https://www.basketball-reference.com/boxscores/202202050WAS.html,8.13,4,5,.800,0,0,,1,1,2,2,4,0,1,0,0,0,9,10.1,+7,1.000
2022-02-05,202202050WAS,PHO,Q1,Jalen Smith,https://www.basketball-reference.com/boxscores/202202050WAS.html,0.52,0,0,,0,0,,0,0,0,0,0,1,0,0,0,1,0,0.3,+2,
2022-02-05,202202050WAS,PHO,Q1,Elfrid Payton,https://www.basketball-reference.com/boxscores/202202050WAS.html,2.9,1,2,.500,0,0,,0,0,0,0,0,0,0,0,0,0,2,1.0,+3,
2022-02-05,202202050WAS,PHO,Q1,Cameron Johnson,https://www.basketball-reference.com/boxscores/202202050WAS.html,4.05,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,1,0,-1.1,+5,
2022-02-05,202202050WAS,PHO,Q1,JaVale McGee,https://www.basketball-reference.com/boxscores/202202050WAS.html,3.83,0,0,,0,0,,0,0,0,2,2,0,1,0,0,0,0,1.6,+5,
2022-02-05,202202050WAS,PHO,Q2,Chris Paul,https://www.basketball-reference.com/boxscores/202202050WAS.html,9.45,1,4,.250,0,2,.000,0,0,0,1,1,4,0,1,1,0,2,2.4,+14,
2022-02-05,202202050WAS,PHO,Q2,Devin Booker,https://www.basketball-reference.com/boxscores/202202050WAS.html,5.62,1,3,.333,0,1,.000,0,0,0,0,0,0,0,0,1,1,2,-1.1,+4,
2022-02-05,202202050WAS,PHO,Q2,Mikal Bridges,https://www.basketball-reference.com/boxscores/202202050WAS.html,5.62,1,3,.333,0,0,,0,0,0,0,0,1,0,0,0,0,2,1.0,+4,
2022-02-05,202202050WAS,PHO,Q2,Jae Crowder,https://www.basketball-reference.com/boxscores/202202050WAS.html,8.73,1,2,.500,1,2,.500,0,0,0,6,6,0,0,0,0,1,3,3.4,+9,
2022-02-05,202202050WAS,PHO,Q2,Deandre Ayton,https://www.basketball-reference.com/boxscores/202202050WAS.html,6.98,2,6,.333,0,0,,0,0,3,4,7,1,1,0,0,0,4,5.6,+5,
2022-02-05,202202050WAS,PHO,Q2,Jalen Smith,https://www.basketball-reference.com/boxscores/202202050WAS.html,6.38,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,0,2,4,2.6,+11,
2022-02-05,202202050WAS,PHO,Q2,Elfrid Payton,https://www.basketball-reference.com/boxscores/202202050WAS.html,5.82,0,1,.000,0,0,,0,0,0,1,1,0,0,0,1,0,0,-1.4,+7,
2022-02-05,202202050WAS,PHO,Q2,Cameron Johnson,https://www.basketball-reference.com/boxscores/202202050WAS.html,6.38,2,2,1.000,1,1,1.000,0,0,0,2,2,1,0,0,0,0,5,5.7,+11,
2022-02-05,202202050WAS,PHO,Q2,JaVale McGee,https://www.basketball-reference.com/boxscores/202202050WAS.html,5.02,2,3,.667,0,0,,0,0,2,3,5,1,0,2,1,0,4,6.1,+10,
2022-02-05,202202050WAS,PHO,Q3,Chris Paul,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,3,5,.600,0,1,.000,1,2,0,1,1,3,1,0,1,0,7,6.7,+7,.500
2022-02-05,202202050WAS,PHO,Q3,Devin Booker,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,1,5,.200,0,3,.000,0,0,1,3,4,3,0,0,0,1,2,2.2,+7,
2022-02-05,202202050WAS,PHO,Q3,Mikal Bridges,https://www.basketball-reference.com/boxscores/202202050WAS.html,8.83,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,1,0,2,1.7,+3,
2022-02-05,202202050WAS,PHO,Q3,Jae Crowder,https://www.basketball-reference.com/boxscores/202202050WAS.html,7.82,1,4,.250,0,1,.000,0,0,1,0,1,0,0,1,0,1,2,0.6,+4,
2022-02-05,202202050WAS,PHO,Q3,Deandre Ayton,https://www.basketball-reference.com/boxscores/202202050WAS.html,8.83,2,3,.667,0,0,,3,4,1,4,5,1,0,0,0,0,7,7.9,+3,.750
2022-02-05,202202050WAS,PHO,Q3,Jalen Smith,https://www.basketball-reference.com/boxscores/202202050WAS.html,3.17,0,0,,0,0,,1,2,1,0,1,0,0,1,0,0,1,2.0,+4,.500
2022-02-05,202202050WAS,PHO,Q3,Cameron Johnson,https://www.basketball-reference.com/boxscores/202202050WAS.html,4.18,2,3,.667,1,2,.500,0,0,0,1,1,0,0,0,0,1,5,3.6,+3,
2022-02-05,202202050WAS,PHO,Q3,JaVale McGee,https://www.basketball-reference.com/boxscores/202202050WAS.html,3.17,0,0,,0,0,,0,0,1,1,2,0,0,1,0,0,0,1.7,+4,
2022-02-05,202202050WAS,PHO,Q4,Jalen Smith,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,1,5,.200,1,3,.333,0,0,3,1,4,0,0,0,1,0,3,1.3,-19,
2022-02-05,202202050WAS,PHO,Q4,Elfrid Payton,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,0,3,.000,0,1,.000,0,2,0,1,1,0,0,0,2,1,0,-5.0,-19,.000
2022-02-05,202202050WAS,PHO,Q4,Cameron Johnson,https://www.basketball-reference.com/boxscores/202202050WAS.html,3.45,1,2,.500,0,1,.000,0,0,0,0,0,1,0,0,0,0,2,1.7,-6,
2022-02-05,202202050WAS,PHO,Q4,JaVale McGee,https://www.basketball-reference.com/boxscores/202202050WAS.html,2.37,1,2,.500,0,0,,0,0,0,1,1,0,0,0,0,1,2,0.9,-4,
2022-02-05,202202050WAS,PHO,Q4,Ish Wainright,https://www.basketball-reference.com/boxscores/202202050WAS.html,12.0,1,4,.250,0,0,,0,1,1,0,1,0,0,0,0,1,2,-0.5,-19,.000
2022-02-05,202202050WAS,PHO,Q4,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202202050WAS.html,9.63,0,4,.000,0,0,,1,2,3,3,6,0,1,0,1,2,1,0.0,-15,.500
2022-02-05,202202050WAS,PHO,Q4,Justin Jackson,https://www.basketball-reference.com/boxscores/202202050WAS.html,8.55,0,5,.000,0,3,.000,0,0,0,0,0,2,0,0,0,1,0,-2.5,-13,
2022-02-05,202202050WAS,WAS,Q1,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202202050WAS.html,7.95,1,4,.250,0,1,.000,1,1,0,0,0,0,0,0,0,0,3,0.6,-7,1.000
