game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2022-03-23,202203230DAL,HOU,Q1,Jalen Green,https://www.basketball-reference.com/boxscores/202203230DAL.html,10.53,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,-3,,
2022-03-23,202203230DAL,HOU,Q1,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202203230DAL.html,10.53,1,4,.250,0,1,0,0,0,4,4,4,0,0,1,2,2,1.8,-3,.000,
2022-03-23,202203230DAL,HOU,Q1,Christian Wood,https://www.basketball-reference.com/boxscores/202203230DAL.html,9.33,0,1,.000,0,1,0,0,0,4,4,1,0,0,1,3,0,-1.0,-1,.000,
2022-03-23,202203230DAL,HOU,Q1,Eric Gordon,https://www.basketball-reference.com/boxscores/202203230DAL.html,7.7,1,3,.333,0,1,0,0,0,0,0,0,0,0,0,0,2,0.3,+3,.000,
2022-03-23,202203230DAL,HOU,Q1,Jae'Sean Tate,https://www.basketball-reference.com/boxscores/202203230DAL.html,7.7,4,6,.667,1,2,0,0,1,0,1,0,1,0,0,0,9,8.1,+3,.500,
2022-03-23,202203230DAL,HOU,Q1,Alperen Şengün,https://www.basketball-reference.com/boxscores/202203230DAL.html,4.3,2,3,.667,0,1,0,0,0,0,0,0,1,0,0,0,4,3.7,-7,.000,
2022-03-23,202203230DAL,HOU,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202203230DAL.html,4.3,0,1,.000,0,0,2,2,0,0,0,0,0,0,0,0,2,1.3,-7,,1.000
2022-03-23,202203230DAL,HOU,Q1,Garrison Mathews,https://www.basketball-reference.com/boxscores/202203230DAL.html,1.47,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,,
2022-03-23,202203230DAL,HOU,Q1,KJ Martin,https://www.basketball-reference.com/boxscores/202203230DAL.html,2.67,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0.6,-3,,
2022-03-23,202203230DAL,HOU,Q1,Josh Christopher,https://www.basketball-reference.com/boxscores/202203230DAL.html,1.47,0,1,.000,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1,.000,
2022-03-23,202203230DAL,HOU,Q2,Jalen Green,https://www.basketball-reference.com/boxscores/202203230DAL.html,5.0,1,1,1.000,0,0,0,0,0,3,3,1,0,0,1,0,2,2.3,+3,,
2022-03-23,202203230DAL,HOU,Q2,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202203230DAL.html,5.0,2,3,.667,0,0,0,0,0,0,0,1,0,1,0,0,4,4.1,+3,,
2022-03-23,202203230DAL,HOU,Q2,Christian Wood,https://www.basketball-reference.com/boxscores/202203230DAL.html,3.4,2,2,1.000,0,0,0,1,0,1,1,0,0,0,0,0,4,3.3,+2,,.000
