game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct,ft_pct
2022-04-03,202204030BOS,WAS,Q1,Corey Kispert,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.83,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1.7,-9,,,
2022-04-03,202204030BOS,WAS,Q1,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202204030BOS.html,11.08,2,5,0,1,2,2,0,1,1,0,1,0,0,0,6,4.6,-10,.400,.000,1.000
2022-04-03,202204030BOS,WAS,Q1,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202204030BOS.html,8.35,2,5,0,1,1,1,1,3,4,0,0,0,1,0,5,2.9,-9,.400,.000,1.000
2022-04-03,202204030BOS,WAS,Q1,Rui Hachimura,https://www.basketball-reference.com/boxscores/202204030BOS.html,8.35,0,4,0,2,0,0,0,2,2,0,0,0,0,0,0,-2.2,-9,.000,.000,
2022-04-03,202204030BOS,WAS,Q1,Tomáš Satoranský,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.67,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2.4,-6,.500,,
2022-04-03,202204030BOS,WAS,Q1,Ish Smith,https://www.basketball-reference.com/boxscores/202204030BOS.html,5.33,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2,2.4,-7,1.000,,
2022-04-03,202204030BOS,WAS,Q1,Anthony Gill,https://www.basketball-reference.com/boxscores/202204030BOS.html,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,-4,,,
2022-04-03,202204030BOS,WAS,Q1,Deni Avdija,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.08,2,2,1,1,0,0,0,0,0,0,0,0,0,2,5,3.6,-7,1.000,1.000,
2022-04-03,202204030BOS,WAS,Q1,Daniel Gafford,https://www.basketball-reference.com/boxscores/202204030BOS.html,3.65,1,3,0,0,0,0,1,0,1,0,0,0,1,0,2,0.0,-4,.333,,
2022-04-03,202204030BOS,WAS,Q2,Corey Kispert,https://www.basketball-reference.com/boxscores/202204030BOS.html,11.68,2,2,1,1,0,0,0,2,2,0,0,0,0,2,5,4.2,+4,1.000,1.000,
2022-04-03,202204030BOS,WAS,Q2,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.32,2,6,1,3,0,0,2,0,2,0,0,0,1,1,5,1.6,+1,.333,.333,
2022-04-03,202204030BOS,WAS,Q2,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202204030BOS.html,7.78,2,5,2,2,2,2,0,1,1,0,0,0,0,0,8,5.6,0,.400,1.000,1.000
2022-04-03,202204030BOS,WAS,Q2,Rui Hachimura,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.13,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0.9,+1,,,
2022-04-03,202204030BOS,WAS,Q2,Tomáš Satoranský,https://www.basketball-reference.com/boxscores/202204030BOS.html,4.15,1,1,0,0,2,2,0,1,1,2,0,0,1,0,4,4.4,+3,1.000,,1.000
2022-04-03,202204030BOS,WAS,Q2,Ish Smith,https://www.basketball-reference.com/boxscores/202204030BOS.html,7.85,4,4,0,0,0,0,0,0,0,4,1,0,0,0,8,10.6,-1,1.000,,
2022-04-03,202204030BOS,WAS,Q2,Anthony Gill,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.18,1,2,1,1,2,2,0,0,0,0,0,0,0,0,5,4.0,-1,.500,1.000,1.000
2022-04-03,202204030BOS,WAS,Q2,Deni Avdija,https://www.basketball-reference.com/boxscores/202204030BOS.html,2.68,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.7,+1,,,
2022-04-03,202204030BOS,WAS,Q2,Daniel Gafford,https://www.basketball-reference.com/boxscores/202204030BOS.html,4.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,+2,1.000,,
2022-04-03,202204030BOS,WAS,Q3,Corey Kispert,https://www.basketball-reference.com/boxscores/202204030BOS.html,8.2,1,2,0,1,0,0,0,2,2,0,0,0,1,1,2,0.2,-12,.500,.000,
2022-04-03,202204030BOS,WAS,Q3,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.93,3,6,0,0,0,0,0,1,1,0,0,1,0,2,6,3.2,-12,.500,,
2022-04-03,202204030BOS,WAS,Q3,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.42,1,5,0,0,2,2,1,1,2,1,0,0,1,0,4,1.6,-10,.200,,1.000
2022-04-03,202204030BOS,WAS,Q3,Rui Hachimura,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.93,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,-1.1,-12,.000,.000,
2022-04-03,202204030BOS,WAS,Q3,Tomáš Satoranský,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.27,0,1,0,0,1,2,0,0,0,3,0,0,0,2,1,1.2,-10,.000,,.500
2022-04-03,202204030BOS,WAS,Q3,Ish Smith,https://www.basketball-reference.com/boxscores/202204030BOS.html,2.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-4,.000,,
2022-04-03,202204030BOS,WAS,Q3,Anthony Gill,https://www.basketball-reference.com/boxscores/202204030BOS.html,3.65,0,2,0,0,2,2,2,0,2,0,0,0,0,1,2,1.6,-5,.000,,1.000
2022-04-03,202204030BOS,WAS,Q3,Deni Avdija,https://www.basketball-reference.com/boxscores/202204030BOS.html,4.28,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2,3.1,-1,1.000,,
2022-04-03,202204030BOS,WAS,Q3,Daniel Gafford,https://www.basketball-reference.com/boxscores/202204030BOS.html,2.58,1,1,0,0,1,2,0,0,0,0,0,0,0,0,3,2.3,-4,1.000,,.500
2022-04-03,202204030BOS,WAS,Q4,Corey Kispert,https://www.basketball-reference.com/boxscores/202204030BOS.html,6.23,1,2,0,1,1,1,0,0,0,0,0,0,0,0,3,2.0,-10,.500,.000,1.000
2022-04-03,202204030BOS,WAS,Q4,Ish Smith,https://www.basketball-reference.com/boxscores/202204030BOS.html,12.0,3,4,0,0,0,0,0,1,1,0,0,0,0,0,6,4.7,-17,.750,,
2022-04-03,202204030BOS,WAS,Q4,Anthony Gill,https://www.basketball-reference.com/boxscores/202204030BOS.html,12.0,0,4,0,2,2,2,0,0,0,1,0,0,0,1,2,-0.5,-17,.000,.000,1.000
2022-04-03,202204030BOS,WAS,Q4,Deni Avdija,https://www.basketball-reference.com/boxscores/202204030BOS.html,9.75,1,4,1,2,0,0,0,1,1,1,0,0,1,0,3,0.6,-25,.250,.500,
2022-04-03,202204030BOS,WAS,Q4,Daniel Gafford,https://www.basketball-reference.com/boxscores/202204030BOS.html,3.98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,-18,1.000,,
