game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2022-04-06,202204060CHI,BOS,Q1,Jaylen Brown,https://www.basketball-reference.com/boxscores/202204060CHI.html,12.0,4,6,.667,0,0,0,0,0,1,1,1,2,0,1,0,8,7.4,+13,,
2022-04-06,202204060CHI,BOS,Q1,Jayson Tatum,https://www.basketball-reference.com/boxscores/202204060CHI.html,8.85,1,4,.250,0,2,4,4,0,3,3,2,0,0,0,0,6,5.9,+12,.000,1.000
2022-04-06,202204060CHI,BOS,Q1,Daniel Theis,https://www.basketball-reference.com/boxscores/202204060CHI.html,9.77,3,5,.600,1,3,0,0,1,0,1,1,0,0,0,0,7,6.1,+10,.333,
2022-04-06,202204060CHI,BOS,Q1,Al Horford,https://www.basketball-reference.com/boxscores/202204060CHI.html,12.0,3,3,1.000,1,1,0,0,1,3,4,2,2,1,0,0,7,11.8,+13,1.000,
2022-04-06,202204060CHI,BOS,Q1,Marcus Smart,https://www.basketball-reference.com/boxscores/202204060CHI.html,12.0,1,3,.333,1,3,0,0,0,0,0,3,0,0,1,1,3,2.0,+13,.333,
2022-04-06,202204060CHI,BOS,Q1,Grant Williams,https://www.basketball-reference.com/boxscores/202204060CHI.html,2.23,0,0,,0,0,0,0,0,1,1,0,0,0,0,2,0,-0.5,+3,,
2022-04-06,202204060CHI,BOS,Q1,Derrick White,https://www.basketball-reference.com/boxscores/202204060CHI.html,3.15,0,0,,0,0,1,2,0,1,1,0,0,0,0,0,1,0.9,+1,,.500
2022-04-06,202204060CHI,BOS,Q2,Jaylen Brown,https://www.basketball-reference.com/boxscores/202204060CHI.html,6.35,1,3,.333,0,0,1,4,0,1,1,1,0,0,0,1,3,0.7,+2,,.250
2022-04-06,202204060CHI,BOS,Q2,Jayson Tatum,https://www.basketball-reference.com/boxscores/202204060CHI.html,9.3,2,6,.333,1,2,0,1,0,2,2,5,1,0,1,1,5,4.9,+2,.500,.000
2022-04-06,202204060CHI,BOS,Q2,Daniel Theis,https://www.basketball-reference.com/boxscores/202204060CHI.html,7.82,3,3,1.000,0,0,0,0,1,0,1,0,0,0,0,1,6,5.4,+5,,
