game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2022-10-21,202210210GSW,DEN,Q1,Nikola Jokić,https://www.basketball-reference.com/boxscores/202210210GSW.html,9.48,3,6,.500,0,1,.000,0,0,1,4,5,4,0,0,1,1,6,6.3,-1,
2022-10-21,202210210GSW,DEN,Q1,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202210210GSW.html,8.53,4,5,.800,1,2,.500,0,0,0,0,0,0,0,0,0,0,9,7.1,-1,
2022-10-21,202210210GSW,DEN,Q1,Bruce Brown,https://www.basketball-reference.com/boxscores/202210210GSW.html,7.62,1,1,1.000,0,0,,1,2,0,0,0,1,0,0,1,1,3,1.6,+1,.500
2022-10-21,202210210GSW,DEN,Q1,Aaron Gordon,https://www.basketball-reference.com/boxscores/202210210GSW.html,7.62,1,2,.500,0,0,,0,0,0,0,0,1,0,0,1,1,2,0.3,+1,
2022-10-21,202210210GSW,DEN,Q1,Michael Porter Jr.,https://www.basketball-reference.com/boxscores/202210210GSW.html,4.63,2,3,.667,2,2,1.000,0,0,0,0,0,0,1,0,0,2,6,4.9,-3,
2022-10-21,202210210GSW,DEN,Q1,Christian Braun,https://www.basketball-reference.com/boxscores/202210210GSW.html,7.37,0,2,.000,0,0,,0,0,2,1,3,2,2,0,0,0,0,3.7,+9,
2022-10-21,202210210GSW,DEN,Q1,Bones Hyland,https://www.basketball-reference.com/boxscores/202210210GSW.html,4.38,3,3,1.000,0,0,,0,0,0,0,0,3,0,0,0,0,6,7.2,+5,
2022-10-21,202210210GSW,DEN,Q1,Jeff Green,https://www.basketball-reference.com/boxscores/202210210GSW.html,4.38,2,3,.667,2,2,1.000,0,0,1,0,1,0,0,0,0,0,6,5.4,+5,
2022-10-21,202210210GSW,DEN,Q1,DeAndre Jordan,https://www.basketball-reference.com/boxscores/202210210GSW.html,2.52,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,0,0,2,2.0,+7,
2022-10-21,202210210GSW,DEN,Q1,Davon Reed,https://www.basketball-reference.com/boxscores/202210210GSW.html,3.47,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,+7,
2022-10-21,202210210GSW,DEN,Q2,Nikola Jokić,https://www.basketball-reference.com/boxscores/202210210GSW.html,6.67,1,1,1.000,0,0,,6,6,0,2,2,2,0,0,2,1,8,7.3,+7,1.000
2022-10-21,202210210GSW,DEN,Q2,Kentavious Caldwell-Pope,https://www.basketball-reference.com/boxscores/202210210GSW.html,7.53,0,2,.000,0,1,.000,0,0,0,1,1,0,1,0,1,1,0,-1.5,+7,
