game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-11-09,202211090ORL,DAL,Q1,Spencer Dinwiddie,https://www.basketball-reference.com/boxscores/202211090ORL.html,7.13,2,3,.667,2,3,.667,2,2,1.000,0,1,1,0,1,1,0,0,8,8.7,-1
2022-11-09,202211090ORL,DAL,Q1,Luka Dončić,https://www.basketball-reference.com/boxscores/202211090ORL.html,12.0,5,13,.385,1,4,.250,1,1,1.000,0,1,1,3,2,2,0,1,12,10.3,+4
2022-11-09,202211090ORL,DAL,Q1,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202211090ORL.html,10.77,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,0,3,3.7,-1
2022-11-09,202211090ORL,DAL,Q1,Reggie Bullock,https://www.basketball-reference.com/boxscores/202211090ORL.html,6.42,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+1
2022-11-09,202211090ORL,DAL,Q1,Dwight Powell,https://www.basketball-reference.com/boxscores/202211090ORL.html,6.07,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2
2022-11-09,202211090ORL,DAL,Q1,Maxi Kleber,https://www.basketball-reference.com/boxscores/202211090ORL.html,5.93,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+6
2022-11-09,202211090ORL,DAL,Q1,Josh Green,https://www.basketball-reference.com/boxscores/202211090ORL.html,4.87,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,1.3,+5
2022-11-09,202211090ORL,DAL,Q1,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202211090ORL.html,5.58,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,3,4.7,+3
2022-11-09,202211090ORL,DAL,Q1,JaVale McGee,https://www.basketball-reference.com/boxscores/202211090ORL.html,1.23,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+5
2022-11-09,202211090ORL,DAL,Q2,Spencer Dinwiddie,https://www.basketball-reference.com/boxscores/202211090ORL.html,9.13,3,4,.750,1,2,.500,1,2,.500,0,1,1,3,1,0,0,0,8,9.4,+1
2022-11-09,202211090ORL,DAL,Q2,Luka Dončić,https://www.basketball-reference.com/boxscores/202211090ORL.html,5.7,1,3,.333,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,0,5,4.3,+2
2022-11-09,202211090ORL,DAL,Q2,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202211090ORL.html,4.33,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
2022-11-09,202211090ORL,DAL,Q2,Reggie Bullock,https://www.basketball-reference.com/boxscores/202211090ORL.html,5.7,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+2
2022-11-09,202211090ORL,DAL,Q2,Dwight Powell,https://www.basketball-reference.com/boxscores/202211090ORL.html,4.93,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,+1
2022-11-09,202211090ORL,DAL,Q2,Maxi Kleber,https://www.basketball-reference.com/boxscores/202211090ORL.html,9.17,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-3
2022-11-09,202211090ORL,DAL,Q2,Josh Green,https://www.basketball-reference.com/boxscores/202211090ORL.html,10.53,2,2,1.000,0,0,,0,2,.000,0,0,0,2,1,0,0,0,4,5.0,-4
2022-11-09,202211090ORL,DAL,Q2,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202211090ORL.html,6.3,1,4,.250,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,0.6,-2
2022-11-09,202211090ORL,DAL,Q2,JaVale McGee,https://www.basketball-reference.com/boxscores/202211090ORL.html,4.2,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,0
2022-11-09,202211090ORL,DAL,Q3,Spencer Dinwiddie,https://www.basketball-reference.com/boxscores/202211090ORL.html,10.63,1,4,.250,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,1,4,2.6,-2
2022-11-09,202211090ORL,DAL,Q3,Luka Dončić,https://www.basketball-reference.com/boxscores/202211090ORL.html,12.0,2,7,.286,0,3,.000,1,2,.500,0,2,2,2,1,0,0,0,5,3.5,-3
2022-11-09,202211090ORL,DAL,Q3,Dorian Finney-Smith,https://www.basketball-reference.com/boxscores/202211090ORL.html,9.9,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,1,1,0,5,3.4,0
2022-11-09,202211090ORL,DAL,Q3,Reggie Bullock,https://www.basketball-reference.com/boxscores/202211090ORL.html,6.7,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1
2022-11-09,202211090ORL,DAL,Q3,Dwight Powell,https://www.basketball-reference.com/boxscores/202211090ORL.html,3.78,0,0,,0,0,,0,0,,0,1,1,0,2,0,1,3,0,0.1,-2
2022-11-09,202211090ORL,DAL,Q3,Maxi Kleber,https://www.basketball-reference.com/boxscores/202211090ORL.html,8.22,2,3,.667,1,2,.500,0,0,,0,1,1,0,1,0,0,1,5,4.6,-1
2022-11-09,202211090ORL,DAL,Q3,Josh Green,https://www.basketball-reference.com/boxscores/202211090ORL.html,2.1,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-3
2022-11-09,202211090ORL,DAL,Q3,Tim Hardaway Jr.,https://www.basketball-reference.com/boxscores/202211090ORL.html,5.3,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,-2
