game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2022-12-04,202212040WAS,LAL,Q1,Anthony Davis,https://www.basketball-reference.com/boxscores/202212040WAS.html,9.4,4,8,.500,0,1,.000,2,2,1.000,1,5,6,0,0,0,0,0,10,8.2,+8
2022-12-04,202212040WAS,LAL,Q1,LeBron James,https://www.basketball-reference.com/boxscores/202212040WAS.html,7.15,4,7,.571,1,3,.333,0,0,,0,2,2,0,0,0,2,0,9,4.3,+3
2022-12-04,202212040WAS,LAL,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202212040WAS.html,7.15,0,0,,0,0,,0,0,,0,1,1,3,0,0,0,0,0,2.4,+3
2022-12-04,202212040WAS,LAL,Q1,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202212040WAS.html,8.43,1,3,.333,1,1,1.000,2,2,1.000,0,0,0,0,1,0,0,0,5,4.3,+7
2022-12-04,202212040WAS,LAL,Q1,Patrick Beverley,https://www.basketball-reference.com/boxscores/202212040WAS.html,4.98,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-5
2022-12-04,202212040WAS,LAL,Q1,Russell Westbrook,https://www.basketball-reference.com/boxscores/202212040WAS.html,7.02,2,5,.400,0,1,.000,0,0,,0,2,2,5,0,0,1,0,4,4.4,+11
2022-12-04,202212040WAS,LAL,Q1,Austin Reaves,https://www.basketball-reference.com/boxscores/202212040WAS.html,4.85,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+3
2022-12-04,202212040WAS,LAL,Q1,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202212040WAS.html,4.85,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+3
2022-12-04,202212040WAS,LAL,Q1,Thomas Bryant,https://www.basketball-reference.com/boxscores/202212040WAS.html,2.6,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-2
2022-12-04,202212040WAS,LAL,Q1,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202212040WAS.html,3.57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-1
2022-12-04,202212040WAS,LAL,Q2,Anthony Davis,https://www.basketball-reference.com/boxscores/202212040WAS.html,7.23,6,7,.857,0,0,,2,2,1.000,0,3,3,0,0,1,0,0,14,13.1,+7
2022-12-04,202212040WAS,LAL,Q2,LeBron James,https://www.basketball-reference.com/boxscores/202212040WAS.html,8.88,2,4,.500,1,2,.500,1,1,1.000,0,1,1,2,0,0,1,1,6,4.3,+13
2022-12-04,202212040WAS,LAL,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202212040WAS.html,6.52,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,2,3.7,+11
2022-12-04,202212040WAS,LAL,Q2,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202212040WAS.html,5.48,2,3,.667,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,5,4.6,+1
2022-12-04,202212040WAS,LAL,Q2,Patrick Beverley,https://www.basketball-reference.com/boxscores/202212040WAS.html,5.42,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+7
2022-12-04,202212040WAS,LAL,Q2,Russell Westbrook,https://www.basketball-reference.com/boxscores/202212040WAS.html,5.48,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,1,1,0,0.0,+1
2022-12-04,202212040WAS,LAL,Q2,Austin Reaves,https://www.basketball-reference.com/boxscores/202212040WAS.html,9.7,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,3.0,+4
2022-12-04,202212040WAS,LAL,Q2,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202212040WAS.html,6.52,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,2.7,+11
2022-12-04,202212040WAS,LAL,Q2,Thomas Bryant,https://www.basketball-reference.com/boxscores/202212040WAS.html,4.77,1,3,.333,0,0,,0,2,.000,1,3,4,0,0,0,0,0,2,1.1,+5
2022-12-04,202212040WAS,LAL,Q3,Anthony Davis,https://www.basketball-reference.com/boxscores/202212040WAS.html,11.85,6,7,.857,1,1,1.000,4,4,1.000,1,4,5,0,0,2,2,1,17,15.4,+6
2022-12-04,202212040WAS,LAL,Q3,LeBron James,https://www.basketball-reference.com/boxscores/202212040WAS.html,7.03,2,4,.500,0,0,,2,2,1.000,0,2,2,2,0,0,0,0,6,6.0,+8
2022-12-04,202212040WAS,LAL,Q3,Dennis Schröder,https://www.basketball-reference.com/boxscores/202212040WAS.html,6.83,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,2,0,0,-0.3,+6
2022-12-04,202212040WAS,LAL,Q3,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202212040WAS.html,8.98,4,4,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,10,8.8,+4
2022-12-04,202212040WAS,LAL,Q3,Patrick Beverley,https://www.basketball-reference.com/boxscores/202212040WAS.html,5.93,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,+7
2022-12-04,202212040WAS,LAL,Q3,Russell Westbrook,https://www.basketball-reference.com/boxscores/202212040WAS.html,6.07,1,2,.500,0,0,,0,0,,0,2,2,4,0,0,0,1,2,4.0,-1
2022-12-04,202212040WAS,LAL,Q3,Austin Reaves,https://www.basketball-reference.com/boxscores/202212040WAS.html,5.17,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.1,0
2022-12-04,202212040WAS,LAL,Q3,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202212040WAS.html,3.02,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+2
2022-12-04,202212040WAS,LAL,Q3,Thomas Bryant,https://www.basketball-reference.com/boxscores/202212040WAS.html,3.02,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,+2
2022-12-04,202212040WAS,LAL,Q3,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202212040WAS.html,2.1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
