game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-01-02,202301020PHI,NOP,Q1,CJ McCollum,https://www.basketball-reference.com/boxscores/202301020PHI.html,11.35,2,3,.667,2,3,.667,1,2,.500,0,1,1,3,1,0,1,0,7,7.7,-7
2023-01-02,202301020PHI,NOP,Q1,Trey Murphy III,https://www.basketball-reference.com/boxscores/202301020PHI.html,5.77,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
2023-01-02,202301020PHI,NOP,Q1,Herbert Jones,https://www.basketball-reference.com/boxscores/202301020PHI.html,7.82,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,1,0,4,3.4,-2
2023-01-02,202301020PHI,NOP,Q1,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202301020PHI.html,6.03,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,2,0,2,3,3.3,-1
2023-01-02,202301020PHI,NOP,Q1,Zion Williamson,https://www.basketball-reference.com/boxscores/202301020PHI.html,7.83,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,3,0,4,1.7,-6
2023-01-02,202301020PHI,NOP,Q1,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202301020PHI.html,4.35,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,2.9,-2
2023-01-02,202301020PHI,NOP,Q1,Willy Hernangómez,https://www.basketball-reference.com/boxscores/202301020PHI.html,5.77,1,4,.250,0,0,,0,0,,3,0,3,0,0,0,0,1,2,1.3,-7
2023-01-02,202301020PHI,NOP,Q1,Naji Marshall,https://www.basketball-reference.com/boxscores/202301020PHI.html,6.23,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,2,1,0,-3.9,-7
2023-01-02,202301020PHI,NOP,Q1,Devonte' Graham,https://www.basketball-reference.com/boxscores/202301020PHI.html,0.63,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
2023-01-02,202301020PHI,NOP,Q1,Dyson Daniels,https://www.basketball-reference.com/boxscores/202301020PHI.html,4.18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
2023-01-02,202301020PHI,NOP,Q2,CJ McCollum,https://www.basketball-reference.com/boxscores/202301020PHI.html,7.37,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,0,1,0,5,1.3,+3
2023-01-02,202301020PHI,NOP,Q2,Trey Murphy III,https://www.basketball-reference.com/boxscores/202301020PHI.html,8.88,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,2.2,+8
2023-01-02,202301020PHI,NOP,Q2,Herbert Jones,https://www.basketball-reference.com/boxscores/202301020PHI.html,6.8,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,1,0,-0.1,+3
2023-01-02,202301020PHI,NOP,Q2,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202301020PHI.html,7.25,2,5,.400,1,1,1.000,0,0,,1,4,5,0,0,1,0,0,5,4.9,-6
2023-01-02,202301020PHI,NOP,Q2,Zion Williamson,https://www.basketball-reference.com/boxscores/202301020PHI.html,8.75,4,6,.667,0,0,,4,6,.667,0,2,2,1,0,0,1,0,12,8.9,+10
2023-01-02,202301020PHI,NOP,Q2,Jaxson Hayes,https://www.basketball-reference.com/boxscores/202301020PHI.html,3.3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-7
2023-01-02,202301020PHI,NOP,Q2,Willy Hernangómez,https://www.basketball-reference.com/boxscores/202301020PHI.html,4.68,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,+9
2023-01-02,202301020PHI,NOP,Q2,Devonte' Graham,https://www.basketball-reference.com/boxscores/202301020PHI.html,4.63,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,1.3,0
2023-01-02,202301020PHI,NOP,Q2,Jose Alvarado,https://www.basketball-reference.com/boxscores/202301020PHI.html,8.32,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,1,0,0,-1.4,-5
2023-01-02,202301020PHI,NOP,Q3,CJ McCollum,https://www.basketball-reference.com/boxscores/202301020PHI.html,8.35,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4,3.7,+2
2023-01-02,202301020PHI,NOP,Q3,Trey Murphy III,https://www.basketball-reference.com/boxscores/202301020PHI.html,9.45,1,4,.250,0,3,.000,0,0,,0,3,3,0,0,0,0,0,2,0.5,-1
2023-01-02,202301020PHI,NOP,Q3,Herbert Jones,https://www.basketball-reference.com/boxscores/202301020PHI.html,7.32,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+3
