game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-01-18,202301180UTA,LAC,Q1,Norman Powell,https://www.basketball-reference.com/boxscores/202301180UTA.html,11.45,4,7,.571,3,3,1.000,1,2,.500,0,1,1,1,0,0,0,0,12,9.3,-7
2023-01-18,202301180UTA,LAC,Q1,Ivica Zubac,https://www.basketball-reference.com/boxscores/202301180UTA.html,9.47,3,6,.500,0,0,,0,0,,3,0,3,0,0,2,1,1,6,5.1,-10
2023-01-18,202301180UTA,LAC,Q1,Terance Mann,https://www.basketball-reference.com/boxscores/202301180UTA.html,9.57,0,2,.000,0,0,,0,0,,0,1,1,3,0,0,1,0,0,0.0,-7
2023-01-18,202301180UTA,LAC,Q1,Nicolas Batum,https://www.basketball-reference.com/boxscores/202301180UTA.html,9.47,2,2,1.000,1,1,1.000,0,0,,2,1,3,1,0,0,0,0,5,6.8,-10
2023-01-18,202301180UTA,LAC,Q1,Marcus Morris,https://www.basketball-reference.com/boxscores/202301180UTA.html,9.47,1,5,.200,0,1,.000,1,1,1.000,0,1,1,1,0,0,0,0,3,0.9,-10
2023-01-18,202301180UTA,LAC,Q1,Amir Coffey,https://www.basketball-reference.com/boxscores/202301180UTA.html,2.53,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
2023-01-18,202301180UTA,LAC,Q1,Brandon Boston Jr.,https://www.basketball-reference.com/boxscores/202301180UTA.html,2.53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
2023-01-18,202301180UTA,LAC,Q1,Moussa Diabaté,https://www.basketball-reference.com/boxscores/202301180UTA.html,2.53,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,1,1,0,-0.1,0
2023-01-18,202301180UTA,LAC,Q1,Reggie Jackson,https://www.basketball-reference.com/boxscores/202301180UTA.html,2.43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3
2023-01-18,202301180UTA,LAC,Q1,Robert Covington,https://www.basketball-reference.com/boxscores/202301180UTA.html,0.55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
2023-01-18,202301180UTA,LAC,Q2,Norman Powell,https://www.basketball-reference.com/boxscores/202301180UTA.html,6.48,2,4,.500,2,3,.667,2,2,1.000,0,2,2,1,0,0,0,0,8,7.3,+6
2023-01-18,202301180UTA,LAC,Q2,Ivica Zubac,https://www.basketball-reference.com/boxscores/202301180UTA.html,7.17,2,4,.500,0,0,,1,1,1.000,3,0,3,0,0,0,1,1,5,3.7,+3
2023-01-18,202301180UTA,LAC,Q2,Terance Mann,https://www.basketball-reference.com/boxscores/202301180UTA.html,6.77,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,1,1,2,2.0,+3
