game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-01-23,202301230UTA,CHO,Q1,Terry Rozier,https://www.basketball-reference.com/boxscores/202301230UTA.html,10.3,4,8,.500,0,1,.000,0,0,1,2,3,0,0,0,1,0,8,4.3,-2,
2023-01-23,202301230UTA,CHO,Q1,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202301230UTA.html,9.02,1,2,.500,0,1,.000,0,0,0,3,3,0,0,0,2,0,2,-0.1,+7,
2023-01-23,202301230UTA,CHO,Q1,P.J. Washington,https://www.basketball-reference.com/boxscores/202301230UTA.html,7.32,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,1.7,+2,
2023-01-23,202301230UTA,CHO,Q1,Mason Plumlee,https://www.basketball-reference.com/boxscores/202301230UTA.html,8.58,1,1,1.000,0,0,,0,2,0,2,2,1,0,1,0,0,2,2.9,-1,.000
2023-01-23,202301230UTA,CHO,Q1,Gordon Hayward,https://www.basketball-reference.com/boxscores/202301230UTA.html,6.22,1,3,.333,0,0,,0,0,0,0,0,1,0,0,0,0,2,1.0,0,
2023-01-23,202301230UTA,CHO,Q1,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202301230UTA.html,4.68,1,2,.500,0,0,,0,0,0,0,0,3,0,0,0,0,2,3.1,+1,
2023-01-23,202301230UTA,CHO,Q1,Bryce McGowens,https://www.basketball-reference.com/boxscores/202301230UTA.html,5.78,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-0.7,+3,
2023-01-23,202301230UTA,CHO,Q1,Mark Williams,https://www.basketball-reference.com/boxscores/202301230UTA.html,3.42,4,4,1.000,0,0,,0,0,2,0,2,0,1,0,0,0,8,9.2,+4,
2023-01-23,202301230UTA,CHO,Q1,JT Thor,https://www.basketball-reference.com/boxscores/202301230UTA.html,4.68,0,2,.000,0,1,.000,0,0,1,2,3,0,1,0,0,0,0,0.9,+1,
2023-01-23,202301230UTA,CHO,Q2,Terry Rozier,https://www.basketball-reference.com/boxscores/202301230UTA.html,6.78,2,4,.500,0,1,.000,1,3,0,1,1,1,0,0,0,2,5,2.4,-5,.333
2023-01-23,202301230UTA,CHO,Q2,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202301230UTA.html,7.3,1,3,.333,0,0,,0,0,0,1,1,1,0,0,0,2,2,0.5,-7,
2023-01-23,202301230UTA,CHO,Q2,P.J. Washington,https://www.basketball-reference.com/boxscores/202301230UTA.html,6.27,1,3,.333,0,1,.000,0,0,0,1,1,0,0,0,1,3,2,-1.6,-9,
2023-01-23,202301230UTA,CHO,Q2,Mason Plumlee,https://www.basketball-reference.com/boxscores/202301230UTA.html,6.82,2,2,1.000,0,0,,2,3,1,1,2,0,0,0,1,0,6,5.0,-5,.667
2023-01-23,202301230UTA,CHO,Q2,Gordon Hayward,https://www.basketball-reference.com/boxscores/202301230UTA.html,5.83,0,0,,0,0,,0,0,0,1,1,0,0,0,2,0,0,-1.7,-12,
2023-01-23,202301230UTA,CHO,Q2,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202301230UTA.html,8.5,1,4,.250,0,1,.000,0,0,0,1,1,2,0,0,0,0,2,1.3,-9,
2023-01-23,202301230UTA,CHO,Q2,Bryce McGowens,https://www.basketball-reference.com/boxscores/202301230UTA.html,9.67,0,2,.000,0,1,.000,0,0,0,1,1,0,0,0,0,3,0,-2.3,-11,
2023-01-23,202301230UTA,CHO,Q2,Mark Williams,https://www.basketball-reference.com/boxscores/202301230UTA.html,5.18,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,0,0,2,2.7,-11,
2023-01-23,202301230UTA,CHO,Q2,JT Thor,https://www.basketball-reference.com/boxscores/202301230UTA.html,3.65,0,0,,0,0,,2,2,0,1,1,0,0,0,0,0,2,2.3,-11,1.000
2023-01-23,202301230UTA,CHO,Q3,Terry Rozier,https://www.basketball-reference.com/boxscores/202301230UTA.html,12.0,3,7,.429,2,4,.500,2,2,0,1,1,1,1,0,0,1,10,7.9,+3,1.000
2023-01-23,202301230UTA,CHO,Q3,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202301230UTA.html,9.07,2,4,.500,0,1,.000,1,2,1,4,5,2,1,1,1,1,5,6.2,+8,.500
2023-01-23,202301230UTA,CHO,Q3,P.J. Washington,https://www.basketball-reference.com/boxscores/202301230UTA.html,5.57,0,1,.000,0,0,,1,2,0,0,0,0,0,0,0,1,1,-0.5,+2,.500
