game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-02-02,202302020DEN,GSW,Q1,Stephen Curry,https://www.basketball-reference.com/boxscores/202302020DEN.html,9.65,3,4,.750,2,3,.667,0,0,2,1,3,2,0,0,1,1,8,8.1,+3,
2023-02-02,202302020DEN,GSW,Q1,Jonathan Kuminga,https://www.basketball-reference.com/boxscores/202302020DEN.html,12.0,4,4,1.000,1,1,1.000,1,3,0,3,3,0,0,0,0,0,10,8.9,+1,.333
2023-02-02,202302020DEN,GSW,Q1,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202302020DEN.html,9.42,2,6,.333,1,2,.500,0,1,2,0,2,1,0,0,1,2,5,1.5,+2,.000
2023-02-02,202302020DEN,GSW,Q1,Jordan Poole,https://www.basketball-reference.com/boxscores/202302020DEN.html,8.43,1,4,.250,1,2,.500,0,0,0,2,2,3,1,0,0,2,3,3.5,0,
2023-02-02,202302020DEN,GSW,Q1,Kevon Looney,https://www.basketball-reference.com/boxscores/202302020DEN.html,9.42,0,1,.000,0,0,,0,0,0,1,1,1,0,0,1,0,0,-0.7,+2,
2023-02-02,202302020DEN,GSW,Q1,Ty Jerome,https://www.basketball-reference.com/boxscores/202302020DEN.html,2.35,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,0,0,2,2.0,-2,
2023-02-02,202302020DEN,GSW,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202302020DEN.html,6.15,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,0,0,0,6,4.7,0,
2023-02-02,202302020DEN,GSW,Q1,JaMychal Green,https://www.basketball-reference.com/boxscores/202302020DEN.html,2.58,0,0,,0,0,,1,2,0,0,0,2,0,0,0,0,1,2.0,-1,.500
2023-02-02,202302020DEN,GSW,Q2,Stephen Curry,https://www.basketball-reference.com/boxscores/202302020DEN.html,5.93,2,4,.500,0,2,.000,2,2,0,1,1,0,0,0,1,1,6,2.9,-7,1.000
2023-02-02,202302020DEN,GSW,Q2,Jonathan Kuminga,https://www.basketball-reference.com/boxscores/202302020DEN.html,5.93,1,1,1.000,0,0,,0,0,0,1,1,2,0,0,0,0,2,3.4,-7,
2023-02-02,202302020DEN,GSW,Q2,Andrew Wiggins,https://www.basketball-reference.com/boxscores/202302020DEN.html,5.3,0,3,.000,0,0,,0,0,0,1,1,0,0,0,0,1,0,-2.2,-4,
2023-02-02,202302020DEN,GSW,Q2,Jordan Poole,https://www.basketball-reference.com/boxscores/202302020DEN.html,6.07,3,4,.750,2,3,.667,1,2,0,1,1,2,0,0,1,0,9,7.7,+5,.500
2023-02-02,202302020DEN,GSW,Q2,Kevon Looney,https://www.basketball-reference.com/boxscores/202302020DEN.html,5.93,0,0,,0,0,,0,0,0,0,0,0,0,1,0,2,0,-0.1,-7,
2023-02-02,202302020DEN,GSW,Q2,Ty Jerome,https://www.basketball-reference.com/boxscores/202302020DEN.html,7.52,1,4,.250,1,3,.333,0,0,0,0,0,2,1,1,0,2,3,2.9,+8,
2023-02-02,202302020DEN,GSW,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202302020DEN.html,8.88,2,2,1.000,2,2,1.000,0,0,0,1,1,0,1,0,0,0,6,6.7,-2,
2023-02-02,202302020DEN,GSW,Q2,James Wiseman,https://www.basketball-reference.com/boxscores/202302020DEN.html,6.07,1,1,1.000,0,0,,1,1,0,1,1,0,0,0,0,1,3,2.6,+5,1.000
