game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-02-05,202302050NOP,SAC,Q1,Davion Mitchell,https://www.basketball-reference.com/boxscores/202302050NOP.html,8.37,2,3,.667,0,1,.000,1,1,1.000,1,0,1,0,0,0,0,0,5,4.4,-14
2023-02-05,202302050NOP,SAC,Q1,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202302050NOP.html,9.42,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,1,1,2,0.8,-11
2023-02-05,202302050NOP,SAC,Q1,Keegan Murray,https://www.basketball-reference.com/boxscores/202302050NOP.html,8.1,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-12
2023-02-05,202302050NOP,SAC,Q1,Harrison Barnes,https://www.basketball-reference.com/boxscores/202302050NOP.html,5.93,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-12
2023-02-05,202302050NOP,SAC,Q1,Kevin Huerter,https://www.basketball-reference.com/boxscores/202302050NOP.html,5.93,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-12
2023-02-05,202302050NOP,SAC,Q1,Malik Monk,https://www.basketball-reference.com/boxscores/202302050NOP.html,6.07,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4,4.1,+4
2023-02-05,202302050NOP,SAC,Q1,Matthew Dellavedova,https://www.basketball-reference.com/boxscores/202302050NOP.html,3.63,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,4.0,+6
2023-02-05,202302050NOP,SAC,Q1,Terence Davis,https://www.basketball-reference.com/boxscores/202302050NOP.html,6.07,3,5,.600,1,3,.333,0,0,,0,3,3,1,0,0,0,1,7,5.9,+4
2023-02-05,202302050NOP,SAC,Q1,Trey Lyles,https://www.basketball-reference.com/boxscores/202302050NOP.html,3.9,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,2.4,+4
2023-02-05,202302050NOP,SAC,Q1,Chimezie Metu,https://www.basketball-reference.com/boxscores/202302050NOP.html,2.58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3
2023-02-05,202302050NOP,SAC,Q2,Davion Mitchell,https://www.basketball-reference.com/boxscores/202302050NOP.html,7.07,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,0,0,0.3,-6
2023-02-05,202302050NOP,SAC,Q2,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202302050NOP.html,7.38,1,2,.500,0,0,,1,1,1.000,1,2,3,0,0,0,0,1,3,2.9,-9
2023-02-05,202302050NOP,SAC,Q2,Keegan Murray,https://www.basketball-reference.com/boxscores/202302050NOP.html,3.0,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
2023-02-05,202302050NOP,SAC,Q2,Harrison Barnes,https://www.basketball-reference.com/boxscores/202302050NOP.html,9.63,1,2,.500,0,1,.000,1,2,.500,1,0,1,0,0,1,0,1,3,2.6,-9
2023-02-05,202302050NOP,SAC,Q2,Kevin Huerter,https://www.basketball-reference.com/boxscores/202302050NOP.html,3.58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9
2023-02-05,202302050NOP,SAC,Q2,Malik Monk,https://www.basketball-reference.com/boxscores/202302050NOP.html,9.0,3,5,.600,0,1,.000,2,2,1.000,0,2,2,2,0,0,1,1,8,6.3,-1
2023-02-05,202302050NOP,SAC,Q2,Matthew Dellavedova,https://www.basketball-reference.com/boxscores/202302050NOP.html,4.93,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,1,0,2,1.7,-4
2023-02-05,202302050NOP,SAC,Q2,Terence Davis,https://www.basketball-reference.com/boxscores/202302050NOP.html,4.18,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,-3
2023-02-05,202302050NOP,SAC,Q2,Trey Lyles,https://www.basketball-reference.com/boxscores/202302050NOP.html,6.6,1,2,.500,1,1,1.000,2,2,1.000,0,2,2,0,0,0,1,0,5,3.6,+1
2023-02-05,202302050NOP,SAC,Q2,Chimezie Metu,https://www.basketball-reference.com/boxscores/202302050NOP.html,4.62,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,0,2,0,0,5,6.5,-1
2023-02-05,202302050NOP,SAC,Q3,Davion Mitchell,https://www.basketball-reference.com/boxscores/202302050NOP.html,5.25,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-3
2023-02-05,202302050NOP,SAC,Q3,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202302050NOP.html,10.67,3,4,.750,1,1,1.000,0,0,,0,3,3,2,0,0,1,0,7,6.7,-12
2023-02-05,202302050NOP,SAC,Q3,Keegan Murray,https://www.basketball-reference.com/boxscores/202302050NOP.html,2.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-8
2023-02-05,202302050NOP,SAC,Q3,Harrison Barnes,https://www.basketball-reference.com/boxscores/202302050NOP.html,7.73,0,0,,0,0,,4,4,1.000,0,1,1,1,0,0,0,2,4,4.2,-14
2023-02-05,202302050NOP,SAC,Q3,Kevin Huerter,https://www.basketball-reference.com/boxscores/202302050NOP.html,2.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
2023-02-05,202302050NOP,SAC,Q3,Malik Monk,https://www.basketball-reference.com/boxscores/202302050NOP.html,8.52,2,5,.400,0,3,.000,0,0,,0,1,1,0,1,0,1,1,4,1.2,-4
