game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-02-16,202302160MIN,WAS,Q1,Bradley Beal,https://www.basketball-reference.com/boxscores/202302160MIN.html,10.67,2,6,.333,0,1,.000,0,0,1,1,2,2,2,0,1,1,4,3.6,-13,
2023-02-16,202302160MIN,WAS,Q1,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202302160MIN.html,7.1,1,6,.167,1,3,.333,0,0,0,1,1,0,1,0,0,0,3,0.5,-17,
2023-02-16,202302160MIN,WAS,Q1,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202302160MIN.html,9.0,1,5,.200,0,0,,3,3,0,1,1,0,0,0,0,1,5,1.8,-16,1.000
2023-02-16,202302160MIN,WAS,Q1,Monte Morris,https://www.basketball-reference.com/boxscores/202302160MIN.html,7.58,1,3,.333,0,1,.000,1,1,0,1,1,1,0,0,0,0,3,2.3,-20,1.000
2023-02-16,202302160MIN,WAS,Q1,Daniel Gafford,https://www.basketball-reference.com/boxscores/202302160MIN.html,6.37,1,1,1.000,0,0,,0,0,0,1,1,1,0,0,0,2,2,1.9,-9,
2023-02-16,202302160MIN,WAS,Q1,Corey Kispert,https://www.basketball-reference.com/boxscores/202302160MIN.html,8.63,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,0,3,2.7,-5,
2023-02-16,202302160MIN,WAS,Q1,Delon Wright,https://www.basketball-reference.com/boxscores/202302160MIN.html,4.42,0,1,.000,0,1,.000,0,0,0,1,1,0,1,0,1,1,0,-0.8,+5,
2023-02-16,202302160MIN,WAS,Q1,Deni Avdija,https://www.basketball-reference.com/boxscores/202302160MIN.html,6.23,0,2,.000,0,0,,1,2,1,1,2,1,0,0,0,0,1,0.9,0,.500
2023-02-16,202302160MIN,WAS,Q2,Bradley Beal,https://www.basketball-reference.com/boxscores/202302160MIN.html,6.68,4,7,.571,2,2,1.000,0,0,0,2,2,0,1,0,1,0,10,7.3,+6,
2023-02-16,202302160MIN,WAS,Q2,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202302160MIN.html,7.58,1,6,.167,0,2,.000,0,0,1,1,2,0,0,0,0,0,2,-0.8,+5,
2023-02-16,202302160MIN,WAS,Q2,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202302160MIN.html,6.68,1,2,.500,0,1,.000,1,2,0,0,0,1,1,0,0,0,3,3.3,+6,.500
2023-02-16,202302160MIN,WAS,Q2,Monte Morris,https://www.basketball-reference.com/boxscores/202302160MIN.html,5.88,1,1,1.000,0,0,,0,0,0,3,3,2,0,0,1,1,2,2.6,+8,
2023-02-16,202302160MIN,WAS,Q2,Daniel Gafford,https://www.basketball-reference.com/boxscores/202302160MIN.html,5.32,1,1,1.000,0,0,,0,0,2,0,2,1,0,0,1,0,2,2.8,+1,
2023-02-16,202302160MIN,WAS,Q2,Corey Kispert,https://www.basketball-reference.com/boxscores/202302160MIN.html,10.17,3,4,.750,2,3,.667,1,1,0,1,1,0,0,0,0,0,9,7.7,+4,1.000
2023-02-16,202302160MIN,WAS,Q2,Delon Wright,https://www.basketball-reference.com/boxscores/202302160MIN.html,7.95,1,2,.500,0,0,,0,0,1,1,2,1,1,1,0,0,2,4.4,+2,
2023-02-16,202302160MIN,WAS,Q2,Deni Avdija,https://www.basketball-reference.com/boxscores/202302160MIN.html,4.42,0,3,.000,0,1,.000,0,0,1,0,1,1,0,0,0,0,0,-0.7,+2,
