game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct,fg3_pct
2023-02-28,202302280BRK,MIL,Q1,Jrue Holiday,https://www.basketball-reference.com/boxscores/202302280BRK.html,8.92,1,1,1.000,0,0,0,0,0,0,0,3,0,0,3,0,2,0.8,-15,,
2023-02-28,202302280BRK,MIL,Q1,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202302280BRK.html,7.3,2,4,.500,0,0,0,2,1,1,2,0,0,0,2,1,4,-0.2,-8,.000,
2023-02-28,202302280BRK,MIL,Q1,Brook Lopez,https://www.basketball-reference.com/boxscores/202302280BRK.html,8.92,2,5,.400,0,1,0,0,0,4,4,0,0,1,0,0,4,3.2,-15,,.000
2023-02-28,202302280BRK,MIL,Q1,Grayson Allen,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.47,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,2,2,0.9,-9,,
2023-02-28,202302280BRK,MIL,Q1,Pat Connaughton,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.1,1,1,1.000,1,1,0,0,0,1,1,0,0,0,0,1,3,2.6,-3,,1.000
2023-02-28,202302280BRK,MIL,Q1,Khris Middleton,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.25,1,5,.200,0,3,1,1,0,2,2,2,0,0,1,1,3,0.5,-3,1.000,.000
2023-02-28,202302280BRK,MIL,Q1,Jevon Carter,https://www.basketball-reference.com/boxscores/202302280BRK.html,3.08,1,1,1.000,0,0,0,0,0,0,0,0,1,0,0,1,2,2.3,+3,,
2023-02-28,202302280BRK,MIL,Q1,Joe Ingles,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.42,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0,-7,,
2023-02-28,202302280BRK,MIL,Q1,Bobby Portis,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.18,1,4,.250,0,0,0,1,1,1,2,1,0,0,0,0,2,0.9,-6,.000,
2023-02-28,202302280BRK,MIL,Q1,Jae Crowder,https://www.basketball-reference.com/boxscores/202302280BRK.html,3.08,0,1,.000,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,+3,,.000
2023-02-28,202302280BRK,MIL,Q1,MarJon Beauchamp,https://www.basketball-reference.com/boxscores/202302280BRK.html,0.27,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,
2023-02-28,202302280BRK,MIL,Q2,Jrue Holiday,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.52,2,5,.400,0,1,0,0,0,2,2,3,0,0,1,0,4,3.0,-3,,.000
2023-02-28,202302280BRK,MIL,Q2,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.85,5,9,.556,1,1,0,0,0,2,2,1,1,0,0,1,11,8.6,+5,,1.000
2023-02-28,202302280BRK,MIL,Q2,Brook Lopez,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.13,1,1,1.000,0,0,0,0,1,0,1,1,0,0,1,0,2,2.1,-3,,
2023-02-28,202302280BRK,MIL,Q2,Grayson Allen,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.07,0,1,.000,0,1,0,0,1,0,1,1,0,0,1,0,0,-0.3,-2,,.000
2023-02-28,202302280BRK,MIL,Q2,Pat Connaughton,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.87,0,1,.000,0,1,0,0,0,0,0,1,0,0,0,2,0,-0.8,+5,,.000
2023-02-28,202302280BRK,MIL,Q2,Khris Middleton,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.82,1,2,.500,1,1,0,0,0,1,1,2,2,0,2,0,3,3.7,+3,,1.000
2023-02-28,202302280BRK,MIL,Q2,Jevon Carter,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.48,2,2,1.000,2,2,0,0,0,1,1,0,0,0,0,0,6,5.7,+5,,1.000
2023-02-28,202302280BRK,MIL,Q2,Joe Ingles,https://www.basketball-reference.com/boxscores/202302280BRK.html,7.5,1,4,.250,1,3,0,0,0,0,0,0,2,0,0,1,3,2.2,-3,,.333
2023-02-28,202302280BRK,MIL,Q2,Bobby Portis,https://www.basketball-reference.com/boxscores/202302280BRK.html,4.27,0,0,,0,0,1,2,0,1,1,0,0,0,0,1,1,0.5,-2,.500,
2023-02-28,202302280BRK,MIL,Q2,Jae Crowder,https://www.basketball-reference.com/boxscores/202302280BRK.html,4.5,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3,+5,,
2023-02-28,202302280BRK,MIL,Q3,Jrue Holiday,https://www.basketball-reference.com/boxscores/202302280BRK.html,12.0,4,6,.667,0,1,0,0,0,1,1,1,0,0,0,1,8,6.0,+16,,.000
2023-02-28,202302280BRK,MIL,Q3,Giannis Antetokounmpo,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.93,5,7,.714,0,0,2,3,1,3,4,2,0,0,3,2,12,7.9,+5,.667,
2023-02-28,202302280BRK,MIL,Q3,Brook Lopez,https://www.basketball-reference.com/boxscores/202302280BRK.html,4.63,2,5,.400,1,2,0,0,2,1,3,0,0,0,0,1,5,3.6,+3,,.500
2023-02-28,202302280BRK,MIL,Q3,Grayson Allen,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.82,1,1,1.000,0,0,0,1,0,0,0,0,1,0,0,0,2,2.3,+5,.000,
2023-02-28,202302280BRK,MIL,Q3,Pat Connaughton,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.85,0,2,.000,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.7,+5,,.000
2023-02-28,202302280BRK,MIL,Q3,Khris Middleton,https://www.basketball-reference.com/boxscores/202302280BRK.html,5.18,3,3,1.000,0,0,0,1,0,0,0,0,0,0,0,0,6,4.7,+11,.000,
2023-02-28,202302280BRK,MIL,Q3,Jevon Carter,https://www.basketball-reference.com/boxscores/202302280BRK.html,2.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+7,,
2023-02-28,202302280BRK,MIL,Q3,Joe Ingles,https://www.basketball-reference.com/boxscores/202302280BRK.html,6.15,1,1,1.000,1,1,0,0,0,4,4,3,0,1,0,2,3,5.9,+11,,1.000
