game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-03-03,202303030CHI,PHO,Q1,Devin Booker,https://www.basketball-reference.com/boxscores/202303030CHI.html,12.0,5,8,.625,3,4,.750,3,4,.750,0,2,2,2,1,0,0,1,16,14.6,+11
2023-03-03,202303030CHI,PHO,Q1,Josh Okogie,https://www.basketball-reference.com/boxscores/202303030CHI.html,9.03,4,5,.800,3,4,.750,2,2,1.000,0,2,2,0,0,0,0,0,13,11.7,+8
2023-03-03,202303030CHI,PHO,Q1,Kevin Durant,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.45,2,3,.667,0,1,.000,1,2,.500,0,1,1,2,0,1,1,0,5,4.7,+8
2023-03-03,202303030CHI,PHO,Q1,Chris Paul,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.4,0,0,,0,0,,0,0,,1,0,1,4,1,0,0,0,0,4.5,+8
2023-03-03,202303030CHI,PHO,Q1,Deandre Ayton,https://www.basketball-reference.com/boxscores/202303030CHI.html,9.03,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,4,3.5,+8
2023-03-03,202303030CHI,PHO,Q1,Torrey Craig,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.55,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+3
2023-03-03,202303030CHI,PHO,Q1,Jock Landale,https://www.basketball-reference.com/boxscores/202303030CHI.html,2.97,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+3
2023-03-03,202303030CHI,PHO,Q1,Cameron Payne,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.6,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3
2023-03-03,202303030CHI,PHO,Q1,Damion Lee,https://www.basketball-reference.com/boxscores/202303030CHI.html,2.97,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3
2023-03-03,202303030CHI,PHO,Q2,Devin Booker,https://www.basketball-reference.com/boxscores/202303030CHI.html,6.77,1,6,.167,0,2,.000,0,0,,1,0,1,0,0,0,0,1,2,-1.5,-13
2023-03-03,202303030CHI,PHO,Q2,Josh Okogie,https://www.basketball-reference.com/boxscores/202303030CHI.html,8.45,1,3,.333,1,2,.500,2,2,1.000,1,0,1,0,0,0,1,1,5,2.6,-15
2023-03-03,202303030CHI,PHO,Q2,Kevin Durant,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.12,1,2,.500,0,0,,0,0,,0,2,2,1,1,0,1,1,2,1.9,0
2023-03-03,202303030CHI,PHO,Q2,Chris Paul,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.47,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,1,0,-1.5,-17
2023-03-03,202303030CHI,PHO,Q2,Deandre Ayton,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.47,1,1,1.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,3,3.3,-17
2023-03-03,202303030CHI,PHO,Q2,Torrey Craig,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.88,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-15
2023-03-03,202303030CHI,PHO,Q2,Jock Landale,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.53,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+2
2023-03-03,202303030CHI,PHO,Q2,Cameron Payne,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.53,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,-0.3,+2
2023-03-03,202303030CHI,PHO,Q2,Damion Lee,https://www.basketball-reference.com/boxscores/202303030CHI.html,3.55,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,0
2023-03-03,202303030CHI,PHO,Q2,Darius Bazley,https://www.basketball-reference.com/boxscores/202303030CHI.html,5.23,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,1,0,3,2,2.8,-2
2023-03-03,202303030CHI,PHO,Q3,Devin Booker,https://www.basketball-reference.com/boxscores/202303030CHI.html,12.0,5,9,.556,3,4,.750,1,1,1.000,1,1,2,4,0,0,0,0,14,13.5,+13
2023-03-03,202303030CHI,PHO,Q3,Josh Okogie,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.88,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,0,0,3,1.3,+11
2023-03-03,202303030CHI,PHO,Q3,Kevin Durant,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.93,3,4,.750,1,2,.500,0,0,,1,4,5,0,0,0,0,1,7,6.9,+11
2023-03-03,202303030CHI,PHO,Q3,Chris Paul,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.88,1,2,.500,0,1,.000,0,0,,0,2,2,4,0,0,0,0,2,4.4,+11
2023-03-03,202303030CHI,PHO,Q3,Deandre Ayton,https://www.basketball-reference.com/boxscores/202303030CHI.html,6.75,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,+11
2023-03-03,202303030CHI,PHO,Q3,Torrey Craig,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.07,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,1,0,0,0,0.7,+2
2023-03-03,202303030CHI,PHO,Q3,Jock Landale,https://www.basketball-reference.com/boxscores/202303030CHI.html,5.25,0,0,,0,0,,2,2,1.000,2,1,3,0,0,1,0,1,2,4.0,+2
2023-03-03,202303030CHI,PHO,Q3,Cameron Payne,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.12,2,5,.400,2,5,.400,0,0,,0,0,0,0,0,1,1,1,6,2.6,+2
2023-03-03,202303030CHI,PHO,Q3,Damion Lee,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.12,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+2
2023-03-03,202303030CHI,PHO,Q4,Devin Booker,https://www.basketball-reference.com/boxscores/202303030CHI.html,5.08,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,1,0,1,3,3.0,+12
2023-03-03,202303030CHI,PHO,Q4,Josh Okogie,https://www.basketball-reference.com/boxscores/202303030CHI.html,6.67,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,2.3,+11
2023-03-03,202303030CHI,PHO,Q4,Kevin Durant,https://www.basketball-reference.com/boxscores/202303030CHI.html,8.4,1,1,1.000,1,1,1.000,3,3,1.000,0,1,1,3,0,0,0,0,6,8.1,+5
2023-03-03,202303030CHI,PHO,Q4,Chris Paul,https://www.basketball-reference.com/boxscores/202303030CHI.html,6.67,3,4,.750,3,4,.750,0,0,,0,1,1,1,1,0,1,0,9,8.4,+11
2023-03-03,202303030CHI,PHO,Q4,Deandre Ayton,https://www.basketball-reference.com/boxscores/202303030CHI.html,4.18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+9
2023-03-03,202303030CHI,PHO,Q4,Torrey Craig,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.48,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,2,0,-0.5,+7
2023-03-03,202303030CHI,PHO,Q4,Jock Landale,https://www.basketball-reference.com/boxscores/202303030CHI.html,7.82,2,2,1.000,0,0,,0,0,,1,1,2,1,0,1,0,0,4,5.8,+3
2023-03-03,202303030CHI,PHO,Q4,Cameron Payne,https://www.basketball-reference.com/boxscores/202303030CHI.html,3.82,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,+1
2023-03-03,202303030CHI,PHO,Q4,Damion Lee,https://www.basketball-reference.com/boxscores/202303030CHI.html,5.33,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+1
2023-03-03,202303030CHI,PHO,Q4,Darius Bazley,https://www.basketball-reference.com/boxscores/202303030CHI.html,1.52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
2023-03-03,202303030CHI,PHO,Q4,Saben Lee,https://www.basketball-reference.com/boxscores/202303030CHI.html,1.52,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
2023-03-03,202303030CHI,PHO,Q4,Ish Wainright,https://www.basketball-reference.com/boxscores/202303030CHI.html,1.52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2023-03-03,202303030CHI,CHI,Q1,Zach LaVine,https://www.basketball-reference.com/boxscores/202303030CHI.html,9.38,1,4,.250,0,1,.000,3,3,1.000,0,0,0,3,0,0,0,1,5,4.3,-8
2023-03-03,202303030CHI,CHI,Q1,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202303030CHI.html,8.88,3,4,.750,0,0,,2,3,.667,0,0,0,2,0,0,0,1,8,7.0,-14
2023-03-03,202303030CHI,CHI,Q1,Nikola Vučević,https://www.basketball-reference.com/boxscores/202303030CHI.html,9.03,4,5,.800,1,1,1.000,0,0,,0,2,2,0,0,0,2,1,9,5.3,-8
2023-03-03,202303030CHI,CHI,Q1,Patrick Beverley,https://www.basketball-reference.com/boxscores/202303030CHI.html,9.03,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-8
