game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-03-13,202303130DAL,MEM,Q1,Dillon Brooks,https://www.basketball-reference.com/boxscores/202303130DAL.html,8.7,2,5,.400,1,2,.500,0,0,0,2,2,1,0,0,0,0,5,3.6,0,
2023-03-13,202303130DAL,MEM,Q1,Tyus Jones,https://www.basketball-reference.com/boxscores/202303130DAL.html,10.42,4,6,.667,1,2,.500,0,0,0,0,0,2,0,0,0,0,9,7.8,-2,
2023-03-13,202303130DAL,MEM,Q1,Desmond Bane,https://www.basketball-reference.com/boxscores/202303130DAL.html,8.37,1,2,.500,0,1,.000,1,1,0,0,0,2,0,0,2,1,3,1.0,+3,1.000
2023-03-13,202303130DAL,MEM,Q1,Xavier Tillman Sr.,https://www.basketball-reference.com/boxscores/202303130DAL.html,9.73,2,3,.667,0,0,,0,0,0,1,1,0,1,0,0,1,4,3.6,-1,
2023-03-13,202303130DAL,MEM,Q1,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202303130DAL.html,4.58,1,1,1.000,1,1,1.000,0,0,0,1,1,0,1,0,1,2,3,2.2,-1,
2023-03-13,202303130DAL,MEM,Q1,David Roddy,https://www.basketball-reference.com/boxscores/202303130DAL.html,2.27,1,1,1.000,1,1,1.000,0,0,0,1,1,0,0,0,0,0,3,3.0,+5,
2023-03-13,202303130DAL,MEM,Q1,John Konchar,https://www.basketball-reference.com/boxscores/202303130DAL.html,5.22,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0,-0.7,+7,
2023-03-13,202303130DAL,MEM,Q1,Santi Aldama,https://www.basketball-reference.com/boxscores/202303130DAL.html,7.42,1,1,1.000,0,0,,0,0,0,4,4,3,0,0,1,1,2,3.6,+5,
2023-03-13,202303130DAL,MEM,Q1,Luke Kennard,https://www.basketball-reference.com/boxscores/202303130DAL.html,3.3,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,0,0,-0.4,+4,
2023-03-13,202303130DAL,MEM,Q2,Dillon Brooks,https://www.basketball-reference.com/boxscores/202303130DAL.html,7.03,0,3,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,-2.5,-4,
2023-03-13,202303130DAL,MEM,Q2,Tyus Jones,https://www.basketball-reference.com/boxscores/202303130DAL.html,6.65,1,3,.333,0,1,.000,0,0,0,1,1,0,0,0,0,0,2,0.6,-4,
