game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-03-18,202303180LAC,ORL,Q1,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303180LAC.html,12.0,2,4,.500,0,1,.000,1,4,.250,0,2,2,2,0,1,0,1,5,4.1,+1
2023-03-18,202303180LAC,ORL,Q1,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303180LAC.html,12.0,2,5,.400,1,1,1.000,2,2,1.000,0,1,1,3,4,0,1,0,7,9.7,+1
2023-03-18,202303180LAC,ORL,Q1,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,3,6,.500,1,1,1.000,0,0,,1,5,6,0,0,0,1,0,7,5.2,+9
2023-03-18,202303180LAC,ORL,Q1,Franz Wagner,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,1,2,.500,0,0,,4,4,1.000,0,1,1,2,1,0,1,2,6,5.9,+9
2023-03-18,202303180LAC,ORL,Q1,Gary Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,1,0,0,6,6.4,+9
2023-03-18,202303180LAC,ORL,Q1,Cole Anthony,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
2023-03-18,202303180LAC,ORL,Q1,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.95,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-8
2023-03-18,202303180LAC,ORL,Q1,Goga Bitadze,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.95,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
2023-03-18,202303180LAC,ORL,Q2,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303180LAC.html,6.77,0,0,,0,0,,2,2,1.000,0,0,0,1,1,0,3,0,2,0.7,-4
2023-03-18,202303180LAC,ORL,Q2,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303180LAC.html,6.77,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,1,0,2,0.0,-4
2023-03-18,202303180LAC,ORL,Q2,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303180LAC.html,7.15,2,3,.667,0,1,.000,1,1,1.000,0,3,3,0,2,1,1,2,5,5.5,-4
2023-03-18,202303180LAC,ORL,Q2,Franz Wagner,https://www.basketball-reference.com/boxscores/202303180LAC.html,8.27,3,5,.600,0,2,.000,0,0,,0,0,0,1,0,0,1,0,6,3.4,+4
2023-03-18,202303180LAC,ORL,Q2,Gary Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,5.72,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
2023-03-18,202303180LAC,ORL,Q2,Cole Anthony,https://www.basketball-reference.com/boxscores/202303180LAC.html,10.02,4,5,.800,1,1,1.000,2,2,1.000,1,2,3,1,1,0,0,1,11,11.7,+2
2023-03-18,202303180LAC,ORL,Q2,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303180LAC.html,5.23,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+5
2023-03-18,202303180LAC,ORL,Q2,Goga Bitadze,https://www.basketball-reference.com/boxscores/202303180LAC.html,4.85,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,2,0,1.2,+5
2023-03-18,202303180LAC,ORL,Q2,Bol Bol,https://www.basketball-reference.com/boxscores/202303180LAC.html,5.23,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,2,2,0,-1.8,+5
2023-03-18,202303180LAC,ORL,Q3,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303180LAC.html,10.33,2,6,.333,0,1,.000,1,3,.333,1,2,3,1,0,0,0,0,5,2.8,-3
2023-03-18,202303180LAC,ORL,Q3,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303180LAC.html,11.05,3,5,.600,0,0,,1,2,.500,0,2,2,0,0,1,0,2,7,4.8,-5
2023-03-18,202303180LAC,ORL,Q3,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303180LAC.html,7.32,1,3,.333,1,3,.333,0,0,,0,1,1,0,1,0,1,0,3,1.6,-3
2023-03-18,202303180LAC,ORL,Q3,Franz Wagner,https://www.basketball-reference.com/boxscores/202303180LAC.html,8.98,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.2,-10
2023-03-18,202303180LAC,ORL,Q3,Gary Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-6
2023-03-18,202303180LAC,ORL,Q3,Cole Anthony,https://www.basketball-reference.com/boxscores/202303180LAC.html,4.68,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-7
2023-03-18,202303180LAC,ORL,Q3,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.95,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
2023-03-18,202303180LAC,ORL,Q3,Goga Bitadze,https://www.basketball-reference.com/boxscores/202303180LAC.html,4.68,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,-7
2023-03-18,202303180LAC,ORL,Q3,Kevon Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,0.95,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
2023-03-18,202303180LAC,ORL,Q4,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303180LAC.html,7.3,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,0.0,+7
2023-03-18,202303180LAC,ORL,Q4,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303180LAC.html,4.73,4,4,1.000,0,0,,4,4,1.000,1,1,2,1,0,0,0,0,12,12.5,+3
2023-03-18,202303180LAC,ORL,Q4,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.4,5,7,.714,2,3,.667,0,0,,1,1,2,2,0,1,0,0,12,12.2,+11
2023-03-18,202303180LAC,ORL,Q4,Franz Wagner,https://www.basketball-reference.com/boxscores/202303180LAC.html,6.52,2,4,.500,2,4,.500,0,0,,0,1,1,1,0,0,1,0,6,4.0,+6
2023-03-18,202303180LAC,ORL,Q4,Gary Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,6.15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+7
2023-03-18,202303180LAC,ORL,Q4,Cole Anthony,https://www.basketball-reference.com/boxscores/202303180LAC.html,11.33,3,7,.429,0,2,.000,1,1,1.000,1,4,5,1,0,0,0,0,7,5.9,+13
2023-03-18,202303180LAC,ORL,Q4,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303180LAC.html,4.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+6
2023-03-18,202303180LAC,ORL,Q4,Goga Bitadze,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.6,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+2
2023-03-18,202303180LAC,ORL,Q4,Kevon Harris,https://www.basketball-reference.com/boxscores/202303180LAC.html,7.27,1,1,1.000,0,0,,0,0,,1,1,2,0,2,0,0,2,2,3.9,+10
2023-03-18,202303180LAC,LAC,Q1,Russell Westbrook,https://www.basketball-reference.com/boxscores/202303180LAC.html,12.0,4,6,.667,0,0,,3,3,1.000,1,2,3,3,0,0,1,0,11,10.8,-1
2023-03-18,202303180LAC,LAC,Q1,Paul George,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,2,3,.667,1,1,1.000,0,0,,0,0,0,1,1,0,3,2,5,1.6,-9
2023-03-18,202303180LAC,LAC,Q1,Marcus Morris,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.05,1,2,.500,0,0,,0,1,.000,0,1,1,0,0,0,0,2,2,0.1,-9
2023-03-18,202303180LAC,LAC,Q1,Eric Gordon,https://www.basketball-reference.com/boxscores/202303180LAC.html,9.63,0,5,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,1,0,-4.2,-9
2023-03-18,202303180LAC,LAC,Q1,Ivica Zubac,https://www.basketball-reference.com/boxscores/202303180LAC.html,7.0,2,7,.286,0,0,,0,0,,2,3,5,0,0,0,0,0,4,2.2,-7
2023-03-18,202303180LAC,LAC,Q1,Robert Covington,https://www.basketball-reference.com/boxscores/202303180LAC.html,2.37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+8
2023-03-18,202303180LAC,LAC,Q1,Mason Plumlee,https://www.basketball-reference.com/boxscores/202303180LAC.html,5.0,1,1,1.000,0,0,,1,2,.500,1,4,5,1,0,0,0,1,3,4.5,+6
