game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-03-20,202303200CHO,IND,Q1,Buddy Hield,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.3,1,1,1.000,1,1,1.000,0,1,.000,0,2,2,0,0,0,0,0,3,2.9,+12
2023-03-20,202303200CHO,IND,Q1,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.12,3,4,.750,1,1,1.000,0,0,,0,0,0,0,0,0,2,0,7,3.4,+10
2023-03-20,202303200CHO,IND,Q1,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.23,1,1,1.000,0,0,,0,0,,0,0,0,4,0,0,0,1,2,4.1,+8
2023-03-20,202303200CHO,IND,Q1,Myles Turner,https://www.basketball-reference.com/boxscores/202303200CHO.html,7.88,3,3,1.000,0,0,,9,9,1.000,0,2,2,0,0,0,0,0,15,14.7,+9
2023-03-20,202303200CHO,IND,Q1,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.23,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,1,1,1,2,2.3,+8
2023-03-20,202303200CHO,IND,Q1,T.J. McConnell,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.77,0,0,,0,0,,1,2,.500,0,1,1,3,1,0,2,1,1,1.6,+10
2023-03-20,202303200CHO,IND,Q1,Jordan Nwora,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.77,0,1,.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,1,0.5,+10
2023-03-20,202303200CHO,IND,Q1,Oshae Brissett,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.7,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,+6
2023-03-20,202303200CHO,IND,Q1,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202303200CHO.html,4.12,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,0,0,0,1.3,+9
2023-03-20,202303200CHO,IND,Q1,Jalen Smith,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.88,1,1,1.000,0,0,,2,2,1.000,0,2,2,1,0,1,0,0,4,5.7,+8
2023-03-20,202303200CHO,IND,Q2,Buddy Hield,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.05,3,6,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,7,3.6,-8
2023-03-20,202303200CHO,IND,Q2,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.05,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,1,1,2,0.9,-8
2023-03-20,202303200CHO,IND,Q2,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202303200CHO.html,7.23,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-11
2023-03-20,202303200CHO,IND,Q2,Myles Turner,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.05,0,1,.000,0,0,,1,2,.500,0,2,2,2,0,0,2,1,1,-0.5,-8
2023-03-20,202303200CHO,IND,Q2,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202303200CHO.html,2.8,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-8
2023-03-20,202303200CHO,IND,Q2,T.J. McConnell,https://www.basketball-reference.com/boxscores/202303200CHO.html,4.77,0,2,.000,0,0,,0,0,,0,1,1,1,1,0,-1,1,0,1.2,+1
2023-03-20,202303200CHO,IND,Q2,Jordan Nwora,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.3,1,3,.333,1,2,.500,0,0,,1,1,2,1,0,1,1,2,3,1.9,-2
2023-03-20,202303200CHO,IND,Q2,Oshae Brissett,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.85,0,1,.000,0,0,,3,4,.750,0,1,1,0,0,0,2,0,3,0.2,-2
2023-03-20,202303200CHO,IND,Q2,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.95,3,3,1.000,0,0,,2,4,.500,4,0,4,0,0,1,0,1,8,9.4,-2
2023-03-20,202303200CHO,IND,Q2,Jalen Smith,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.95,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-2
2023-03-20,202303200CHO,IND,Q3,Buddy Hield,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.0,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,2,0,2,-2.8,-5
2023-03-20,202303200CHO,IND,Q3,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202303200CHO.html,10.35,3,3,1.000,0,0,,1,2,.500,0,1,1,2,0,0,0,0,7,7.4,-8
2023-03-20,202303200CHO,IND,Q3,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202303200CHO.html,10.45,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-8
2023-03-20,202303200CHO,IND,Q3,Myles Turner,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.17,2,4,.500,0,1,.000,0,0,,0,1,1,3,0,0,0,1,4,4.0,-10
2023-03-20,202303200CHO,IND,Q3,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202303200CHO.html,1.87,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
2023-03-20,202303200CHO,IND,Q3,T.J. McConnell,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.65,2,4,.500,1,2,.500,0,0,,1,1,2,1,0,0,1,0,5,3.7,+3
2023-03-20,202303200CHO,IND,Q3,Jordan Nwora,https://www.basketball-reference.com/boxscores/202303200CHO.html,0.15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
2023-03-20,202303200CHO,IND,Q3,Oshae Brissett,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.98,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.9,-4
2023-03-20,202303200CHO,IND,Q3,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202303200CHO.html,2.83,2,2,1.000,0,0,,0,0,,2,1,3,0,0,0,1,2,4,3.3,+5
2023-03-20,202303200CHO,IND,Q3,Jalen Smith,https://www.basketball-reference.com/boxscores/202303200CHO.html,1.55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3
2023-03-20,202303200CHO,IND,Q4,Buddy Hield,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.8,2,6,.333,2,6,.333,2,2,1.000,0,1,1,1,0,0,0,1,8,5.2,+2
2023-03-20,202303200CHO,IND,Q4,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.73,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,1.6,-15
2023-03-20,202303200CHO,IND,Q4,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.02,0,4,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-4.3,-12
2023-03-20,202303200CHO,IND,Q4,Myles Turner,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.02,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-12
2023-03-20,202303200CHO,IND,Q4,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.62,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,1,2,0.6,-5
2023-03-20,202303200CHO,IND,Q4,T.J. McConnell,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.98,0,3,.000,0,0,,2,2,1.000,0,0,0,3,0,0,0,0,2,2.0,+3
2023-03-20,202303200CHO,IND,Q4,Jordan Nwora,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.38,1,2,.500,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,3,2.9,-4
2023-03-20,202303200CHO,IND,Q4,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.98,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0,1.0,+3
2023-03-20,202303200CHO,IND,Q4,Jalen Smith,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.47,2,3,.667,0,1,.000,0,0,,2,1,3,0,0,0,0,1,4,4.0,-5
2023-03-20,202303200CHO,CHO,Q1,Terry Rozier,https://www.basketball-reference.com/boxscores/202303200CHO.html,10.93,1,4,.250,0,0,,2,2,1.000,0,0,0,2,0,0,1,0,4,2.0,-15
2023-03-20,202303200CHO,CHO,Q1,P.J. Washington,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.48,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.2,-8
2023-03-20,202303200CHO,CHO,Q1,Gordon Hayward,https://www.basketball-reference.com/boxscores/202303200CHO.html,7.88,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,1,1,4,0.6,-9
2023-03-20,202303200CHO,CHO,Q1,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.42,3,5,.600,1,2,.500,0,0,,0,0,0,0,1,0,0,2,7,4.9,-5
2023-03-20,202303200CHO,CHO,Q1,Nick Richards,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.3,2,5,.400,0,0,,0,0,,4,2,6,0,0,0,0,2,4,3.9,-12
2023-03-20,202303200CHO,CHO,Q1,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.58,0,4,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,0,0,-1.8,-13
2023-03-20,202303200CHO,CHO,Q1,Kai Jones,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.7,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,-6
2023-03-20,202303200CHO,CHO,Q1,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202303200CHO.html,4.12,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,-1.1,-9
2023-03-20,202303200CHO,CHO,Q1,JT Thor,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-10
2023-03-20,202303200CHO,CHO,Q1,Bryce McGowens,https://www.basketball-reference.com/boxscores/202303200CHO.html,1.07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2023-03-20,202303200CHO,CHO,Q2,Terry Rozier,https://www.basketball-reference.com/boxscores/202303200CHO.html,7.23,2,4,.500,0,1,.000,5,5,1.000,0,0,0,2,1,0,1,0,9,8.4,+11
2023-03-20,202303200CHO,CHO,Q2,P.J. Washington,https://www.basketball-reference.com/boxscores/202303200CHO.html,12.0,1,1,1.000,0,0,,0,2,.000,0,2,2,1,1,1,1,0,2,2.9,+10
2023-03-20,202303200CHO,CHO,Q2,Gordon Hayward,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.37,3,4,.750,0,0,,1,1,1.000,0,0,0,1,1,0,0,0,7,7.1,+13
2023-03-20,202303200CHO,CHO,Q2,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.78,4,6,.667,0,2,.000,4,5,.800,0,0,0,0,1,0,1,0,12,9.0,+5
2023-03-20,202303200CHO,CHO,Q2,Nick Richards,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.7,0,0,,0,0,,2,2,1.000,0,2,2,1,0,1,0,1,2,3.6,+3
2023-03-20,202303200CHO,CHO,Q2,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.98,0,2,.000,0,0,,0,0,,0,1,1,4,1,0,0,0,0,2.7,+4
2023-03-20,202303200CHO,CHO,Q2,Kai Jones,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.63,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,-3
2023-03-20,202303200CHO,CHO,Q2,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202303200CHO.html,2.35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
2023-03-20,202303200CHO,CHO,Q2,JT Thor,https://www.basketball-reference.com/boxscores/202303200CHO.html,2.35,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,0,2,1.7,+5
2023-03-20,202303200CHO,CHO,Q2,Bryce McGowens,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.6,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-0.8,-2
2023-03-20,202303200CHO,CHO,Q3,Terry Rozier,https://www.basketball-reference.com/boxscores/202303200CHO.html,10.27,3,7,.429,1,2,.500,0,0,,0,0,0,1,1,0,0,1,7,4.6,+8
2023-03-20,202303200CHO,CHO,Q3,P.J. Washington,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.08,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,1,0.6,+5
2023-03-20,202303200CHO,CHO,Q3,Gordon Hayward,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.17,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,0,0,2,3.0,+10
2023-03-20,202303200CHO,CHO,Q3,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.18,2,5,.400,1,2,.500,1,2,.500,0,0,0,0,1,0,0,0,6,3.9,+3
2023-03-20,202303200CHO,CHO,Q3,Nick Richards,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.17,3,3,1.000,0,0,,2,2,1.000,2,2,4,0,0,0,0,0,8,9.1,+10
2023-03-20,202303200CHO,CHO,Q3,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.65,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-3
2023-03-20,202303200CHO,CHO,Q3,Kai Jones,https://www.basketball-reference.com/boxscores/202303200CHO.html,2.83,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-5
2023-03-20,202303200CHO,CHO,Q3,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202303200CHO.html,1.73,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2023-03-20,202303200CHO,CHO,Q3,JT Thor,https://www.basketball-reference.com/boxscores/202303200CHO.html,3.92,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,0
2023-03-20,202303200CHO,CHO,Q4,Terry Rozier,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.12,1,4,.250,1,3,.333,0,0,,0,1,1,4,0,0,0,0,3,3.7,+12
2023-03-20,202303200CHO,CHO,Q4,P.J. Washington,https://www.basketball-reference.com/boxscores/202303200CHO.html,9.62,2,5,.400,0,3,.000,0,0,,0,0,0,1,1,0,0,2,4,2.2,+12
2023-03-20,202303200CHO,CHO,Q4,Gordon Hayward,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.12,2,4,.500,1,2,.500,4,5,.800,0,1,1,1,0,0,0,0,9,7.6,+12
2023-03-20,202303200CHO,CHO,Q4,Kelly Oubre Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,8.9,1,1,1.000,1,1,1.000,0,2,.000,0,3,3,0,1,0,2,0,3,1.8,+9
2023-03-20,202303200CHO,CHO,Q4,Nick Richards,https://www.basketball-reference.com/boxscores/202303200CHO.html,5.25,0,0,,0,0,,0,0,,0,5,5,0,0,1,0,0,0,2.2,+17
2023-03-20,202303200CHO,CHO,Q4,Dennis Smith Jr.,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.75,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,0,1,2,2.3,-8
2023-03-20,202303200CHO,CHO,Q4,Kai Jones,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-6
2023-03-20,202303200CHO,CHO,Q4,Svi Mykhailiuk,https://www.basketball-reference.com/boxscores/202303200CHO.html,6.98,2,2,1.000,2,2,1.000,1,2,.500,1,0,1,2,0,0,0,1,7,7.7,-3
