game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2023-04-04,202304040BRK,MIN,Q1,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202304040BRK.html,8.93,3,4,.750,1,1,1.000,0,1,.000,0,0,0,0,1,0,0,0,7,6.0,-1
2023-04-04,202304040BRK,MIN,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202304040BRK.html,6.95,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,2,4,3.9,+1
2023-04-04,202304040BRK,MIN,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202304040BRK.html,6.95,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,4.3,+1
2023-04-04,202304040BRK,MIN,Q1,Anthony Edwards,https://www.basketball-reference.com/boxscores/202304040BRK.html,11.57,2,4,.500,0,1,.000,1,1,1.000,0,1,1,2,0,1,1,0,5,4.4,+7
2023-04-04,202304040BRK,MIN,Q1,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202304040BRK.html,10.25,2,6,.333,1,3,.333,1,2,.500,1,7,8,4,0,0,1,2,6,6.0,+10
2023-04-04,202304040BRK,MIN,Q1,Kyle Anderson,https://www.basketball-reference.com/boxscores/202304040BRK.html,6.8,1,4,.250,0,1,.000,0,0,,1,0,1,2,0,0,0,0,2,1.7,+3
2023-04-04,202304040BRK,MIN,Q1,Taurean Prince,https://www.basketball-reference.com/boxscores/202304040BRK.html,3.48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+8
2023-04-04,202304040BRK,MIN,Q1,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202304040BRK.html,5.05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+6
2023-04-04,202304040BRK,MIN,Q2,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202304040BRK.html,10.88,0,4,.000,0,2,.000,0,0,,0,1,1,0,2,1,0,0,0,0.2,-11
2023-04-04,202304040BRK,MIN,Q2,Rudy Gobert,https://www.basketball-reference.com/boxscores/202304040BRK.html,12.0,2,2,1.000,0,0,,0,0,,3,2,5,1,0,0,0,0,4,6.8,-10
