game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2023-05-04,202305040GSW,LAL,Q1,Anthony Davis,https://www.basketball-reference.com/boxscores/202305040GSW.html,12.0,1,4,.250,0,0,0,0,0,4,4,4,1,1,1,1,2,3.9,+7,,
2023-05-04,202305040GSW,LAL,Q1,LeBron James,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.53,6,8,.750,2,3,0,0,0,2,2,1,0,0,0,0,14,12.1,+5,.667,
2023-05-04,202305040GSW,LAL,Q1,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.03,2,5,.400,0,2,0,0,1,0,1,2,0,0,0,0,4,3.4,+2,.000,
2023-05-04,202305040GSW,LAL,Q1,Austin Reaves,https://www.basketball-reference.com/boxscores/202305040GSW.html,8.32,1,3,.333,0,0,0,0,0,1,1,1,0,0,0,1,2,0.9,+2,,
2023-05-04,202305040GSW,LAL,Q1,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202305040GSW.html,6.57,1,4,.250,1,1,0,0,2,1,3,0,0,0,0,0,3,2.3,0,1.000,
2023-05-04,202305040GSW,LAL,Q1,Rui Hachimura,https://www.basketball-reference.com/boxscores/202305040GSW.html,5.43,3,4,.750,2,2,0,0,0,2,2,0,0,0,0,0,8,7.0,+7,1.000,
2023-05-04,202305040GSW,LAL,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202305040GSW.html,5.43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+7,,
2023-05-04,202305040GSW,LAL,Q1,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202305040GSW.html,3.68,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,+5,,
2023-05-04,202305040GSW,LAL,Q2,Anthony Davis,https://www.basketball-reference.com/boxscores/202305040GSW.html,8.92,1,3,.333,0,0,0,0,1,0,1,0,0,0,2,2,2,-1.8,-10,,
2023-05-04,202305040GSW,LAL,Q2,LeBron James,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.58,3,5,.600,1,2,0,0,0,3,3,0,0,0,0,1,7,5.2,-17,.500,
2023-05-04,202305040GSW,LAL,Q2,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202305040GSW.html,8.77,1,3,.333,0,1,0,0,0,0,0,3,0,0,0,0,2,2.4,-10,.000,
2023-05-04,202305040GSW,LAL,Q2,Austin Reaves,https://www.basketball-reference.com/boxscores/202305040GSW.html,6.62,1,5,.200,0,3,0,0,0,1,1,0,0,0,2,0,2,-2.8,-13,.000,
2023-05-04,202305040GSW,LAL,Q2,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202305040GSW.html,6.22,0,0,,0,0,0,0,1,1,2,0,0,0,1,0,0,0.0,-3,,
2023-05-04,202305040GSW,LAL,Q2,Rui Hachimura,https://www.basketball-reference.com/boxscores/202305040GSW.html,8.57,2,4,.500,2,2,0,0,1,0,1,0,0,0,0,0,6,4.7,-16,1.000,
2023-05-04,202305040GSW,LAL,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202305040GSW.html,8.62,0,2,.000,0,1,4,4,1,1,2,1,1,0,1,1,4,3.9,-13,.000,1.000
2023-05-04,202305040GSW,LAL,Q2,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202305040GSW.html,2.72,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8,,
2023-05-04,202305040GSW,LAL,Q3,Anthony Davis,https://www.basketball-reference.com/boxscores/202305040GSW.html,12.0,3,4,.750,0,0,1,1,0,2,2,0,0,2,1,0,7,6.4,-19,,1.000
2023-05-04,202305040GSW,LAL,Q3,LeBron James,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.0,1,5,.200,0,3,0,0,0,2,2,2,1,0,0,2,2,1.1,-15,.000,
2023-05-04,202305040GSW,LAL,Q3,D'Angelo Russell,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.95,2,4,.500,0,0,0,0,0,0,0,3,1,0,0,1,4,4.7,-11,,
2023-05-04,202305040GSW,LAL,Q3,Austin Reaves,https://www.basketball-reference.com/boxscores/202305040GSW.html,9.95,1,3,.333,1,2,0,0,0,2,2,1,0,0,0,0,3,2.6,-11,.500,
2023-05-04,202305040GSW,LAL,Q3,Jarred Vanderbilt,https://www.basketball-reference.com/boxscores/202305040GSW.html,7.13,1,3,.333,0,1,1,2,1,0,1,1,0,0,0,0,3,2.3,-7,.000,.500
2023-05-04,202305040GSW,LAL,Q3,Rui Hachimura,https://www.basketball-reference.com/boxscores/202305040GSW.html,5.05,2,4,.500,0,1,1,2,0,0,0,0,0,0,1,1,5,1.2,-12,.000,.500
2023-05-04,202305040GSW,LAL,Q3,Dennis Schröder,https://www.basketball-reference.com/boxscores/202305040GSW.html,4.87,0,1,.000,0,0,0,0,0,1,1,1,1,0,0,2,0,0.5,-12,,
2023-05-04,202305040GSW,LAL,Q3,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202305040GSW.html,2.05,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8,,
2023-05-04,202305040GSW,LAL,Q4,Rui Hachimura,https://www.basketball-reference.com/boxscores/202305040GSW.html,3.27,1,2,.500,0,1,0,0,0,2,2,0,1,0,0,0,2,2.6,+4,.000,
