game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2023-11-11,202311110BOS,TOR,Q1,Scottie Barnes,https://www.basketball-reference.com/boxscores/202311110BOS.html,9.47,2,8,.250,1,5,.200,0,0,1,2,3,1,1,0,0,0,5,3.2,-7,
2023-11-11,202311110BOS,TOR,Q1,Pascal Siakam,https://www.basketball-reference.com/boxscores/202311110BOS.html,10.1,3,7,.429,0,1,.000,4,4,1,2,3,1,1,0,0,0,10,9.3,0,1.000
2023-11-11,202311110BOS,TOR,Q1,OG Anunoby,https://www.basketball-reference.com/boxscores/202311110BOS.html,8.68,1,2,.500,0,0,,0,0,0,2,2,1,0,0,0,0,2,2.3,+2,
2023-11-11,202311110BOS,TOR,Q1,Dennis Schröder,https://www.basketball-reference.com/boxscores/202311110BOS.html,8.28,0,2,.000,0,1,.000,3,3,0,0,0,2,0,0,1,2,3,1.2,+3,1.000
2023-11-11,202311110BOS,TOR,Q1,Jakob Poeltl,https://www.basketball-reference.com/boxscores/202311110BOS.html,8.68,3,4,.750,0,0,,0,0,0,0,0,1,0,0,0,1,6,4.7,+2,
2023-11-11,202311110BOS,TOR,Q1,Malachi Flynn,https://www.basketball-reference.com/boxscores/202311110BOS.html,3.72,0,1,.000,0,1,.000,0,0,0,1,1,0,0,0,0,0,0,-0.4,-7,
2023-11-11,202311110BOS,TOR,Q1,Chris Boucher,https://www.basketball-reference.com/boxscores/202311110BOS.html,1.9,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,-4,
2023-11-11,202311110BOS,TOR,Q1,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202311110BOS.html,3.32,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,1,0,-1.1,-6,
2023-11-11,202311110BOS,TOR,Q1,Otto Porter Jr.,https://www.basketball-reference.com/boxscores/202311110BOS.html,5.85,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-3,
2023-11-11,202311110BOS,TOR,Q2,Scottie Barnes,https://www.basketball-reference.com/boxscores/202311110BOS.html,8.08,1,3,.333,1,2,.500,0,0,0,1,1,2,0,0,0,0,3,3.0,-10,
2023-11-11,202311110BOS,TOR,Q2,Pascal Siakam,https://www.basketball-reference.com/boxscores/202311110BOS.html,6.85,1,3,.333,0,1,.000,1,2,0,1,1,1,1,0,2,0,3,0.9,+2,.500
2023-11-11,202311110BOS,TOR,Q2,OG Anunoby,https://www.basketball-reference.com/boxscores/202311110BOS.html,8.08,0,4,.000,0,4,.000,0,0,0,0,0,0,1,0,0,0,0,-1.8,-10,
2023-11-11,202311110BOS,TOR,Q2,Dennis Schröder,https://www.basketball-reference.com/boxscores/202311110BOS.html,5.03,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,3,2.3,+3,
