game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2024-01-18,202401180NYK,WAS,Q1,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202401180NYK.html,11.1,3,5,.600,0,0,0,2,.000,0,0,0,1,0,1,0,0,6,4.3,0,
2024-01-18,202401180NYK,WAS,Q1,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202401180NYK.html,10.42,2,3,.667,0,1,0,0,,0,0,0,0,0,1,1,1,4,2.0,-4,.000
2024-01-18,202401180NYK,WAS,Q1,Tyus Jones,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.37,0,2,.000,0,1,0,0,,0,0,0,2,0,0,0,0,0,0.0,-6,.000
2024-01-18,202401180NYK,WAS,Q1,Jordan Poole,https://www.basketball-reference.com/boxscores/202401180NYK.html,9.47,2,4,.500,0,2,0,0,,0,3,3,1,0,0,0,0,4,3.6,-6,.000
2024-01-18,202401180NYK,WAS,Q1,Deni Avdija,https://www.basketball-reference.com/boxscores/202401180NYK.html,7.75,2,5,.400,0,2,4,4,1.000,1,2,3,1,0,0,0,0,8,7.3,-4,.000
2024-01-18,202401180NYK,WAS,Q1,Corey Kispert,https://www.basketball-reference.com/boxscores/202401180NYK.html,2.53,0,0,,0,0,0,0,,0,3,3,0,0,0,0,0,0,0.9,+6,
2024-01-18,202401180NYK,WAS,Q1,Bilal Coulibaly,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.83,0,2,.000,0,2,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+8,.000
2024-01-18,202401180NYK,WAS,Q1,Delon Wright,https://www.basketball-reference.com/boxscores/202401180NYK.html,3.63,0,2,.000,0,0,0,0,,0,1,1,0,1,0,0,0,0,-0.1,+6,
2024-01-18,202401180NYK,WAS,Q1,Patrick Baldwin Jr.,https://www.basketball-reference.com/boxscores/202401180NYK.html,0.88,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,
2024-01-18,202401180NYK,WAS,Q2,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.82,0,1,.000,0,0,0,0,,0,1,1,0,2,0,0,1,0,1.2,-1,
2024-01-18,202401180NYK,WAS,Q2,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.82,2,4,.500,0,1,0,0,,0,1,1,1,0,0,1,0,4,2.0,-1,.000
2024-01-18,202401180NYK,WAS,Q2,Tyus Jones,https://www.basketball-reference.com/boxscores/202401180NYK.html,7.2,0,1,.000,0,0,0,0,,0,1,1,2,1,0,0,1,0,1.6,+1,
2024-01-18,202401180NYK,WAS,Q2,Jordan Poole,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.27,1,4,.250,1,1,0,0,,0,0,0,0,1,0,0,0,3,1.6,-1,1.000
2024-01-18,202401180NYK,WAS,Q2,Deni Avdija,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.18,0,2,.000,0,1,0,0,,0,2,2,0,0,0,2,1,0,-3.2,0,.000
2024-01-18,202401180NYK,WAS,Q2,Corey Kispert,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.83,3,4,.750,1,2,0,0,,0,1,1,0,0,0,0,0,7,5.7,+2,.500
2024-01-18,202401180NYK,WAS,Q2,Bilal Coulibaly,https://www.basketball-reference.com/boxscores/202401180NYK.html,3.17,0,0,,0,0,2,2,1.000,0,2,2,0,0,0,0,0,2,2.6,-3,
2024-01-18,202401180NYK,WAS,Q2,Landry Shamet,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.73,1,2,.500,0,1,0,0,,0,0,0,1,0,0,1,1,2,0.3,0,.000
2024-01-18,202401180NYK,WAS,Q2,Delon Wright,https://www.basketball-reference.com/boxscores/202401180NYK.html,4.8,1,1,1.000,1,1,2,2,1.000,0,1,1,0,0,0,0,1,5,4.6,-2,1.000
2024-01-18,202401180NYK,WAS,Q2,Patrick Baldwin Jr.,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.18,0,0,,0,0,0,0,,0,3,3,2,0,0,1,1,0,0.9,0,
2024-01-18,202401180NYK,WAS,Q3,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,3,3,1.000,0,0,0,3,.000,3,3,6,0,0,2,3,2,6,4.5,0,
2024-01-18,202401180NYK,WAS,Q3,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202401180NYK.html,11.17,3,6,.500,1,3,0,0,,0,4,4,2,2,0,1,1,7,7.2,0,.333
2024-01-18,202401180NYK,WAS,Q3,Tyus Jones,https://www.basketball-reference.com/boxscores/202401180NYK.html,11.17,1,3,.333,0,2,0,0,,0,3,3,5,1,0,1,0,2,4.7,0,.000
2024-01-18,202401180NYK,WAS,Q3,Jordan Poole,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.22,2,6,.333,1,4,1,1,1.000,0,0,0,0,0,0,0,1,6,2.2,-4,.250
2024-01-18,202401180NYK,WAS,Q3,Deni Avdija,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.75,1,3,.333,0,0,1,1,1.000,1,1,2,0,0,0,0,0,3,2.3,-5,
2024-01-18,202401180NYK,WAS,Q3,Corey Kispert,https://www.basketball-reference.com/boxscores/202401180NYK.html,3.78,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,
2024-01-18,202401180NYK,WAS,Q3,Bilal Coulibaly,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.07,1,1,1.000,1,1,0,0,,0,0,0,1,0,0,0,2,3,2.6,+5,1.000
2024-01-18,202401180NYK,WAS,Q3,Delon Wright,https://www.basketball-reference.com/boxscores/202401180NYK.html,0.82,0,1,.000,0,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,
2024-01-18,202401180NYK,WAS,Q4,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202401180NYK.html,9.2,4,7,.571,0,0,0,0,,3,1,4,1,0,0,0,0,8,7.8,+3,
2024-01-18,202401180NYK,WAS,Q4,Kyle Kuzma,https://www.basketball-reference.com/boxscores/202401180NYK.html,10.08,0,3,.000,0,0,0,0,,0,1,1,2,0,0,0,0,0,-0.4,+3,
2024-01-18,202401180NYK,WAS,Q4,Tyus Jones,https://www.basketball-reference.com/boxscores/202401180NYK.html,10.08,0,0,,0,0,0,0,,0,0,0,6,1,0,0,1,0,4.8,+3,
2024-01-18,202401180NYK,WAS,Q4,Jordan Poole,https://www.basketball-reference.com/boxscores/202401180NYK.html,10.08,2,5,.400,0,2,7,7,1.000,0,1,1,1,0,0,0,0,11,9.3,+3,.000
2024-01-18,202401180NYK,WAS,Q4,Deni Avdija,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.52,2,3,.667,0,0,0,0,,0,1,1,0,0,0,0,5,4,1.0,-7,
2024-01-18,202401180NYK,WAS,Q4,Corey Kispert,https://www.basketball-reference.com/boxscores/202401180NYK.html,1.92,1,1,1.000,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,-6,1.000
2024-01-18,202401180NYK,WAS,Q4,Bilal Coulibaly,https://www.basketball-reference.com/boxscores/202401180NYK.html,1.92,0,1,.000,0,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6,
2024-01-18,202401180NYK,WAS,Q4,Landry Shamet,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.27,4,4,1.000,3,3,0,0,,1,0,1,0,0,0,1,4,11,7.9,-2,1.000
2024-01-18,202401180NYK,WAS,Q4,Delon Wright,https://www.basketball-reference.com/boxscores/202401180NYK.html,1.92,0,1,.000,0,0,0,0,,0,0,0,1,0,0,0,0,0,0.0,-6,
2024-01-18,202401180NYK,NYK,Q1,OG Anunoby,https://www.basketball-reference.com/boxscores/202401180NYK.html,10.42,0,1,.000,0,0,2,2,1.000,0,1,1,1,0,2,1,1,2,2.3,+4,
2024-01-18,202401180NYK,NYK,Q1,Jalen Brunson,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.37,2,4,.500,0,0,0,0,,0,3,3,2,0,0,0,0,4,4.3,+6,
2024-01-18,202401180NYK,NYK,Q1,Julius Randle,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,5,9,.556,2,5,0,0,,0,2,2,0,0,0,3,0,12,5.3,0,.400
2024-01-18,202401180NYK,NYK,Q1,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202401180NYK.html,11.1,1,2,.500,0,0,0,0,,1,4,5,1,1,0,0,1,2,4.2,0,
2024-01-18,202401180NYK,NYK,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202401180NYK.html,7.23,1,2,.500,0,1,0,0,,0,1,1,1,0,0,1,1,2,0.6,+8,.000
2024-01-18,202401180NYK,NYK,Q1,Quentin Grimes,https://www.basketball-reference.com/boxscores/202401180NYK.html,4.77,0,2,.000,0,2,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-8,.000
2024-01-18,202401180NYK,NYK,Q1,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202401180NYK.html,0.88,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,
2024-01-18,202401180NYK,NYK,Q1,Miles McBride,https://www.basketball-reference.com/boxscores/202401180NYK.html,3.63,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,
2024-01-18,202401180NYK,NYK,Q1,Evan Fournier,https://www.basketball-reference.com/boxscores/202401180NYK.html,1.58,0,2,.000,0,2,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4,.000
2024-01-18,202401180NYK,NYK,Q2,OG Anunoby,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,1,2,.500,0,1,0,0,,0,3,3,0,0,0,0,1,2,1.5,+1,.000
2024-01-18,202401180NYK,NYK,Q2,Jalen Brunson,https://www.basketball-reference.com/boxscores/202401180NYK.html,7.98,4,8,.500,1,3,3,3,1.000,0,1,1,1,1,0,2,1,12,7.6,+1,.333
2024-01-18,202401180NYK,NYK,Q2,Julius Randle,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.82,0,2,.000,0,2,0,0,,0,1,1,2,0,0,0,0,0,0.3,+1,.000
2024-01-18,202401180NYK,NYK,Q2,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202401180NYK.html,6.82,1,2,.500,0,0,0,0,,2,3,5,0,0,0,1,0,2,2.3,+1,
2024-01-18,202401180NYK,NYK,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202401180NYK.html,7.98,1,2,.500,1,2,0,0,,0,0,0,0,0,0,2,1,3,-0.4,+1,.500
2024-01-18,202401180NYK,NYK,Q2,Quentin Grimes,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.18,0,1,.000,0,1,0,0,,0,0,0,1,0,0,0,0,0,0.0,0,.000
2024-01-18,202401180NYK,NYK,Q2,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202401180NYK.html,5.18,0,0,,0,0,0,0,,0,1,1,0,1,0,0,0,0,1.3,0,
2024-01-18,202401180NYK,NYK,Q2,Miles McBride,https://www.basketball-reference.com/boxscores/202401180NYK.html,4.02,1,3,.333,0,1,3,3,1.000,0,1,1,0,1,0,0,1,5,4.2,0,.000
2024-01-18,202401180NYK,NYK,Q2,Evan Fournier,https://www.basketball-reference.com/boxscores/202401180NYK.html,4.02,0,2,.000,0,1,0,0,,0,1,1,0,0,0,0,1,0,-1.5,0,.000
2024-01-18,202401180NYK,NYK,Q3,OG Anunoby,https://www.basketball-reference.com/boxscores/202401180NYK.html,8.22,5,5,1.000,3,3,0,0,,0,1,1,0,0,0,0,0,13,11.8,+4,1.000
2024-01-18,202401180NYK,NYK,Q3,Jalen Brunson,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,2,6,.333,1,1,0,0,,0,2,2,2,0,0,2,1,5,1.2,0,1.000
2024-01-18,202401180NYK,NYK,Q3,Julius Randle,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,0,3,.000,0,0,1,2,.500,0,1,1,2,0,0,1,1,1,-1.2,0,
2024-01-18,202401180NYK,NYK,Q3,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,1,1,1.000,0,0,0,0,,0,3,3,2,1,1,0,1,2,5.3,0,
2024-01-18,202401180NYK,NYK,Q3,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,2,7,.286,2,6,0,0,,0,2,2,2,0,0,0,1,6,3.5,0,.333
2024-01-18,202401180NYK,NYK,Q3,Quentin Grimes,https://www.basketball-reference.com/boxscores/202401180NYK.html,3.78,0,1,.000,0,1,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4,.000
2024-01-18,202401180NYK,NYK,Q4,OG Anunoby,https://www.basketball-reference.com/boxscores/202401180NYK.html,12.0,0,1,.000,0,1,2,2,1.000,0,2,2,0,0,0,0,1,2,1.5,+3,.000
