game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2024-01-27,202401270MIL,NOP,Q1,Zion Williamson,https://www.basketball-reference.com/boxscores/202401270MIL.html,8.28,3,3,1.000,0,0,1,1,1.000,1,0,1,1,0,0,0,0,7,7.5,+2,
2024-01-27,202401270MIL,NOP,Q1,Brandon Ingram,https://www.basketball-reference.com/boxscores/202401270MIL.html,9.95,5,8,.625,1,1,0,0,,0,3,3,0,0,0,0,0,11,8.3,-3,1.000
2024-01-27,202401270MIL,NOP,Q1,Jonas Valančiūnas,https://www.basketball-reference.com/boxscores/202401270MIL.html,6.08,2,3,.667,1,2,0,0,,0,3,3,0,0,0,0,0,5,4.6,0,.500
2024-01-27,202401270MIL,NOP,Q1,CJ McCollum,https://www.basketball-reference.com/boxscores/202401270MIL.html,7.58,1,2,.500,0,1,0,0,,0,1,1,3,0,0,1,0,2,2.4,-5,.000
2024-01-27,202401270MIL,NOP,Q1,Herbert Jones,https://www.basketball-reference.com/boxscores/202401270MIL.html,6.08,1,4,.250,0,2,0,0,,0,0,0,0,0,1,0,2,2,-0.5,0,.000
2024-01-27,202401270MIL,NOP,Q1,Jordan Hawkins,https://www.basketball-reference.com/boxscores/202401270MIL.html,5.63,0,1,.000,0,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,
2024-01-27,202401270MIL,NOP,Q1,Jose Alvarado,https://www.basketball-reference.com/boxscores/202401270MIL.html,4.42,0,0,,0,0,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+1,
2024-01-27,202401270MIL,NOP,Q1,Dyson Daniels,https://www.basketball-reference.com/boxscores/202401270MIL.html,5.77,0,1,.000,0,0,0,0,,0,0,0,2,1,0,0,0,0,1.7,-7,
2024-01-27,202401270MIL,NOP,Q1,Larry Nance Jr.,https://www.basketball-reference.com/boxscores/202401270MIL.html,5.92,2,3,.667,1,1,0,0,,0,1,1,0,0,0,0,1,5,3.6,-4,1.000
2024-01-27,202401270MIL,NOP,Q1,Naji Marshall,https://www.basketball-reference.com/boxscores/202401270MIL.html,0.27,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,
