game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-01-28,202401280IND,MEM,Q1,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202401280IND.html,10.32,2,4,.500,1,2,.500,0,0,2,2,4,1,0,0,0,0,5,5.7,+5,
2024-01-28,202401280IND,MEM,Q1,David Roddy,https://www.basketball-reference.com/boxscores/202401280IND.html,8.35,2,5,.400,1,4,.250,0,0,0,0,0,0,0,1,0,1,5,2.6,+5,
2024-01-28,202401280IND,MEM,Q1,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202401280IND.html,9.48,4,9,.444,0,2,.000,0,0,0,2,2,2,1,0,1,1,8,4.9,+8,
2024-01-28,202401280IND,MEM,Q1,John Konchar,https://www.basketball-reference.com/boxscores/202401280IND.html,7.37,0,0,,0,0,,0,0,0,2,2,2,0,1,0,0,0,2.7,+5,
2024-01-28,202401280IND,MEM,Q1,Santi Aldama,https://www.basketball-reference.com/boxscores/202401280IND.html,9.05,3,4,.750,1,2,.500,0,0,0,2,2,0,0,0,0,0,7,6.0,+4,
2024-01-28,202401280IND,MEM,Q1,GG Jackson II,https://www.basketball-reference.com/boxscores/202401280IND.html,4.63,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0,0,1.4,-1,
2024-01-28,202401280IND,MEM,Q1,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202401280IND.html,4.63,0,1,.000,0,1,.000,0,0,0,2,2,1,0,0,1,1,0,-0.8,-1,
2024-01-28,202401280IND,MEM,Q1,Xavier Tillman Sr.,https://www.basketball-reference.com/boxscores/202401280IND.html,2.52,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-4,
2024-01-28,202401280IND,MEM,Q1,Ziaire Williams,https://www.basketball-reference.com/boxscores/202401280IND.html,3.65,1,2,.500,0,1,.000,0,0,0,1,1,1,0,0,0,0,2,2.0,-1,
2024-01-28,202401280IND,MEM,Q2,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202401280IND.html,6.63,3,3,1.000,1,1,1.000,0,0,1,0,1,0,0,0,0,0,7,6.8,+9,
2024-01-28,202401280IND,MEM,Q2,David Roddy,https://www.basketball-reference.com/boxscores/202401280IND.html,3.95,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,0,2,3,1.2,+4,
2024-01-28,202401280IND,MEM,Q2,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202401280IND.html,6.63,1,3,.333,0,0,,2,3,0,0,0,2,1,1,0,0,4,5.0,+9,.667
2024-01-28,202401280IND,MEM,Q2,John Konchar,https://www.basketball-reference.com/boxscores/202401280IND.html,3.53,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,-10,
2024-01-28,202401280IND,MEM,Q2,Santi Aldama,https://www.basketball-reference.com/boxscores/202401280IND.html,9.08,0,4,.000,0,1,.000,0,0,1,2,3,0,0,0,1,0,0,-2.5,-4,
2024-01-28,202401280IND,MEM,Q2,GG Jackson II,https://www.basketball-reference.com/boxscores/202401280IND.html,7.92,2,4,.500,1,2,.500,0,0,1,2,3,0,1,0,0,0,5,5.3,+4,
