game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-02-29,202402290PHO,HOU,Q1,Jalen Green,https://www.basketball-reference.com/boxscores/202402290PHO.html,8.98,3,6,.500,2,3,.667,0,0,0,0,0,0,1,0,2,1,8,3.6,-12,
2024-02-29,202402290PHO,HOU,Q1,Fred VanVleet,https://www.basketball-reference.com/boxscores/202402290PHO.html,9.03,1,4,.250,0,1,.000,0,0,0,3,3,1,0,1,2,1,2,-0.5,-12,
2024-02-29,202402290PHO,HOU,Q1,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202402290PHO.html,9.47,0,2,.000,0,0,,2,2,1,3,4,0,0,0,0,1,2,1.8,-8,1.000
2024-02-29,202402290PHO,HOU,Q1,Dillon Brooks,https://www.basketball-reference.com/boxscores/202402290PHO.html,9.03,0,2,.000,0,2,.000,0,0,1,0,1,0,0,0,1,0,0,-1.7,-12,
2024-02-29,202402290PHO,HOU,Q1,Alperen Şengün,https://www.basketball-reference.com/boxscores/202402290PHO.html,8.98,0,3,.000,0,1,.000,2,2,1,1,2,0,0,0,1,0,2,-0.1,-12,1.000
2024-02-29,202402290PHO,HOU,Q1,Cam Whitmore,https://www.basketball-reference.com/boxscores/202402290PHO.html,3.02,0,3,.000,0,2,.000,0,0,0,1,1,0,0,0,0,1,0,-2.2,-4,
2024-02-29,202402290PHO,HOU,Q1,Jeff Green,https://www.basketball-reference.com/boxscores/202402290PHO.html,3.02,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,0,0,3,2.0,-4,
2024-02-29,202402290PHO,HOU,Q1,Amen Thompson,https://www.basketball-reference.com/boxscores/202402290PHO.html,5.5,0,1,.000,0,0,,0,0,1,1,2,0,0,0,0,2,0,-0.5,-12,
2024-02-29,202402290PHO,HOU,Q1,Aaron Holiday,https://www.basketball-reference.com/boxscores/202402290PHO.html,2.97,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,-4,
2024-02-29,202402290PHO,HOU,Q2,Jalen Green,https://www.basketball-reference.com/boxscores/202402290PHO.html,10.2,4,8,.500,3,6,.500,2,2,0,3,3,1,1,0,2,0,13,9.6,+8,1.000
2024-02-29,202402290PHO,HOU,Q2,Fred VanVleet,https://www.basketball-reference.com/boxscores/202402290PHO.html,11.4,2,4,.500,1,3,.333,0,0,1,1,2,3,0,0,0,1,5,5.7,+1,
2024-02-29,202402290PHO,HOU,Q2,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202402290PHO.html,7.37,0,2,.000,0,2,.000,2,2,1,3,4,0,1,0,0,1,2,2.8,-3,1.000
2024-02-29,202402290PHO,HOU,Q2,Dillon Brooks,https://www.basketball-reference.com/boxscores/202402290PHO.html,10.2,3,6,.500,0,1,.000,0,0,2,2,4,0,1,0,0,0,6,6.0,+8,
2024-02-29,202402290PHO,HOU,Q2,Alperen Şengün,https://www.basketball-reference.com/boxscores/202402290PHO.html,8.87,1,2,.500,0,0,,0,0,0,0,0,3,0,0,0,3,2,1.9,+4,
2024-02-29,202402290PHO,HOU,Q2,Cam Whitmore,https://www.basketball-reference.com/boxscores/202402290PHO.html,9.57,2,3,.667,0,1,.000,4,4,0,0,0,0,0,1,1,0,8,6.4,+6,1.000
2024-02-29,202402290PHO,HOU,Q2,Jeff Green,https://www.basketball-reference.com/boxscores/202402290PHO.html,1.8,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-3,
2024-02-29,202402290PHO,HOU,Q2,Amen Thompson,https://www.basketball-reference.com/boxscores/202402290PHO.html,0.6,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,-0.4,+4,
2024-02-29,202402290PHO,HOU,Q3,Jalen Green,https://www.basketball-reference.com/boxscores/202402290PHO.html,11.93,2,9,.222,1,5,.200,3,3,0,1,1,1,1,0,0,1,8,4.1,0,1.000
2024-02-29,202402290PHO,HOU,Q3,Fred VanVleet,https://www.basketball-reference.com/boxscores/202402290PHO.html,9.93,1,3,.333,0,2,.000,4,4,0,0,0,0,0,0,0,1,6,3.9,-2,1.000
2024-02-29,202402290PHO,HOU,Q3,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202402290PHO.html,8.38,1,2,.500,0,1,.000,0,0,0,2,2,0,0,1,0,1,2,1.9,0,
