game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-03-02,202403020MIA,UTA,Q1,Keyonte George,https://www.basketball-reference.com/boxscores/202403020MIA.html,10.4,3,6,.500,2,4,.500,0,0,0,1,1,1,0,0,0,0,8,6.0,+3,
2024-03-02,202403020MIA,UTA,Q1,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202403020MIA.html,12.0,2,8,.250,2,5,.400,0,0,1,0,1,0,2,1,0,0,6,4.6,+4,
2024-03-02,202403020MIA,UTA,Q1,John Collins,https://www.basketball-reference.com/boxscores/202403020MIA.html,6.67,2,4,.500,0,1,.000,0,0,1,1,2,3,0,0,0,0,4,5.1,-4,
2024-03-02,202403020MIA,UTA,Q1,Collin Sexton,https://www.basketball-reference.com/boxscores/202403020MIA.html,8.3,2,4,.500,0,1,.000,2,2,0,1,1,2,0,0,0,0,6,5.7,0,1.000
2024-03-02,202403020MIA,UTA,Q1,Taylor Hendricks,https://www.basketball-reference.com/boxscores/202403020MIA.html,6.67,1,2,.500,0,1,.000,0,0,0,1,1,0,0,1,0,0,2,2.0,-4,
2024-03-02,202403020MIA,UTA,Q1,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202403020MIA.html,3.7,0,2,.000,0,0,,0,0,0,2,2,0,0,0,0,0,0,-0.8,+4,
2024-03-02,202403020MIA,UTA,Q1,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202403020MIA.html,5.33,2,2,1.000,0,0,,1,2,2,0,2,0,0,0,0,0,5,5.4,+8,.500
2024-03-02,202403020MIA,UTA,Q1,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202403020MIA.html,2.73,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,3,2.3,+2,
2024-03-02,202403020MIA,UTA,Q1,Kris Dunn,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.2,0,0,,0,0,,0,0,1,0,1,2,1,0,0,3,0,1.9,+7,
2024-03-02,202403020MIA,UTA,Q2,Keyonte George,https://www.basketball-reference.com/boxscores/202403020MIA.html,8.73,0,1,.000,0,1,.000,1,2,0,1,1,0,0,0,0,0,1,0.2,-1,.500
2024-03-02,202403020MIA,UTA,Q2,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202403020MIA.html,6.78,0,2,.000,0,1,.000,2,2,0,1,1,1,0,0,0,0,2,1.6,+4,1.000
2024-03-02,202403020MIA,UTA,Q2,John Collins,https://www.basketball-reference.com/boxscores/202403020MIA.html,9.05,2,4,.500,1,1,1.000,1,2,0,2,2,0,0,1,0,1,6,4.5,-1,.500
2024-03-02,202403020MIA,UTA,Q2,Collin Sexton,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.93,3,4,.750,0,0,,0,0,0,0,0,1,0,0,0,0,6,5.1,+4,
2024-03-02,202403020MIA,UTA,Q2,Taylor Hendricks,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.58,3,4,.750,0,1,.000,0,0,3,2,5,1,0,0,0,0,6,7.8,+2,
2024-03-02,202403020MIA,UTA,Q2,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.33,0,2,.000,0,1,.000,4,4,1,2,3,1,0,1,0,1,4,4.9,-3,1.000
2024-03-02,202403020MIA,UTA,Q2,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202403020MIA.html,2.95,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+1,
2024-03-02,202403020MIA,UTA,Q2,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.42,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,1,0,3,0.3,-2,
2024-03-02,202403020MIA,UTA,Q2,Luka Šamanić,https://www.basketball-reference.com/boxscores/202403020MIA.html,5.22,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-4,
2024-03-02,202403020MIA,UTA,Q3,Keyonte George,https://www.basketball-reference.com/boxscores/202403020MIA.html,12.0,4,7,.571,2,4,.500,0,0,0,1,1,1,0,0,3,0,10,4.7,-4,
2024-03-02,202403020MIA,UTA,Q3,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202403020MIA.html,10.17,0,0,,0,0,,5,6,0,0,0,2,0,0,0,0,5,6.0,+4,.833
2024-03-02,202403020MIA,UTA,Q3,John Collins,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.73,2,3,.667,0,1,.000,0,0,1,1,2,0,0,0,1,2,4,1.9,-8,
2024-03-02,202403020MIA,UTA,Q3,Collin Sexton,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.73,1,2,.500,0,0,,2,2,0,0,0,1,0,0,0,0,4,3.7,-8,1.000
2024-03-02,202403020MIA,UTA,Q3,Taylor Hendricks,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.73,0,1,.000,0,0,,0,0,0,2,2,0,0,1,0,2,0,-0.2,-8,
2024-03-02,202403020MIA,UTA,Q3,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.27,1,2,.500,1,1,1.000,0,0,0,2,2,2,0,0,0,1,3,3.6,+4,
2024-03-02,202403020MIA,UTA,Q3,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.27,1,2,.500,0,0,,0,0,0,1,1,0,0,0,0,0,2,1.3,+4,
2024-03-02,202403020MIA,UTA,Q3,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202403020MIA.html,0.62,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+2,
2024-03-02,202403020MIA,UTA,Q3,Kris Dunn,https://www.basketball-reference.com/boxscores/202403020MIA.html,5.48,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,-6,
2024-03-02,202403020MIA,UTA,Q4,Keyonte George,https://www.basketball-reference.com/boxscores/202403020MIA.html,12.0,5,9,.556,2,5,.400,0,0,0,1,1,2,0,0,2,0,12,7.4,-6,
2024-03-02,202403020MIA,UTA,Q4,Lauri Markkanen,https://www.basketball-reference.com/boxscores/202403020MIA.html,12.0,3,5,.600,2,3,.667,4,4,1,1,2,3,0,0,1,4,12,10.2,-6,1.000
2024-03-02,202403020MIA,UTA,Q4,John Collins,https://www.basketball-reference.com/boxscores/202403020MIA.html,9.72,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,0,0,4,3.4,-3,
2024-03-02,202403020MIA,UTA,Q4,Collin Sexton,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.52,1,3,.333,0,0,,0,0,0,0,0,1,0,0,0,0,2,1.0,-6,
2024-03-02,202403020MIA,UTA,Q4,Taylor Hendricks,https://www.basketball-reference.com/boxscores/202403020MIA.html,6.85,0,0,,0,0,,0,0,1,4,5,0,0,0,1,1,0,0.5,-6,
2024-03-02,202403020MIA,UTA,Q4,Talen Horton-Tucker,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.48,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,2,0,-1.2,0,
2024-03-02,202403020MIA,UTA,Q4,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202403020MIA.html,2.28,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-3,
2024-03-02,202403020MIA,UTA,Q4,Brice Sensabaugh,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.75,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,0,
2024-03-02,202403020MIA,UTA,Q4,Kris Dunn,https://www.basketball-reference.com/boxscores/202403020MIA.html,0.4,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
2024-03-02,202403020MIA,MIA,Q1,Jimmy Butler,https://www.basketball-reference.com/boxscores/202403020MIA.html,9.27,2,2,1.000,1,1,1.000,4,4,0,1,1,4,0,1,2,1,9,9.8,+2,1.000
2024-03-02,202403020MIA,MIA,Q1,Bam Adebayo,https://www.basketball-reference.com/boxscores/202403020MIA.html,9.4,3,6,.500,0,0,,0,0,1,2,3,0,0,0,0,0,6,4.3,-2,
2024-03-02,202403020MIA,MIA,Q1,Duncan Robinson,https://www.basketball-reference.com/boxscores/202403020MIA.html,9.4,2,5,.400,1,3,.333,0,0,0,2,2,2,0,0,1,0,5,3.3,-2,
2024-03-02,202403020MIA,MIA,Q1,Terry Rozier,https://www.basketball-reference.com/boxscores/202403020MIA.html,8.57,1,2,.500,0,0,,0,0,1,0,1,2,0,0,0,0,2,3.1,0,
2024-03-02,202403020MIA,MIA,Q1,Nikola Jović,https://www.basketball-reference.com/boxscores/202403020MIA.html,7.48,2,3,.667,2,3,.667,0,0,0,1,1,1,0,0,0,2,6,4.9,+1,
2024-03-02,202403020MIA,MIA,Q1,Jaime Jaquez Jr.,https://www.basketball-reference.com/boxscores/202403020MIA.html,5.33,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,1,1,2,0.3,-8,
2024-03-02,202403020MIA,MIA,Q1,Caleb Martin,https://www.basketball-reference.com/boxscores/202403020MIA.html,4.52,0,0,,0,0,,0,0,0,2,2,0,0,1,0,0,0,1.3,-5,
