game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-03-20,202403200TOR,SAC,Q1,Keegan Murray,https://www.basketball-reference.com/boxscores/202403200TOR.html,8.22,1,6,.167,0,3,.000,0,0,0,0,0,0,0,0,0,0,2,-1.8,+5,
2024-03-20,202403200TOR,SAC,Q1,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.38,3,3,1.000,1,1,1.000,0,0,0,2,2,2,1,0,1,0,7,8.1,+3,
2024-03-20,202403200TOR,SAC,Q1,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202403200TOR.html,10.45,1,2,.500,0,0,,4,4,3,4,7,4,0,1,0,1,6,11.4,+4,1.000
2024-03-20,202403200TOR,SAC,Q1,Keon Ellis,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.28,1,2,.500,1,1,1.000,0,0,0,0,0,1,1,1,0,1,3,4.0,+6,
2024-03-20,202403200TOR,SAC,Q1,Harrison Barnes,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.28,2,4,.500,1,2,.500,0,0,0,1,1,1,0,0,0,0,5,4.0,+6,
2024-03-20,202403200TOR,SAC,Q1,Davion Mitchell,https://www.basketball-reference.com/boxscores/202403200TOR.html,3.78,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,
2024-03-20,202403200TOR,SAC,Q1,Malik Monk,https://www.basketball-reference.com/boxscores/202403200TOR.html,5.33,3,4,.750,1,2,.500,2,2,0,0,0,0,0,0,1,1,9,6.0,+1,1.000
2024-03-20,202403200TOR,SAC,Q1,Chris Duarte,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.72,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,-1.0,-1,
2024-03-20,202403200TOR,SAC,Q1,Alex Len,https://www.basketball-reference.com/boxscores/202403200TOR.html,1.55,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,+1,
2024-03-20,202403200TOR,SAC,Q2,Keegan Murray,https://www.basketball-reference.com/boxscores/202403200TOR.html,10.48,1,2,.500,0,1,.000,0,0,2,2,4,1,0,2,1,0,2,4.1,+17,
2024-03-20,202403200TOR,SAC,Q2,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202403200TOR.html,10.03,3,8,.375,1,4,.250,1,2,0,1,1,2,1,0,0,0,8,5.9,+17,.500
2024-03-20,202403200TOR,SAC,Q2,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202403200TOR.html,7.95,1,2,.500,0,0,,0,0,1,4,5,1,0,0,0,0,2,3.6,+9,
2024-03-20,202403200TOR,SAC,Q2,Keon Ellis,https://www.basketball-reference.com/boxscores/202403200TOR.html,6.87,1,2,.500,1,2,.500,0,0,0,0,0,0,1,0,0,0,3,3.0,+9,
2024-03-20,202403200TOR,SAC,Q2,Harrison Barnes,https://www.basketball-reference.com/boxscores/202403200TOR.html,3.57,1,2,.500,1,2,.500,1,2,0,0,0,0,0,0,0,1,4,2.2,+1,.500
2024-03-20,202403200TOR,SAC,Q2,Davion Mitchell,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.6,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,+1,
2024-03-20,202403200TOR,SAC,Q2,Malik Monk,https://www.basketball-reference.com/boxscores/202403200TOR.html,6.55,2,4,.500,0,2,.000,2,2,0,1,1,1,1,0,2,2,6,3.2,+7,1.000
2024-03-20,202403200TOR,SAC,Q2,Chris Duarte,https://www.basketball-reference.com/boxscores/202403200TOR.html,7.9,3,4,.750,1,1,1.000,0,0,2,2,4,1,0,0,0,0,7,8.1,+20,
2024-03-20,202403200TOR,SAC,Q2,Alex Len,https://www.basketball-reference.com/boxscores/202403200TOR.html,4.05,2,2,1.000,0,0,,0,0,0,1,1,1,0,1,0,1,4,4.7,+9,
2024-03-20,202403200TOR,SAC,Q3,Keegan Murray,https://www.basketball-reference.com/boxscores/202403200TOR.html,12.0,3,4,.750,0,1,.000,0,0,1,3,4,0,1,0,1,3,6,4.8,+11,
2024-03-20,202403200TOR,SAC,Q3,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.02,2,4,.500,1,2,.500,0,0,0,1,1,1,0,0,2,0,5,2.0,+2,
2024-03-20,202403200TOR,SAC,Q3,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.17,2,3,.667,0,0,,1,2,2,3,5,5,0,0,1,1,5,7.7,+13,.500
2024-03-20,202403200TOR,SAC,Q3,Keon Ellis,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.17,0,2,.000,0,2,.000,0,0,0,1,1,1,2,0,0,0,0,1.6,+13,
2024-03-20,202403200TOR,SAC,Q3,Harrison Barnes,https://www.basketball-reference.com/boxscores/202403200TOR.html,6.18,3,3,1.000,1,1,1.000,0,0,0,1,1,0,0,0,0,0,7,6.4,+4,
2024-03-20,202403200TOR,SAC,Q3,Davion Mitchell,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.98,2,2,1.000,0,0,,0,0,1,0,1,0,1,0,0,0,4,5.1,+9,
2024-03-20,202403200TOR,SAC,Q3,Malik Monk,https://www.basketball-reference.com/boxscores/202403200TOR.html,5.82,1,4,.250,0,3,.000,0,0,0,1,1,1,0,0,0,0,2,0.6,+7,
2024-03-20,202403200TOR,SAC,Q3,Chris Duarte,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.83,0,0,,0,0,,2,2,0,0,0,1,0,0,0,0,2,2.7,-2,1.000
2024-03-20,202403200TOR,SAC,Q3,Alex Len,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.83,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,-2,
2024-03-20,202403200TOR,SAC,Q4,Davion Mitchell,https://www.basketball-reference.com/boxscores/202403200TOR.html,12.0,2,4,.500,0,0,,0,0,1,0,1,2,1,0,3,0,4,2.1,0,
2024-03-20,202403200TOR,SAC,Q4,Malik Monk,https://www.basketball-reference.com/boxscores/202403200TOR.html,2.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,+1,
2024-03-20,202403200TOR,SAC,Q4,Chris Duarte,https://www.basketball-reference.com/boxscores/202403200TOR.html,5.75,2,2,1.000,1,1,1.000,0,0,0,1,1,0,0,0,0,0,5,4.7,-3,
2024-03-20,202403200TOR,SAC,Q4,Alex Len,https://www.basketball-reference.com/boxscores/202403200TOR.html,7.6,0,0,,0,0,,2,2,0,1,1,3,0,0,0,0,2,4.4,-7,1.000
2024-03-20,202403200TOR,SAC,Q4,Kessler Edwards,https://www.basketball-reference.com/boxscores/202403200TOR.html,12.0,4,8,.500,1,5,.200,0,0,1,2,3,1,1,0,1,1,9,6.6,0,
2024-03-20,202403200TOR,SAC,Q4,Jalen Slawson,https://www.basketball-reference.com/boxscores/202403200TOR.html,8.38,1,2,.500,0,1,.000,0,0,1,1,2,0,1,0,0,2,2,2.2,+3,
2024-03-20,202403200TOR,SAC,Q4,Colby Jones,https://www.basketball-reference.com/boxscores/202403200TOR.html,7.87,0,2,.000,0,2,.000,0,0,1,0,1,1,0,0,1,2,0,-1.8,-1,
2024-03-20,202403200TOR,SAC,Q4,JaVale McGee,https://www.basketball-reference.com/boxscores/202403200TOR.html,4.4,1,5,.200,0,0,,0,0,2,1,3,0,2,1,0,0,2,3.3,+7,
2024-03-20,202403200TOR,TOR,Q1,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.28,1,5,.200,1,3,.333,2,2,1,1,2,0,0,0,0,1,5,2.5,-6,1.000
2024-03-20,202403200TOR,TOR,Q1,Gradey Dick,https://www.basketball-reference.com/boxscores/202403200TOR.html,6.67,0,0,,0,0,,0,0,0,1,1,3,0,0,0,0,0,2.4,-4,
2024-03-20,202403200TOR,TOR,Q1,Ochai Agbaji,https://www.basketball-reference.com/boxscores/202403200TOR.html,7.52,3,5,.600,1,2,.500,0,0,0,1,1,0,0,0,1,0,7,4.0,-4,
2024-03-20,202403200TOR,TOR,Q1,Kelly Olynyk,https://www.basketball-reference.com/boxscores/202403200TOR.html,9.28,2,2,1.000,1,1,1.000,0,0,0,0,0,1,0,1,1,1,5,4.4,-6,
2024-03-20,202403200TOR,TOR,Q1,Bruce Brown,https://www.basketball-reference.com/boxscores/202403200TOR.html,6.67,1,2,.500,0,1,.000,0,0,0,1,1,3,1,0,0,0,2,4.4,-4,
