game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-04-14,202404140NYK,CHI,Q1,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,4,5,.800,2,2,1.000,1,2,.500,0,0,0,1,0,1,0,0,11,10.1,-1
2024-04-14,202404140NYK,CHI,Q1,Coby White,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.77,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,0,2,0.0,-2
2024-04-14,202404140NYK,CHI,Q1,Nikola Vučević,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.3,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,7,5.4,-5
2024-04-14,202404140NYK,CHI,Q1,Alex Caruso,https://www.basketball-reference.com/boxscores/202404140NYK.html,10.17,0,1,.000,0,1,.000,0,0,,0,1,1,3,1,0,2,0,0,0.7,-4
2024-04-14,202404140NYK,CHI,Q1,Javonte Green,https://www.basketball-reference.com/boxscores/202404140NYK.html,11.13,3,6,.500,0,2,.000,0,0,,1,1,2,1,1,0,0,1,6,5.3,-2
2024-04-14,202404140NYK,CHI,Q1,Dalen Terry,https://www.basketball-reference.com/boxscores/202404140NYK.html,4.93,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,1,0,2,2,2.9,+5
2024-04-14,202404140NYK,CHI,Q1,Torrey Craig,https://www.basketball-reference.com/boxscores/202404140NYK.html,2.7,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4
2024-04-14,202404140NYK,CHI,Q2,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.32,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,2,0,2,-1.1,-7
2024-04-14,202404140NYK,CHI,Q2,Coby White,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.57,3,5,.600,0,1,.000,0,0,,0,1,1,1,1,0,0,1,6,5.3,+4
2024-04-14,202404140NYK,CHI,Q2,Nikola Vučević,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.02,4,6,.667,1,1,1.000,2,2,1.000,2,4,6,0,0,0,0,0,11,11.0,-3
2024-04-14,202404140NYK,CHI,Q2,Alex Caruso,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.32,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-7
2024-04-14,202404140NYK,CHI,Q2,Javonte Green,https://www.basketball-reference.com/boxscores/202404140NYK.html,3.88,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-1
2024-04-14,202404140NYK,CHI,Q2,Dalen Terry,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.67,0,2,.000,0,1,.000,0,0,,3,1,4,0,0,1,1,0,0,0.7,+6
2024-04-14,202404140NYK,CHI,Q2,Torrey Craig,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.12,0,2,.000,0,1,.000,0,0,,1,3,4,1,0,0,0,2,0,0.1,-1
2024-04-14,202404140NYK,CHI,Q2,Jevon Carter,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.12,0,6,.000,0,4,.000,0,0,,0,0,0,1,0,0,1,2,0,-5.3,-1
2024-04-14,202404140NYK,CHI,Q3,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,2,5,.400,0,2,.000,4,5,.800,1,1,2,2,1,0,0,1,8,7.9,+9
2024-04-14,202404140NYK,CHI,Q3,Coby White,https://www.basketball-reference.com/boxscores/202404140NYK.html,7.73,4,6,.667,0,1,.000,0,0,,0,0,0,1,1,0,0,0,8,7.1,+6
2024-04-14,202404140NYK,CHI,Q3,Nikola Vučević,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.13,3,5,.600,0,0,,1,1,1.000,2,0,2,1,0,0,1,0,7,5.8,+8
2024-04-14,202404140NYK,CHI,Q3,Alex Caruso,https://www.basketball-reference.com/boxscores/202404140NYK.html,10.1,1,2,.500,1,1,1.000,2,2,1.000,0,2,2,2,1,0,0,1,5,6.6,+4
2024-04-14,202404140NYK,CHI,Q3,Javonte Green,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.82,1,2,.500,1,1,1.000,0,0,,2,1,3,0,0,0,1,0,3,2.7,+8
2024-04-14,202404140NYK,CHI,Q3,Dalen Terry,https://www.basketball-reference.com/boxscores/202404140NYK.html,4.77,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,+3
2024-04-14,202404140NYK,CHI,Q3,Torrey Craig,https://www.basketball-reference.com/boxscores/202404140NYK.html,2.87,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+1
2024-04-14,202404140NYK,CHI,Q3,Jevon Carter,https://www.basketball-reference.com/boxscores/202404140NYK.html,4.57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+6
2024-04-14,202404140NYK,CHI,Q4,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.17,3,6,.500,0,0,,0,0,,0,0,0,1,2,0,0,0,6,5.7,0
2024-04-14,202404140NYK,CHI,Q4,Coby White,https://www.basketball-reference.com/boxscores/202404140NYK.html,11.18,4,4,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,8,8.2,-6
2024-04-14,202404140NYK,CHI,Q4,Nikola Vučević,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.62,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,0,1,4,1.6,-7
2024-04-14,202404140NYK,CHI,Q4,Alex Caruso,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.17,2,2,1.000,1,1,1.000,0,0,,0,1,1,2,1,0,0,0,5,7.1,0
2024-04-14,202404140NYK,CHI,Q4,Javonte Green,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.95,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,2,2,1.5,-4
2024-04-14,202404140NYK,CHI,Q4,Dalen Terry,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.03,1,1,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,0,2,1.6,-5
2024-04-14,202404140NYK,CHI,Q4,Torrey Craig,https://www.basketball-reference.com/boxscores/202404140NYK.html,3.05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-2
2024-04-14,202404140NYK,CHI,Q4,Jevon Carter,https://www.basketball-reference.com/boxscores/202404140NYK.html,2.83,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-6
2024-04-14,202404140NYK,CHI,OT1,DeMar DeRozan,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.0,1,5,.200,0,0,,1,1,1.000,1,0,1,1,1,0,0,0,3,2.3,-1
2024-04-14,202404140NYK,CHI,OT1,Coby White,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.0,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,-1
2024-04-14,202404140NYK,CHI,OT1,Nikola Vučević,https://www.basketball-reference.com/boxscores/202404140NYK.html,4.95,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,1,0,1.3,-1
2024-04-14,202404140NYK,CHI,OT1,Alex Caruso,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.0,2,3,.667,1,2,.500,0,0,,0,0,0,0,2,0,1,0,5,4.7,-1
2024-04-14,202404140NYK,CHI,OT1,Javonte Green,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.0,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1
2024-04-14,202404140NYK,CHI,OT1,Dalen Terry,https://www.basketball-reference.com/boxscores/202404140NYK.html,0.03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2024-04-14,202404140NYK,NYK,Q1,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202404140NYK.html,11.5,4,5,.800,2,3,.667,0,0,,1,0,1,1,0,0,2,0,10,7.5,+3
2024-04-14,202404140NYK,NYK,Q1,OG Anunoby,https://www.basketball-reference.com/boxscores/202404140NYK.html,9.3,2,3,.667,1,1,1.000,0,0,,1,1,2,2,1,0,2,0,5,5.1,+5
2024-04-14,202404140NYK,NYK,Q1,Jalen Brunson,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,4,11,.364,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,1,10,4.5,+1
2024-04-14,202404140NYK,NYK,Q1,Josh Hart,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,1,3,.333,0,1,.000,0,0,,1,2,3,2,1,0,0,1,2,3.6,+1
2024-04-14,202404140NYK,NYK,Q1,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.75,1,1,1.000,0,0,,0,0,,2,0,2,1,1,0,0,0,2,4.8,+7
2024-04-14,202404140NYK,NYK,Q1,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202404140NYK.html,2.7,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
2024-04-14,202404140NYK,NYK,Q1,Miles McBride,https://www.basketball-reference.com/boxscores/202404140NYK.html,0.48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2024-04-14,202404140NYK,NYK,Q1,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-6
2024-04-14,202404140NYK,NYK,Q2,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,3,6,.500,1,3,.333,0,0,,0,1,1,1,1,0,0,0,7,6.0,+2
2024-04-14,202404140NYK,NYK,Q2,OG Anunoby,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.32,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+7
2024-04-14,202404140NYK,NYK,Q2,Jalen Brunson,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.22,1,4,.250,0,0,,0,0,,0,2,2,2,0,0,0,0,2,1.6,+7
2024-04-14,202404140NYK,NYK,Q2,Josh Hart,https://www.basketball-reference.com/boxscores/202404140NYK.html,8.12,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,1,1,2,0.2,+1
2024-04-14,202404140NYK,NYK,Q2,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202404140NYK.html,7.63,1,1,1.000,0,0,,2,4,.500,1,2,3,1,1,0,0,1,4,5.5,+2
2024-04-14,202404140NYK,NYK,Q2,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202404140NYK.html,7.05,0,0,,0,0,,0,0,,0,2,2,2,0,0,1,0,0,1.0,+3
2024-04-14,202404140NYK,NYK,Q2,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.68,1,4,.250,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,4,1.9,-5
2024-04-14,202404140NYK,NYK,Q2,Miles McBride,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.77,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-5
2024-04-14,202404140NYK,NYK,Q2,Mitchell Robinson,https://www.basketball-reference.com/boxscores/202404140NYK.html,1.18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2024-04-14,202404140NYK,NYK,Q3,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,0,3,.000,0,3,.000,0,0,,0,1,1,0,1,1,0,0,0,-0.1,-9
2024-04-14,202404140NYK,NYK,Q3,OG Anunoby,https://www.basketball-reference.com/boxscores/202404140NYK.html,10.12,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,1,2,1,0,-2.1,-11
2024-04-14,202404140NYK,NYK,Q3,Jalen Brunson,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,6,9,.667,1,2,.500,4,5,.800,1,1,2,0,0,0,1,0,17,12.7,-9
2024-04-14,202404140NYK,NYK,Q3,Josh Hart,https://www.basketball-reference.com/boxscores/202404140NYK.html,10.7,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,1,3,4,1.9,-6
2024-04-14,202404140NYK,NYK,Q3,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202404140NYK.html,6.92,1,1,1.000,0,0,,0,0,,1,3,4,2,0,1,1,0,2,4.4,-3
2024-04-14,202404140NYK,NYK,Q3,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.08,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-6
2024-04-14,202404140NYK,NYK,Q3,Bojan Bogdanović,https://www.basketball-reference.com/boxscores/202404140NYK.html,2.87,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2
2024-04-14,202404140NYK,NYK,Q3,Miles McBride,https://www.basketball-reference.com/boxscores/202404140NYK.html,0.3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2024-04-14,202404140NYK,NYK,Q4,Donte DiVincenzo,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,2,5,.400,1,4,.250,0,0,,1,1,2,0,0,0,0,0,5,3.3,+6
2024-04-14,202404140NYK,NYK,Q4,OG Anunoby,https://www.basketball-reference.com/boxscores/202404140NYK.html,12.0,2,4,.500,1,1,1.000,1,3,.333,1,0,1,1,0,0,1,2,6,2.8,+6
2024-04-14,202404140NYK,NYK,Q4,Jalen Brunson,https://www.basketball-reference.com/boxscores/202404140NYK.html,5.97,3,5,.600,0,0,,3,3,1.000,1,1,2,2,0,0,1,0,9,8.1,+1
2024-04-14,202404140NYK,NYK,Q4,Josh Hart,https://www.basketball-reference.com/boxscores/202404140NYK.html,4.32,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,-1
2024-04-14,202404140NYK,NYK,Q4,Isaiah Hartenstein,https://www.basketball-reference.com/boxscores/202404140NYK.html,10.6,0,1,.000,0,0,,0,0,,1,3,4,0,0,1,1,1,0,0.2,+6
