game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-05-04,202405040DEN,MIN,Q1,Anthony Edwards,https://www.basketball-reference.com/boxscores/202405040DEN.html,12.0,6,10,.600,2,3,.667,2,2,1.000,1,0,1,0,0,0,0,1,16,11.7,-2
2024-05-04,202405040DEN,MIN,Q1,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202405040DEN.html,8.88,0,4,.000,0,1,.000,0,0,,3,2,5,0,0,1,0,1,0,0.2,+7
2024-05-04,202405040DEN,MIN,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202405040DEN.html,9.62,1,2,.500,0,0,,0,0,,0,6,6,1,0,1,0,1,2,3.8,+3
2024-05-04,202405040DEN,MIN,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202405040DEN.html,6.8,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,-1.0,+14
2024-05-04,202405040DEN,MIN,Q1,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202405040DEN.html,9.18,1,2,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,1,3,3.3,+9
2024-05-04,202405040DEN,MIN,Q1,Naz Reid,https://www.basketball-reference.com/boxscores/202405040DEN.html,5.2,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-16
2024-05-04,202405040DEN,MIN,Q1,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202405040DEN.html,5.2,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-16
2024-05-04,202405040DEN,MIN,Q1,Kyle Anderson,https://www.basketball-reference.com/boxscores/202405040DEN.html,3.12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-9
2024-05-04,202405040DEN,MIN,Q2,Anthony Edwards,https://www.basketball-reference.com/boxscores/202405040DEN.html,9.02,4,7,.571,1,1,1.000,0,0,,0,3,3,0,1,1,0,0,9,8.3,-1
2024-05-04,202405040DEN,MIN,Q2,Jaden McDaniels,https://www.basketball-reference.com/boxscores/202405040DEN.html,12.0,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,-2
