game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ft_pct
2024-11-02,202411020CHO,BOS,Q1,Jrue Holiday,https://www.basketball-reference.com/boxscores/202411020CHO.html,7.43,2,2,1.000,1,1,1.000,0,0,0,1,1,1,0,0,1,0,5,4.4,+13,
2024-11-02,202411020CHO,BOS,Q1,Jayson Tatum,https://www.basketball-reference.com/boxscores/202411020CHO.html,12.0,4,6,.667,1,3,.333,4,5,0,4,4,1,0,0,2,1,13,9.5,+14,.800
2024-11-02,202411020CHO,BOS,Q1,Derrick White,https://www.basketball-reference.com/boxscores/202411020CHO.html,6.07,2,4,.500,2,3,.667,2,2,0,1,1,1,0,0,0,0,8,7.0,+12,1.000
2024-11-02,202411020CHO,BOS,Q1,Luke Kornet,https://www.basketball-reference.com/boxscores/202411020CHO.html,6.77,2,2,1.000,0,0,,0,0,0,0,0,1,0,0,0,0,4,4.1,+11,
2024-11-02,202411020CHO,BOS,Q1,Al Horford,https://www.basketball-reference.com/boxscores/202411020CHO.html,6.77,0,2,.000,0,1,.000,0,0,0,0,0,1,1,0,0,1,0,-0.1,+11,
2024-11-02,202411020CHO,BOS,Q1,Payton Pritchard,https://www.basketball-reference.com/boxscores/202411020CHO.html,5.93,2,5,.400,1,4,.250,0,0,0,1,1,1,0,0,0,0,5,3.3,+2,
2024-11-02,202411020CHO,BOS,Q1,Sam Hauser,https://www.basketball-reference.com/boxscores/202411020CHO.html,4.57,1,2,.500,1,2,.500,0,0,2,0,2,0,0,0,0,0,3,3.4,+1,
2024-11-02,202411020CHO,BOS,Q1,Neemias Queta,https://www.basketball-reference.com/boxscores/202411020CHO.html,2.3,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,2,0,-1.5,+4,
2024-11-02,202411020CHO,BOS,Q1,Jordan Walsh,https://www.basketball-reference.com/boxscores/202411020CHO.html,5.23,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,+3,
2024-11-02,202411020CHO,BOS,Q1,Xavier Tillman Sr.,https://www.basketball-reference.com/boxscores/202411020CHO.html,2.93,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0.3,-1,
2024-11-02,202411020CHO,BOS,Q2,Jrue Holiday,https://www.basketball-reference.com/boxscores/202411020CHO.html,9.98,0,4,.000,0,2,.000,0,0,0,3,3,3,0,0,1,0,0,-0.8,+9,
2024-11-02,202411020CHO,BOS,Q2,Jayson Tatum,https://www.basketball-reference.com/boxscores/202411020CHO.html,5.13,1,4,.250,0,3,.000,2,2,0,0,0,0,0,0,1,1,4,0.2,-3,1.000
2024-11-02,202411020CHO,BOS,Q2,Derrick White,https://www.basketball-reference.com/boxscores/202411020CHO.html,9.98,2,5,.400,1,4,.250,2,2,0,5,5,0,1,0,1,1,7,5.4,+9,1.000
2024-11-02,202411020CHO,BOS,Q2,Luke Kornet,https://www.basketball-reference.com/boxscores/202411020CHO.html,7.77,1,1,1.000,0,0,,5,5,1,0,1,0,0,1,0,1,7,7.7,+7,1.000
2024-11-02,202411020CHO,BOS,Q2,Al Horford,https://www.basketball-reference.com/boxscores/202411020CHO.html,7.35,0,0,,0,0,,0,0,1,3,4,2,0,0,1,1,0,1.6,-1,
2024-11-02,202411020CHO,BOS,Q2,Payton Pritchard,https://www.basketball-reference.com/boxscores/202411020CHO.html,8.88,4,5,.800,4,5,.800,0,0,1,0,1,0,0,0,1,1,12,9.4,+2,
2024-11-02,202411020CHO,BOS,Q2,Sam Hauser,https://www.basketball-reference.com/boxscores/202411020CHO.html,4.65,0,1,.000,0,1,.000,0,0,0,1,1,1,0,0,0,0,0,0.3,+5,
