game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
2024-12-14,202412140OKC,HOU,Q1,Fred VanVleet,https://www.basketball-reference.com/boxscores/202412140OKC.html,9.92,1,5,.200,0,3,.000,1,2,.500,1,3,4,1,0,0,0,1,3,1.4,+4
2024-12-14,202412140OKC,HOU,Q1,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202412140OKC.html,9.77,0,2,.000,0,0,,2,2,1.000,2,1,3,1,0,0,1,1,2,1.6,+2
2024-12-14,202412140OKC,HOU,Q1,Jalen Green,https://www.basketball-reference.com/boxscores/202412140OKC.html,8.0,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-1
2024-12-14,202412140OKC,HOU,Q1,Dillon Brooks,https://www.basketball-reference.com/boxscores/202412140OKC.html,9.92,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.9,+4
2024-12-14,202412140OKC,HOU,Q1,Alperen Şengün,https://www.basketball-reference.com/boxscores/202412140OKC.html,6.83,1,4,.250,0,0,,0,0,,1,2,3,0,2,0,3,1,2,-0.5,+1
2024-12-14,202412140OKC,HOU,Q1,Amen Thompson,https://www.basketball-reference.com/boxscores/202412140OKC.html,6.08,1,4,.250,0,1,.000,1,2,.500,1,2,3,1,0,0,0,0,3,2.2,+1
2024-12-14,202412140OKC,HOU,Q1,Tari Eason,https://www.basketball-reference.com/boxscores/202412140OKC.html,4.32,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-2
2024-12-14,202412140OKC,HOU,Q1,Steven Adams,https://www.basketball-reference.com/boxscores/202412140OKC.html,5.17,1,2,.500,0,0,,2,4,.500,3,3,6,0,0,0,1,0,4,4.2,+1
2024-12-14,202412140OKC,HOU,Q2,Fred VanVleet,https://www.basketball-reference.com/boxscores/202412140OKC.html,8.92,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,0,0,-0.7,+1
2024-12-14,202412140OKC,HOU,Q2,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202412140OKC.html,7.5,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4
